,hours
2018-22,4.03
2018-23,4.57
2018-24,5.68
2018-25,3.33
2018-26,3.84
2018-27,6.18
2018-28,0.49
2018-29,2.24
2018-30,6.7
2018-31,7.21
2018-32,10.15
2018-33,7.7
2018-34,7.03
2018-35,4.25
2018-36,3.96
2018-37,4.16
2018-38,4.34
2018-39,4.22
2018-40,6.7
2018-41,7.21
2018-42,6.32
2018-43,4.89
2018-44,3.68
2018-45,9.43
2018-46,6.43
2018-47,4.66
2018-48,2.19
2018-49,0.0
2018-50,0.0
2018-51,0.0
2018-52,0.0
2019-0,0.0
2019-1,0.21
2019-2,0.21
2019-3,0.21
2019-4,0.0
2019-5,1.22
2019-6,1.69
2019-7,1.53
2019-8,3.43
2019-9,9.44
2019-10,1.52
2019-11,6.22
2019-12,9.25
2019-13,10.42
2019-14,3.63
2019-15,2.32
2019-16,3.32
2019-17,9.91
2019-18,8.08
2019-19,7.24
2019-20,4.06
2019-21,9.71
2019-22,6.95
2019-23,6.01
2019-24,1.41
2019-25,5.29
2019-26,2.9
2019-27,3.71
2019-28,3.03
2019-29,2.47
2019-30,6.13
2019-31,10.13
2019-32,9.77
2019-33,4.41
2019-34,6.71
2019-35,12.62
2019-36,12.62
2019-37,18.31
2019-38,1.22
2019-39,2.03
2019-40,1.4
2019-41,1.83
2019-42,5.52
2019-43,1.72
2019-44,4.61
2019-45,11.18
2019-46,4.77
2019-47,3.6
2019-48,4.46
2019-49,0.0
2019-50,0.0
2019-51,1.58
2019-52,0.0
2020-0,0.57
2020-1,4.44
2020-2,4.8
2020-3,3.4
2020-4,7.38
2020-5,15.3
2020-6,2.26
2020-7,2.86
2020-8,15.49
2020-9,8.7
2020-10,20.72
2020-11,8.85
2020-12,32.73
2020-13,19.43
2020-14,31.14
2020-15,33.47
2020-16,27.38
2020-17,29.08
2020-18,16.28
2020-19,38.81
2020-20,22.64
2020-21,26.5
2020-22,22.32
2020-23,17.57
2020-24,31.47
2020-25,23.58
2020-26,13.59
2020-27,33.21
2020-28,37.88
2020-29,17.68
2020-30,20.03
2020-31,29.3
2020-32,28.56
2020-33,7.86
2020-34,23.39
2020-35,19.41
2020-36,21.07
2020-37,23.68
2020-38,9.8
2020-39,7.84
2020-40,14.1
2020-41,17.23
2020-42,13.09
2020-43,7.42
2020-44,16.42
2020-45,15.59
2020-46,6.82
2020-47,13.52
2020-48,9.65
2020-49,5.05
2020-50,16.6
2020-51,12.41
2020-52,4.71
2021-0,0.0
2021-1,6.19
2021-2,23.52
2021-3,13.2
2021-4,16.46
2021-5,14.38
2021-6,23.15
2021-7,6.14
2021-8,13.18
2021-9,2.36
2021-10,10.69
2021-11,3.11
2021-12,16.93
2021-13,0.0
2021-14,10.46
2021-15,10.05
2021-16,12.74
2021-17,7.79
2021-18,25.16
2021-19,13.19
2021-20,11.19
2021-21,9.96
2021-22,9.95
2021-23,6.23
2021-24,8.23
2021-25,0.81
2021-26,15.28
2021-27,2.38
2021-28,8.56
2021-29,6.91
2021-30,0.34
2021-31,2.79
2021-32,10.56
2021-33,11.38
2021-34,2.92
2021-35,8.96
2021-36,8.32
2021-37,1.48
2021-38,9.73
2021-39,6.18
2021-40,7.71
2021-41,2.83
2021-42,6.04
2021-43,7.63
2021-44,1.73
2021-45,3.91
2021-46,2.34
2021-47,6.55
2021-48,6.81
2021-49,10.05
2021-50,1.94
2021-51,7.09
2021-52,5.34
2022-0,0.0
2022-1,11.19
2022-2,0.0
2022-3,0.0
2022-4,2.93
2022-5,10.97
2022-6,12.33
2022-7,8.27
2022-8,13.42
2022-9,28.39
2022-10,14.31
2022-11,19.46
2022-12,11.74
2022-13,15.91
2022-14,11.34
2022-15,26.33
2022-16,27.24
2022-17,7.16
2022-18,7.46
2022-19,7.81
2022-20,11.16
2022-21,10.89
2022-22,10.7
2022-23,7.66
2022-24,7.32
2022-25,18.62
2022-26,7.19
2022-27,14.22
2022-28,19.19
2022-29,1.48
2022-30,8.25
2022-31,7.12
2022-32,3.33
2022-33,13.36
2022-34,0.0
2022-35,0.0
2022-36,2.75
2022-37,16.44
2022-38,42.43
2022-39,12.28
2022-40,47.33
2022-41,21.19
2022-42,3.55
2022-43,13.39
