,hours
2022-29,0.89
2022-30,9.26
2022-31,6.94
2022-32,10.36
2022-33,19.43
2022-34,26.62
2022-35,34.55
2022-36,20.34
2022-37,24.82
2022-38,34.07
2022-39,20.45
2022-40,6.75
2022-41,3.93
2022-42,17.17
2022-43,30.98
2022-44,11.67
2022-45,14.49
2022-46,23.48
2022-47,17.06
2022-48,24.27
2022-49,16.96
2022-50,22.53
2022-51,16.74
2022-52,15.71
2023-0,19.65
2023-1,19.34
2023-2,17.27
2023-3,7.44
2023-4,25.51
2023-5,10.51
2023-6,27.0
2023-7,14.24
2023-8,0.0
2023-9,14.86
2023-10,12.88
2023-11,22.45
2023-12,13.3
2023-13,13.69
2023-14,23.37
2023-15,0.0
2023-16,2.09
2023-17,12.3
2023-18,30.6
2023-19,16.72
2023-20,26.9
2023-21,12.23
2023-22,22.54
2023-23,15.13
2023-24,12.98
2023-25,12.19
2023-26,17.86
2023-27,18.11
2023-28,9.97
2023-29,14.76
2023-30,20.68
2023-31,25.15
2023-32,15.84
2023-33,19.05
2023-34,26.15
2023-35,9.87
2023-36,13.35
2023-37,11.33
2023-38,16.95
2023-39,6.4
2023-40,16.29
2023-41,0.0
2023-42,0.0
