,hours
2020-37,14.79
2020-38,24.84
2020-39,16.36
2020-40,21.32
2020-41,22.27
2020-42,24.4
2020-43,27.36
2020-44,13.22
2020-45,21.79
2020-46,26.5
2020-47,25.16
2020-48,18.9
2020-49,35.76
2020-50,42.1
2020-51,21.28
2020-52,25.31
2021-0,10.69
2021-1,24.63
2021-2,20.17
2021-3,14.31
2021-4,17.86
2021-5,25.25
2021-6,18.94
2021-7,25.85
2021-8,15.45
2021-9,16.58
2021-10,16.28
2021-11,22.68
2021-12,13.45
2021-13,10.27
2021-14,29.25
2021-15,11.06
2021-16,13.87
2021-17,20.18
2021-18,12.23
2021-19,19.61
2021-20,23.6
2021-21,19.02
2021-22,25.01
2021-23,33.49
2021-24,12.33
2021-25,10.47
2021-26,13.47
2021-27,15.34
2021-28,18.08
2021-29,16.67
2021-30,21.53
2021-31,12.95
2021-32,22.46
2021-33,4.69
2021-34,17.95
2021-35,4.62
2021-36,17.26
2021-37,7.34
2021-38,18.55
2021-39,10.54
2021-40,16.21
2021-41,13.29
2021-42,10.11
2021-43,21.7
2021-44,7.85
2021-45,5.99
2021-46,9.93
2021-47,13.41
2021-48,16.51
2021-49,16.03
2021-50,0.0
2021-51,21.21
2021-52,12.75
2022-0,2.03
2022-1,8.72
2022-2,8.45
2022-3,6.87
2022-4,6.76
2022-5,10.02
2022-6,19.75
2022-7,7.9
2022-8,4.17
2022-9,2.23
2022-10,15.48
2022-11,4.19
2022-12,0.0
2022-13,21.9
2022-14,17.56
2022-15,22.74
2022-16,20.12
2022-17,10.01
2022-18,18.56
2022-19,22.25
2022-20,8.07
2022-21,22.6
2022-22,18.0
2022-23,11.97
2022-24,7.17
2022-25,0.0
2022-26,4.83
2022-27,1.66
2022-28,11.1
2022-29,19.86
2022-30,18.55
2022-31,11.53
2022-32,20.47
2022-33,10.35
2022-34,18.63
2022-35,18.24
2022-36,14.21
2022-37,13.67
2022-38,10.19
2022-39,13.95
2022-40,17.96
2022-41,3.71
2022-42,13.49
2022-43,13.48
2022-44,12.62
2022-45,10.14
2022-46,17.82
2022-47,16.08
2022-48,8.12
2022-49,0.0
2022-50,0.0
2022-51,12.88
2022-52,6.29
2023-0,3.95
2023-1,0.0
2023-2,9.87
2023-3,10.07
2023-4,8.14
2023-5,3.8
2023-6,2.67
2023-7,13.23
2023-8,4.33
2023-9,6.77
2023-10,1.3
2023-11,4.97
2023-12,15.26
2023-13,13.54
2023-14,4.81
2023-15,5.41
2023-16,14.49
2023-17,15.72
2023-18,19.65
2023-19,18.35
2023-20,12.84
2023-21,14.16
2023-22,5.93
2023-23,19.43
2023-24,14.32
2023-25,8.25
2023-26,8.29
2023-27,10.07
2023-28,0.0
2023-29,15.98
2023-30,7.0
2023-31,1.56
2023-32,0.0
2023-33,9.1
2023-34,10.62
2023-35,11.77
2023-36,11.92
2023-37,8.43
2023-38,1.22
2023-39,0.0
2023-40,8.96
2023-41,2.92
2023-42,12.41
2023-43,4.62
2023-44,12.85
2023-45,8.89
2023-46,2.49
2023-47,0.0
2023-48,4.36
2023-49,0.0
2023-50,0.0
2023-51,4.56
2023-52,0.0
2024-0,7.78
2024-1,5.4
2024-2,0.0
2024-3,2.21
2024-4,6.02
2024-5,11.95
2024-6,2.54
2024-7,0.0
2024-8,0.0
2024-9,0.0
2024-10,0.0
