,hours
2020-48,1.21
2020-49,4.75
2020-50,6.91
2020-51,7.5
2020-52,8.62
2021-0,1.27
2021-1,11.5
2021-2,13.43
2021-3,9.61
2021-4,15.43
2021-5,12.96
2021-6,12.09
2021-7,13.72
2021-8,15.27
2021-9,10.37
2021-10,10.68
2021-11,8.79
2021-12,7.94
2021-13,8.72
2021-14,10.4
2021-15,15.74
2021-16,12.83
2021-17,11.48
2021-18,18.12
2021-19,6.86
2021-20,11.72
2021-21,18.56
2021-22,9.1
2021-23,18.12
2021-24,12.53
2021-25,10.82
2021-26,3.71
2021-27,15.26
2021-28,13.34
2021-29,9.99
2021-30,18.78
2021-31,12.92
2021-32,10.8
2021-33,18.18
2021-34,20.9
2021-35,24.95
2021-36,16.93
2021-37,18.32
2021-38,15.59
2021-39,18.29
2021-40,16.92
2021-41,15.72
2021-42,18.39
2021-43,12.08
2021-44,7.65
2021-45,8.25
2021-46,15.73
2021-47,11.29
2021-48,5.8
2021-49,11.74
2021-50,20.54
2021-51,11.08
2021-52,5.74
2022-0,2.74
2022-1,19.05
2022-2,12.95
2022-3,19.78
2022-4,15.2
2022-5,19.09
2022-6,4.19
2022-7,12.9
2022-8,2.1
2022-9,19.95
2022-10,16.21
2022-11,16.43
2022-12,18.14
2022-13,14.7
2022-14,12.64
2022-15,10.48
2022-16,8.14
2022-17,21.86
2022-18,10.77
2022-19,20.59
2022-20,14.29
2022-21,15.52
2022-22,25.81
2022-23,11.15
2022-24,8.16
2022-25,4.38
2022-26,8.2
2022-27,22.81
2022-28,13.52
2022-29,1.69
2022-30,13.59
2022-31,13.73
2022-32,14.12
2022-33,17.46
2022-34,15.11
2022-35,29.46
2022-36,19.01
2022-37,17.7
2022-38,22.18
2022-39,15.27
2022-40,17.9
2022-41,8.57
2022-42,14.88
2022-43,8.82
2022-44,22.17
2022-45,9.41
2022-46,11.96
2022-47,10.96
2022-48,13.2
2022-49,20.55
2022-50,15.15
2022-51,17.78
2022-52,5.39
2023-0,3.77
2023-1,15.38
2023-2,13.45
2023-3,8.94
2023-4,6.12
2023-5,14.38
2023-6,16.42
2023-7,6.14
2023-8,18.58
2023-9,10.79
2023-10,15.99
2023-11,11.29
2023-12,15.64
2023-13,16.78
2023-14,20.08
2023-15,13.86
2023-16,9.18
2023-17,5.63
2023-18,8.53
2023-19,4.84
2023-20,5.47
2023-21,11.55
2023-22,10.71
2023-23,9.14
2023-24,9.09
2023-25,8.75
2023-26,16.23
2023-27,0.89
2023-28,4.14
2023-29,5.35
2023-30,1.12
2023-31,6.7
2023-32,8.59
2023-33,8.72
2023-34,7.44
2023-35,11.05
2023-36,11.28
2023-37,11.75
2023-38,13.47
2023-39,9.34
2023-40,13.11
2023-41,14.93
2023-42,14.47
2023-43,11.13
2023-44,13.74
2023-45,2.72
2023-46,7.05
2023-47,10.09
2023-48,8.28
2023-49,13.04
2023-50,3.58
2023-51,8.93
2023-52,2.59
2024-0,8.6
2024-1,9.03
2024-2,20.09
2024-3,11.44
2024-4,16.49
2024-5,8.59
2024-6,9.56
2024-7,12.55
2024-8,9.97
2024-9,8.05
2024-10,3.62
2024-11,4.94
2024-12,9.98
2024-13,8.6
2024-14,19.71
2024-15,40.28
2024-16,27.45
2024-17,18.48
2024-18,8.77
2024-19,31.6
2024-20,9.89
2024-21,9.37
2024-22,7.1
2024-23,6.49
2024-24,5.52
2024-25,2.82
2024-26,11.85
2024-27,2.27
2024-28,0.0
2024-29,0.0
2024-30,14.19
2024-31,5.58
2024-32,5.39
2024-33,6.23
2024-34,17.94
2024-35,12.39
2024-36,3.71
2024-37,27.59
2024-38,16.98
2024-39,7.21
2024-40,6.86
2024-41,7.1
2024-42,11.14
2024-43,15.15
2024-44,5.95
2024-45,10.69
2024-46,9.35
2024-47,11.85
2024-48,5.82
2024-49,17.08
2024-50,0.0
2024-51,5.2
2024-52,4.75
2025-0,6.43
2025-1,8.54
2025-2,12.3
2025-3,9.91
2025-4,8.82
2025-5,0.0
2025-6,9.64
2025-7,5.2
2025-8,3.72
2025-9,1.36
2025-10,2.47
2025-11,1.8
2025-12,12.63
2025-13,12.68
2025-14,4.07
2025-15,17.98
2025-16,28.71
2025-17,22.85
2025-18,0.0
2025-19,2.46
2025-20,8.88
2025-21,11.41
2025-22,13.04
2025-23,3.53
2025-24,0.0
