,hours
2023-35,0.53
2023-36,8.18
2023-37,8.74
2023-38,14.3
2023-39,13.82
2023-40,11.14
2023-41,11.39
2023-42,9.24
2023-43,18.57
2023-44,10.75
2023-45,6.28
2023-46,4.24
2023-47,9.46
2023-48,11.31
2023-49,27.64
2023-50,52.61
2023-51,20.1
2023-52,2.45
2024-0,9.64
2024-1,15.76
2024-2,11.77
2024-3,29.44
2024-4,19.49
2024-5,18.77
2024-6,8.84
2024-7,21.76
2024-8,10.97
2024-9,11.43
2024-10,3.15
2024-11,12.8
2024-12,11.14
2024-13,15.4
2024-14,17.38
2024-15,48.28
2024-16,21.38
2024-17,17.36
2024-18,10.93
2024-19,25.92
2024-20,24.78
2024-21,11.98
2024-22,6.09
2024-23,8.26
2024-24,16.74
2024-25,13.29
2024-26,13.83
2024-27,11.13
2024-28,0.0
2024-29,11.63
2024-30,17.55
2024-31,11.03
2024-32,6.43
2024-33,15.06
2024-34,17.33
