,hours
2018-33,3.35
2018-34,0.0
2018-35,0.96
2018-36,0.0
2018-37,0.98
2018-38,0.25
2018-39,1.95
2018-40,0.0
2018-41,1.17
2018-42,2.95
2018-43,2.04
2018-44,0.2
2018-45,6.58
2018-46,2.46
2018-47,4.86
2018-48,3.43
2018-49,0.0
2018-50,1.12
2018-51,3.92
2018-52,1.98
2019-0,8.12
2019-1,10.49
2019-2,14.15
2019-3,12.25
2019-4,15.44
2019-5,11.12
2019-6,12.1
2019-7,7.0
2019-8,9.77
2019-9,10.4
2019-10,2.88
2019-11,12.13
2019-12,31.24
2019-13,16.73
2019-14,8.56
2019-15,8.56
2019-16,14.92
2019-17,32.52
2019-18,17.81
2019-19,5.21
2019-20,12.65
2019-21,15.4
2019-22,24.05
2019-23,11.74
2019-24,11.75
2019-25,25.7
2019-26,26.36
2019-27,17.7
2019-28,21.73
2019-29,8.52
2019-30,6.37
2019-31,23.03
2019-32,21.84
2019-33,11.21
2019-34,27.94
2019-35,20.3
2019-36,23.85
2019-37,8.12
2019-38,14.05
2019-39,35.32
2019-40,13.64
2019-41,5.43
2019-42,0.0
2019-43,12.18
2019-44,29.83
2019-45,25.47
2019-46,18.67
2019-47,19.99
2019-48,9.78
2019-49,17.06
2019-50,16.87
2019-51,23.71
2019-52,7.21
2020-0,7.63
2020-1,15.34
2020-2,15.53
2020-3,12.93
2020-4,20.0
2020-5,21.01
2020-6,0.0
2020-7,10.23
2020-8,23.04
2020-9,9.56
2020-10,14.67
2020-11,36.15
2020-12,38.59
2020-13,18.46
2020-14,9.4
2020-15,12.41
2020-16,22.93
2020-17,27.92
2020-18,29.78
2020-19,36.96
2020-20,12.54
2020-21,19.12
2020-22,5.02
2020-23,0.0
2020-24,0.0
2020-25,3.06
2020-26,9.32
2020-27,17.69
2020-28,5.17
2020-29,20.59
2020-30,23.25
2020-31,16.93
2020-32,47.68
2020-33,19.57
2020-34,4.75
2020-35,6.06
2020-36,7.36
2020-37,16.21
2020-38,27.73
2020-39,24.08
2020-40,10.13
2020-41,15.65
2020-42,12.39
2020-43,23.42
2020-44,23.42
2020-45,32.88
2020-46,27.7
2020-47,23.57
2020-48,35.1
2020-49,28.79
2020-50,27.07
2020-51,14.02
2020-52,20.45
2021-0,13.25
2021-1,24.55
2021-2,14.88
2021-3,11.53
2021-4,12.87
2021-5,18.36
2021-6,0.0
2021-7,5.86
2021-8,6.41
2021-9,18.42
2021-10,23.22
2021-11,34.93
2021-12,27.23
2021-13,16.65
2021-14,7.52
2021-15,0.0
2021-16,5.06
2021-17,7.98
2021-18,5.02
2021-19,2.57
2021-20,0.27
2021-21,0.0
2021-22,0.0
2021-23,14.11
2021-24,7.41
2021-25,13.74
2021-26,8.08
2021-27,4.09
2021-28,0.0
2021-29,11.79
2021-30,8.26
2021-31,12.09
2021-32,6.38
2021-33,8.02
2021-34,11.53
2021-35,29.23
2021-36,5.26
2021-37,5.96
2021-38,5.62
2021-39,0.99
2021-40,6.18
2021-41,6.03
2021-42,4.68
2021-43,5.25
2021-44,11.36
2021-45,0.82
2021-46,0.0
2021-47,9.73
2021-48,6.17
2021-49,7.39
2021-50,0.0
2021-51,1.34
2021-52,3.28
2022-0,0.0
2022-1,1.72
2022-2,3.69
2022-3,4.5
2022-4,10.85
2022-5,30.73
2022-6,8.06
2022-7,6.6
2022-8,0.0
2022-9,0.0
2022-10,1.13
2022-11,0.84
2022-12,4.35
2022-13,7.27
2022-14,7.45
2022-15,13.52
2022-16,3.89
2022-17,0.0
2022-18,0.0
2022-19,0.0
2022-20,2.42
2022-21,1.39
2022-22,2.32
2022-23,0.0
2022-24,2.16
2022-25,1.89
2022-26,0.0
2022-27,0.0
2022-28,2.54
2022-29,0.0
2022-30,0.0
2022-31,0.0
2022-32,4.68
2022-33,0.0
2022-34,4.86
2022-35,0.0
2022-36,2.38
2022-37,0.0
2022-38,0.0
2022-39,1.11
2022-40,6.07
2022-41,0.0
2022-42,0.0
2022-43,3.53
2022-44,3.42
2022-45,1.23
2022-46,31.75
2022-47,10.15
2022-48,5.16
2022-49,2.69
2022-50,0.0
2022-51,5.11
2022-52,1.31
2023-0,2.7
2023-1,0.0
2023-2,0.0
2023-3,5.96
2023-4,5.77
2023-5,7.74
2023-6,1.85
2023-7,2.16
2023-8,0.0
2023-9,0.0
2023-10,8.08
2023-11,7.65
2023-12,7.96
2023-13,2.76
2023-14,2.09
2023-15,6.66
2023-16,6.36
2023-17,0.0
2023-18,0.0
2023-19,0.0
2023-20,0.0
2023-21,0.99
2023-22,14.85
2023-23,6.87
2023-24,9.93
2023-25,8.99
2023-26,18.9
2023-27,1.99
2023-28,9.36
2023-29,0.0
2023-30,3.27
2023-31,7.65
2023-32,6.32
2023-33,4.51
2023-34,8.55
2023-35,2.41
2023-36,5.83
2023-37,22.64
2023-38,19.92
2023-39,0.0
2023-40,0.0
