,hours
2019-36,6.22
2019-37,9.06
2019-38,7.92
2019-39,6.28
2019-40,4.45
2019-41,5.79
2019-42,7.02
2019-43,5.81
2019-44,4.76
2019-45,8.7
2019-46,4.35
2019-47,9.08
2019-48,7.85
2019-49,4.6
2019-50,5.1
2019-51,9.11
2019-52,6.08
2020-0,6.88
2020-1,7.87
2020-2,4.83
2020-3,11.66
2020-4,7.49
2020-5,2.4
2020-6,8.33
2020-7,8.9
2020-8,7.91
2020-9,11.49
2020-10,9.85
2020-11,6.89
2020-12,12.67
2020-13,12.74
2020-14,13.66
2020-15,11.42
2020-16,12.05
2020-17,12.96
2020-18,28.2
2020-19,19.93
2020-20,6.47
2020-21,17.19
2020-22,10.48
2020-23,15.98
2020-24,10.68
2020-25,12.8
2020-26,14.57
2020-27,10.48
2020-28,19.88
2020-29,41.25
2020-30,22.47
2020-31,9.2
2020-32,44.32
2020-33,18.29
2020-34,15.32
2020-35,16.86
2020-36,18.75
2020-37,15.21
2020-38,32.58
2020-39,16.75
2020-40,13.72
2020-41,21.91
2020-42,9.24
2020-43,15.84
2020-44,29.77
2020-45,29.38
2020-46,37.53
2020-47,36.63
2020-48,29.34
2020-49,26.96
2020-50,27.86
2020-51,30.88
2020-52,16.02
2021-0,3.34
2021-1,46.66
2021-2,20.62
2021-3,49.78
2021-4,39.4
2021-5,34.16
2021-6,25.64
2021-7,35.08
2021-8,35.12
2021-9,21.9
2021-10,33.62
2021-11,32.84
2021-12,29.81
2021-13,40.2
2021-14,29.93
2021-15,41.54
2021-16,25.04
2021-17,19.68
2021-18,23.49
2021-19,13.81
2021-20,20.79
2021-21,28.49
2021-22,23.32
2021-23,13.43
2021-24,16.88
2021-25,29.8
2021-26,30.59
2021-27,32.71
2021-28,42.6
2021-29,46.5
2021-30,26.37
2021-31,32.62
2021-32,31.01
2021-33,30.61
2021-34,26.05
2021-35,30.52
2021-36,40.07
2021-37,21.03
2021-38,17.16
2021-39,39.2
2021-40,16.04
2021-41,28.87
2021-42,27.57
2021-43,22.74
2021-44,25.26
2021-45,25.65
2021-46,35.52
2021-47,34.45
2021-48,26.71
2021-49,33.5
2021-50,27.35
2021-51,37.41
2021-52,32.56
2022-0,0.0
2022-1,31.6
2022-2,38.9
2022-3,45.77
2022-4,37.47
2022-5,42.81
2022-6,44.37
2022-7,40.19
2022-8,34.88
2022-9,45.13
2022-10,32.89
2022-11,40.74
2022-12,41.46
2022-13,46.3
2022-14,15.28
2022-15,48.33
2022-16,38.44
2022-17,33.42
2022-18,40.89
2022-19,35.74
2022-20,31.84
2022-21,30.01
2022-22,38.13
2022-23,35.92
2022-24,27.17
2022-25,37.61
2022-26,26.71
2022-27,18.82
2022-28,30.79
2022-29,27.79
2022-30,18.59
2022-31,37.48
2022-32,46.08
2022-33,42.03
2022-34,36.82
2022-35,31.77
2022-36,37.93
2022-37,40.94
2022-38,37.11
2022-39,38.58
2022-40,38.61
2022-41,36.66
2022-42,23.53
2022-43,28.24
2022-44,30.34
2022-45,33.2
2022-46,48.46
2022-47,47.22
2022-48,32.37
2022-49,33.91
2022-50,29.27
2022-51,37.34
2022-52,30.17
2023-0,28.55
2023-1,35.7
2023-2,30.37
2023-3,27.5
2023-4,43.94
2023-5,39.7
2023-6,31.79
2023-7,50.16
2023-8,36.56
2023-9,11.66
2023-10,32.81
2023-11,37.8
2023-12,29.93
2023-13,40.64
2023-14,41.69
2023-15,30.46
2023-16,34.02
2023-17,37.69
2023-18,21.32
2023-19,47.38
2023-20,61.91
2023-21,40.06
2023-22,40.45
2023-23,36.47
2023-24,28.36
2023-25,35.3
2023-26,23.11
2023-27,36.36
2023-28,43.2
2023-29,42.74
2023-30,30.61
2023-31,18.86
2023-32,21.9
2023-33,29.01
2023-34,34.67
2023-35,25.81
2023-36,20.89
2023-37,15.84
2023-38,24.35
2023-39,30.55
2023-40,17.18
2023-41,21.51
2023-42,27.55
2023-43,20.7
2023-44,26.6
2023-45,27.8
2023-46,40.11
2023-47,34.83
2023-48,22.9
2023-49,56.38
2023-50,72.16
2023-51,21.97
2023-52,2.9
2024-0,14.95
2024-1,27.76
2024-2,53.07
2024-3,31.37
2024-4,46.77
2024-5,31.75
2024-6,19.66
2024-7,28.58
2024-8,37.15
2024-9,40.17
2024-10,26.33
2024-11,29.41
2024-12,23.24
2024-13,29.61
2024-14,40.62
2024-15,85.2
2024-16,31.0
2024-17,35.92
2024-18,42.26
2024-19,38.49
2024-20,29.68
2024-21,48.22
2024-22,15.68
2024-23,34.64
2024-24,36.89
2024-25,27.66
2024-26,42.9
2024-27,31.93
2024-28,34.53
2024-29,23.07
2024-30,37.13
2024-31,26.93
2024-32,17.1
2024-33,34.75
2024-34,30.65
2024-35,44.8
2024-36,36.49
2024-37,71.47
2024-38,37.04
2024-39,42.85
2024-40,35.3
2024-41,45.57
2024-42,34.7
2024-43,30.75
2024-44,44.06
2024-45,26.7
2024-46,36.98
2024-47,36.51
2024-48,71.46
2024-49,51.17
2024-50,31.9
2024-51,32.98
2024-52,17.17
2025-0,22.99
2025-1,31.81
2025-2,42.06
2025-3,50.03
2025-4,30.44
2025-5,44.5
2025-6,41.0
2025-7,38.08
2025-8,52.5
2025-9,4.14
