,hours
2019-48,1.12
2019-49,7.37
2019-50,5.35
2019-51,6.77
2019-52,8.66
2020-0,5.65
2020-1,7.06
2020-2,3.62
2020-3,8.78
2020-4,10.43
2020-5,6.37
2020-6,17.88
2020-7,14.42
2020-8,21.84
2020-9,24.28
2020-10,16.48
2020-11,23.93
2020-12,12.96
2020-13,6.86
2020-14,4.59
2020-15,6.53
2020-16,4.07
2020-17,35.13
2020-18,22.93
2020-19,17.87
2020-20,13.11
2020-21,7.52
2020-22,15.55
2020-23,0.0
2020-24,2.72
2020-25,15.5
2020-26,11.99
2020-27,14.0
2020-28,14.2
2020-29,20.24
2020-30,33.19
2020-31,34.86
2020-32,19.96
2020-33,53.5
2020-34,4.21
2020-35,20.61
2020-36,28.98
2020-37,17.13
2020-38,26.67
2020-39,30.53
2020-40,26.19
2020-41,10.22
2020-42,15.71
2020-43,11.74
2020-44,49.07
2020-45,15.1
2020-46,7.63
2020-47,24.6
2020-48,30.56
2020-49,23.16
2020-50,2.7
2020-51,9.14
2020-52,33.49
2021-0,3.3
2021-1,56.25
2021-2,39.08
2021-3,20.42
2021-4,27.54
2021-5,23.91
2021-6,20.64
2021-7,21.9
2021-8,34.01
2021-9,34.6
2021-10,7.78
2021-11,22.44
2021-12,28.25
2021-13,25.69
2021-14,54.76
2021-15,15.44
2021-16,13.97
2021-17,18.65
2021-18,22.12
2021-19,28.55
2021-20,36.78
2021-21,27.66
2021-22,40.2
2021-23,8.37
2021-24,7.33
2021-25,17.47
2021-26,12.87
2021-27,3.58
2021-28,26.44
2021-29,18.15
2021-30,6.28
2021-31,23.61
2021-32,12.14
2021-33,26.86
2021-34,23.63
2021-35,10.4
2021-36,0.96
2021-37,0.96
2021-38,3.18
2021-39,14.58
2021-40,18.96
2021-41,12.81
2021-42,1.37
2021-43,11.47
2021-44,8.95
2021-45,14.14
2021-46,18.01
2021-47,16.7
2021-48,9.31
2021-49,8.47
2021-50,5.91
2021-51,3.96
2021-52,5.83
2022-0,0.0
2022-1,26.29
2022-2,21.28
2022-3,14.95
2022-4,40.3
2022-5,11.69
2022-6,10.12
2022-7,2.46
2022-8,12.06
2022-9,11.07
2022-10,24.58
2022-11,11.92
2022-12,1.95
2022-13,8.67
2022-14,21.94
2022-15,26.35
2022-16,21.21
2022-17,8.55
2022-18,16.32
2022-19,15.18
2022-20,5.03
2022-21,0.0
2022-22,6.51
2022-23,8.65
2022-24,42.56
2022-25,31.14
2022-26,31.11
2022-27,34.93
2022-28,12.11
2022-29,43.8
2022-30,19.73
2022-31,16.05
2022-32,33.08
2022-33,13.79
2022-34,9.27
2022-35,15.18
2022-36,7.85
2022-37,15.42
2022-38,5.06
2022-39,40.3
2022-40,19.52
2022-41,33.34
2022-42,42.49
2022-43,55.32
2022-44,52.49
2022-45,16.2
2022-46,60.28
2022-47,17.72
2022-48,17.34
2022-49,10.5
2022-50,18.04
2022-51,19.15
2022-52,36.77
2023-0,36.31
2023-1,54.33
2023-2,56.61
2023-3,48.41
2023-4,34.39
2023-5,69.09
2023-6,40.83
2023-7,14.45
2023-8,28.96
2023-9,17.34
2023-10,12.87
2023-11,33.78
2023-12,25.8
2023-13,42.14
2023-14,45.86
2023-15,50.51
2023-16,56.81
2023-17,33.64
2023-18,28.49
2023-19,6.28
2023-20,6.58
2023-21,12.44
2023-22,12.89
2023-23,25.46
2023-24,7.93
2023-25,8.1
2023-26,11.82
2023-27,26.99
2023-28,5.04
2023-29,4.45
2023-30,8.02
2023-31,7.46
2023-32,5.95
2023-33,12.67
2023-34,9.29
2023-35,5.87
2023-36,2.3
2023-37,15.67
2023-38,8.75
2023-39,21.35
2023-40,25.72
2023-41,1.33
2023-42,13.85
2023-43,12.91
2023-44,36.8
2023-45,32.94
2023-46,12.65
2023-47,0.0
2023-48,3.5
2023-49,46.2
2023-50,10.91
2023-51,0.0
2023-52,0.0
2024-0,0.0
2024-1,0.0
2024-2,0.0
2024-3,0.0
2024-4,0.0
2024-5,0.0
2024-6,0.0
2024-7,0.0
2024-8,0.0
2024-9,0.0
2024-10,0.0
2024-11,1.99
2024-12,24.01
2024-13,33.54
2024-14,20.39
2024-15,48.63
2024-16,11.83
2024-17,48.58
2024-18,1.73
2024-19,2.83
2024-20,2.78
2024-21,7.8
2024-22,17.12
2024-23,39.58
2024-24,15.44
2024-25,11.86
2024-26,31.24
2024-27,20.57
2024-28,8.84
2024-29,16.5
2024-30,32.64
2024-31,23.47
2024-32,42.96
2024-33,35.49
2024-34,16.26
