,hours
2022-30,6.96
2022-31,5.3
2022-32,5.67
2022-33,10.9
2022-34,19.54
2022-35,18.15
2022-36,14.13
2022-37,28.82
2022-38,20.25
2022-39,23.86
2022-40,12.99
2022-41,33.3
2022-42,33.65
2022-43,19.64
2022-44,20.02
2022-45,6.41
2022-46,6.44
2022-47,27.55
2022-48,7.09
2022-49,6.68
2022-50,14.9
2022-51,16.79
2022-52,7.79
2023-0,7.99
2023-1,9.62
2023-2,8.56
2023-3,11.41
2023-4,6.02
2023-5,6.48
2023-6,12.64
2023-7,13.94
2023-8,5.51
2023-9,36.65
2023-10,26.45
2023-11,33.06
2023-12,20.72
2023-13,19.65
2023-14,30.47
2023-15,14.97
2023-16,53.43
2023-17,13.62
2023-18,23.42
2023-19,17.2
2023-20,24.43
2023-21,12.68
2023-22,14.49
2023-23,17.91
2023-24,18.05
2023-25,17.49
2023-26,23.83
2023-27,16.05
2023-28,35.91
2023-29,44.71
2023-30,3.51
2023-31,10.6
2023-32,2.78
2023-33,6.22
2023-34,15.9
2023-35,11.36
2023-36,8.63
2023-37,17.56
2023-38,20.0
2023-39,14.74
2023-40,20.78
2023-41,17.62
2023-42,12.31
2023-43,12.92
2023-44,11.19
2023-45,15.05
2023-46,11.91
2023-47,2.34
2023-48,4.88
2023-49,14.67
2023-50,10.99
2023-51,9.52
2023-52,2.26
2024-0,22.11
2024-1,10.18
2024-2,12.28
2024-3,7.56
2024-4,13.43
2024-5,13.73
2024-6,5.44
2024-7,6.53
2024-8,7.83
2024-9,3.6
2024-10,1.79
2024-11,7.19
2024-12,4.95
2024-13,13.59
2024-14,3.14
2024-15,18.84
2024-16,8.89
2024-17,19.0
2024-18,13.44
2024-19,6.79
2024-20,13.36
2024-21,11.46
2024-22,15.2
2024-23,21.75
2024-24,6.48
2024-25,5.87
2024-26,3.9
