,hours
2018-35,3.83
2018-36,2.99
2018-37,1.1
2018-38,0.99
2018-39,4.06
2018-40,3.88
2018-41,2.03
2018-42,1.86
2018-43,0.88
2018-44,4.08
2018-45,3.58
2018-46,2.91
2018-47,3.34
2018-48,5.11
2018-49,10.29
2018-50,11.48
2018-51,6.05
2018-52,0.0
2019-0,4.29
2019-1,6.32
2019-2,3.09
2019-3,1.13
2019-4,1.58
2019-5,1.02
2019-6,0.0
2019-7,3.08
2019-8,5.98
2019-9,5.24
2019-10,6.48
2019-11,4.82
2019-12,10.32
2019-13,4.35
2019-14,5.83
2019-15,12.68
2019-16,10.17
2019-17,8.91
2019-18,5.83
2019-19,7.44
2019-20,6.36
2019-21,5.31
2019-22,4.72
2019-23,6.66
2019-24,8.22
2019-25,3.91
2019-26,6.03
2019-27,4.08
2019-28,3.57
2019-29,7.71
2019-30,4.74
2019-31,6.45
2019-32,4.88
2019-33,6.68
2019-34,5.52
2019-35,5.66
2019-36,4.67
2019-37,7.16
2019-38,7.38
2019-39,9.46
2019-40,8.06
2019-41,10.13
2019-42,5.19
2019-43,7.16
2019-44,8.07
2019-45,10.61
2019-46,4.87
2019-47,0.0
2019-48,1.0
2019-49,1.18
2019-50,1.96
2019-51,3.21
2019-52,0.0
2020-0,2.12
2020-1,0.0
2020-2,1.03
2020-3,2.18
2020-4,0.0
2020-5,1.42
2020-6,2.61
2020-7,2.84
2020-8,4.12
2020-9,3.4
2020-10,4.49
2020-11,2.53
2020-12,0.0
2020-13,6.58
2020-14,2.29
2020-15,4.04
2020-16,0.0
2020-17,1.79
2020-18,1.35
2020-19,7.3
2020-20,5.03
2020-21,1.36
2020-22,2.54
2020-23,2.63
2020-24,4.28
2020-25,1.99
2020-26,4.85
2020-27,7.05
2020-28,0.0
2020-29,5.6
2020-30,5.89
2020-31,10.59
2020-32,5.53
2020-33,10.34
2020-34,5.61
2020-35,7.76
2020-36,7.14
2020-37,6.02
2020-38,6.29
2020-39,3.11
2020-40,0.0
2020-41,0.0
2020-42,0.0
2020-43,7.58
2020-44,3.44
2020-45,6.33
2020-46,3.38
2020-47,4.87
2020-48,1.89
2020-49,6.37
2020-50,1.79
2020-51,6.58
2020-52,3.95
2021-0,1.09
2021-1,4.6
2021-2,4.85
2021-3,5.09
2021-4,8.28
2021-5,3.61
2021-6,12.97
2021-7,7.87
2021-8,10.44
2021-9,19.98
2021-10,15.29
2021-11,3.62
2021-12,3.5
2021-13,6.77
2021-14,6.23
2021-15,0.0
2021-16,3.46
2021-17,8.64
2021-18,8.82
2021-19,7.87
2021-20,3.74
2021-21,0.0
2021-22,0.0
2021-23,0.0
2021-24,4.06
2021-25,0.0
2021-26,0.0
2021-27,4.66
2021-28,1.64
2021-29,1.74
2021-30,4.91
2021-31,0.0
2021-32,3.28
2021-33,2.56
2021-34,4.41
2021-35,1.38
2021-36,7.96
2021-37,0.0
2021-38,0.0
2021-39,6.08
2021-40,1.55
2021-41,0.0
2021-42,0.0
2021-43,0.0
2021-44,0.0
2021-45,0.0
2021-46,0.0
2021-47,0.0
2021-48,0.0
2021-49,8.29
2021-50,5.28
2021-51,10.86
2021-52,0.0
2022-0,0.0
2022-1,4.79
2022-2,0.0
2022-3,0.0
2022-4,1.93
2022-5,0.0
2022-6,5.82
2022-7,5.14
2022-8,0.0
2022-9,0.0
2022-10,3.5
2022-11,0.0
2022-12,0.0
2022-13,3.12
2022-14,0.0
2022-15,0.0
2022-16,0.0
2022-17,0.0
2022-18,0.0
2022-19,0.0
2022-20,0.0
2022-21,0.54
2022-22,4.01
2022-23,3.01
2022-24,4.1
2022-25,0.0
2022-26,0.0
2022-27,0.0
2022-28,0.0
2022-29,0.0
2022-30,0.0
2022-31,0.0
2022-32,0.0
2022-33,0.0
2022-34,0.0
2022-35,5.43
2022-36,6.9
2022-37,0.0
2022-38,2.57
2022-39,7.62
2022-40,0.0
2022-41,9.86
2022-42,0.0
2022-43,0.0
2022-44,1.0
2022-45,4.67
2022-46,5.61
2022-47,5.49
2022-48,0.0
2022-49,10.09
2022-50,14.22
2022-51,2.08
2022-52,4.5
2023-0,1.75
2023-1,5.97
2023-2,8.66
2023-3,10.54
2023-4,2.92
2023-5,0.0
2023-6,1.81
2023-7,0.0
