,hours
2021-34,13.8
2021-35,15.46
2021-36,11.82
2021-37,8.58
2021-38,18.19
2021-39,20.12
2021-40,11.72
2021-41,11.68
2021-42,8.89
2021-43,14.62
2021-44,14.44
2021-45,10.49
2021-46,4.73
2021-47,19.32
2021-48,0.0
2021-49,10.53
2021-50,16.36
2021-51,10.84
2021-52,6.2
2022-0,0.92
2022-1,27.33
2022-2,5.89
2022-3,13.87
2022-4,7.38
2022-5,14.4
2022-6,20.77
2022-7,14.65
2022-8,13.57
2022-9,7.46
2022-10,8.47
2022-11,6.47
2022-12,14.0
2022-13,14.81
2022-14,9.82
2022-15,1.87
2022-16,11.77
2022-17,7.82
2022-18,7.91
2022-19,11.72
2022-20,15.19
2022-21,9.55
2022-22,13.49
2022-23,14.01
2022-24,12.5
2022-25,16.95
2022-26,0.0
2022-27,2.27
2022-28,1.28
2022-29,10.34
2022-30,10.66
2022-31,8.48
2022-32,8.48
2022-33,18.14
2022-34,22.34
2022-35,9.59
2022-36,15.99
2022-37,9.36
2022-38,9.96
2022-39,10.8
2022-40,10.76
2022-41,12.85
2022-42,12.76
2022-43,28.5
2022-44,12.16
2022-45,17.62
2022-46,23.24
2022-47,16.56
2022-48,13.0
2022-49,21.65
2022-50,23.1
2022-51,9.73
2022-52,6.31
2023-0,3.92
2023-1,6.92
2023-2,7.56
2023-3,22.66
2023-4,13.14
2023-5,17.85
2023-6,15.92
2023-7,9.36
2023-8,6.04
2023-9,17.28
2023-10,20.57
2023-11,10.29
2023-12,19.35
2023-13,19.21
2023-14,16.2
2023-15,19.9
2023-16,2.17
2023-17,11.96
2023-18,15.75
2023-19,21.52
2023-20,16.61
2023-21,14.15
2023-22,23.32
2023-23,13.59
2023-24,2.34
2023-25,13.74
2023-26,20.68
2023-27,8.7
2023-28,21.31
2023-29,10.85
2023-30,2.52
2023-31,8.67
2023-32,11.83
2023-33,16.88
2023-34,18.57
2023-35,5.61
2023-36,3.33
2023-37,9.11
2023-38,15.71
2023-39,13.38
2023-40,23.01
2023-41,21.39
2023-42,12.89
2023-43,13.98
2023-44,33.45
2023-45,0.0
2023-46,15.65
2023-47,0.0
2023-48,25.79
2023-49,24.44
2023-50,25.4
2023-51,22.26
2023-52,10.18
2024-0,28.42
2024-1,7.7
2024-2,8.36
2024-3,9.08
2024-4,15.86
2024-5,39.96
2024-6,15.01
2024-7,16.74
2024-8,17.91
2024-9,2.54
2024-10,4.76
2024-11,2.9
2024-12,7.2
2024-13,3.72
2024-14,23.6
2024-15,32.6
2024-16,20.66
2024-17,6.19
2024-18,21.02
2024-19,20.84
2024-20,29.38
2024-21,17.59
2024-22,5.29
2024-23,6.85
2024-24,8.03
2024-25,18.58
2024-26,2.44
2024-27,11.79
2024-28,15.77
2024-29,27.2
2024-30,18.73
2024-31,5.42
2024-32,18.39
2024-33,2.57
2024-34,2.56
2024-35,4.79
2024-36,1.83
2024-37,20.09
2024-38,6.52
2024-39,9.47
2024-40,0.0
2024-41,0.0
