,hours
2023-1,6.42
2023-2,10.34
2023-3,16.39
2023-4,12.15
2023-5,17.76
2023-6,17.63
2023-7,27.73
2023-8,25.11
2023-9,21.13
2023-10,16.4
2023-11,9.78
2023-12,21.67
2023-13,14.21
2023-14,21.51
2023-15,17.67
2023-16,10.95
2023-17,19.97
2023-18,23.04
2023-19,17.39
2023-20,30.14
2023-21,17.66
2023-22,24.13
2023-23,11.31
2023-24,8.0
2023-25,16.58
2023-26,17.92
2023-27,16.6
2023-28,12.42
2023-29,5.7
2023-30,12.04
2023-31,10.16
2023-32,14.7
2023-33,12.06
2023-34,19.2
2023-35,1.49
2023-36,7.76
2023-37,39.1
2023-38,17.87
2023-39,12.53
2023-40,14.67
2023-41,7.33
2023-42,2.75
2023-43,9.47
2023-44,10.21
2023-45,19.08
2023-46,4.45
2023-47,7.86
2023-48,20.93
2023-49,13.91
2023-50,17.19
2023-51,11.88
2023-52,3.44
2024-0,5.25
2024-1,15.06
2024-2,5.58
2024-3,0.0
2024-4,3.03
2024-5,2.25
2024-6,1.92
