,hours
2023-30,15.45
2023-31,22.14
2023-32,27.52
2023-33,33.33
2023-34,27.54
2023-35,37.96
2023-36,35.28
2023-37,24.99
2023-38,44.08
2023-39,28.74
2023-40,25.09
2023-41,28.94
2023-42,33.43
2023-43,26.0
2023-44,37.95
2023-45,26.45
2023-46,20.04
2023-47,39.17
2023-48,21.12
2023-49,20.62
2023-50,25.67
2023-51,25.15
2023-52,0.0
2024-0,24.52
2024-1,28.37
2024-2,23.18
2024-3,37.03
2024-4,37.22
2024-5,12.9
2024-6,30.36
2024-7,32.72
2024-8,26.71
2024-9,26.18
2024-10,27.68
2024-11,24.69
2024-12,27.82
2024-13,26.97
2024-14,33.13
2024-15,43.26
2024-16,25.73
2024-17,19.8
2024-18,18.52
2024-19,9.33
2024-20,18.28
2024-21,1.18
2024-22,35.46
2024-23,25.4
2024-24,23.35
2024-25,28.15
2024-26,18.49
2024-27,9.88
2024-28,8.91
2024-29,12.07
2024-30,12.82
2024-31,15.64
2024-32,11.33
2024-33,17.32
2024-34,26.54
2024-35,32.33
2024-36,25.49
2024-37,51.03
2024-38,20.87
2024-39,22.06
2024-40,34.39
2024-41,35.57
2024-42,33.07
2024-43,33.19
2024-44,33.2
2024-45,34.41
2024-46,25.44
2024-47,4.67
2024-48,32.71
2024-49,18.35
2024-50,6.85
2024-51,15.94
2024-52,12.63
2025-0,18.25
2025-1,20.13
2025-2,12.88
2025-3,32.75
2025-4,28.88
2025-5,52.58
2025-6,47.68
2025-7,24.5
2025-8,24.74
2025-9,13.57
2025-10,24.75
2025-11,30.76
2025-12,28.37
2025-13,32.91
2025-14,26.57
2025-15,27.38
2025-16,36.67
2025-17,20.44
2025-18,7.37
