,hours
2020-32,1.86
2020-33,8.06
2020-34,16.25
2020-35,20.21
2020-36,17.45
2020-37,18.44
2020-38,12.48
2020-39,10.9
2020-40,16.1
2020-41,18.71
2020-42,18.12
2020-43,17.31
2020-44,21.58
2020-45,24.99
2020-46,19.5
2020-47,16.49
2020-48,20.85
2020-49,20.17
2020-50,15.47
2020-51,17.57
2020-52,8.43
2021-0,6.94
2021-1,13.8
2021-2,8.19
2021-3,20.49
2021-4,17.97
2021-5,27.79
2021-6,24.18
2021-7,13.79
2021-8,13.44
2021-9,15.17
2021-10,6.42
2021-11,16.13
2021-12,18.41
2021-13,19.34
2021-14,20.72
2021-15,26.63
2021-16,25.14
2021-17,22.55
2021-18,24.73
2021-19,22.07
2021-20,13.76
2021-21,9.83
2021-22,18.75
2021-23,10.77
2021-24,22.9
2021-25,17.6
2021-26,19.68
2021-27,12.62
2021-28,22.01
2021-29,27.96
2021-30,16.23
2021-31,7.85
2021-32,13.63
2021-33,26.16
2021-34,18.46
2021-35,11.25
2021-36,10.92
2021-37,16.47
2021-38,6.83
2021-39,20.81
2021-40,12.06
2021-41,13.28
2021-42,10.78
2021-43,13.27
2021-44,10.69
2021-45,18.12
2021-46,17.54
2021-47,13.03
2021-48,19.38
2021-49,23.96
2021-50,10.56
2021-51,20.89
2021-52,14.15
2022-0,5.81
2022-1,8.82
2022-2,15.15
2022-3,16.26
2022-4,9.83
2022-5,13.05
2022-6,15.51
2022-7,5.88
2022-8,13.4
2022-9,13.83
2022-10,11.48
2022-11,7.67
2022-12,10.58
2022-13,10.52
2022-14,13.68
2022-15,15.79
2022-16,13.88
2022-17,7.92
2022-18,16.65
2022-19,0.0
2022-20,12.84
2022-21,13.48
2022-22,13.28
2022-23,12.27
2022-24,15.42
2022-25,8.99
2022-26,10.26
2022-27,6.99
2022-28,10.05
2022-29,11.58
2022-30,7.89
2022-31,13.24
2022-32,10.74
2022-33,4.05
2022-34,5.06
2022-35,7.02
2022-36,9.72
2022-37,13.67
2022-38,8.11
2022-39,5.41
2022-40,9.07
2022-41,8.47
2022-42,9.11
2022-43,2.46
2022-44,6.9
2022-45,8.37
2022-46,6.43
2022-47,5.98
2022-48,9.27
2022-49,12.65
2022-50,8.45
2022-51,0.0
2022-52,5.6
2023-0,7.64
2023-1,6.79
2023-2,7.17
2023-3,8.9
2023-4,18.28
2023-5,12.39
2023-6,10.09
2023-7,10.55
2023-8,1.6
2023-9,12.0
2023-10,4.74
2023-11,4.13
2023-12,9.99
2023-13,8.49
2023-14,9.5
2023-15,6.6
2023-16,1.81
2023-17,9.25
2023-18,8.63
2023-19,1.82
2023-20,2.26
2023-21,7.62
2023-22,5.64
2023-23,3.2
2023-24,9.55
2023-25,9.48
2023-26,3.63
2023-27,5.66
2023-28,8.15
2023-29,5.76
2023-30,5.15
2023-31,2.83
2023-32,7.01
2023-33,5.2
2023-34,6.88
2023-35,10.61
2023-36,7.89
2023-37,14.24
2023-38,3.53
2023-39,0.0
2023-40,0.93
2023-41,2.09
2023-42,4.99
2023-43,4.36
2023-44,6.94
2023-45,5.23
2023-46,2.02
2023-47,4.2
2023-48,4.8
2023-49,13.9
2023-50,7.83
2023-51,1.07
2023-52,0.45
2024-0,5.62
2024-1,10.62
2024-2,5.92
2024-3,20.83
2024-4,5.06
2024-5,10.99
2024-6,11.93
2024-7,7.67
2024-8,9.0
2024-9,3.95
2024-10,0.0
