,hours
2020-36,1.03
2020-37,11.19
2020-38,11.75
2020-39,15.61
2020-40,11.44
2020-41,11.68
2020-42,16.04
2020-43,3.32
2020-44,8.26
2020-45,9.94
2020-46,10.68
2020-47,5.21
2020-48,15.6
2020-49,11.45
2020-50,10.04
2020-51,6.59
2020-52,16.84
2021-0,0.0
2021-1,22.79
2021-2,17.94
2021-3,21.76
2021-4,23.93
2021-5,6.3
2021-6,16.04
2021-7,12.55
2021-8,12.7
2021-9,11.65
2021-10,14.21
2021-11,10.67
2021-12,18.77
2021-13,10.22
2021-14,24.99
2021-15,12.67
2021-16,20.02
2021-17,9.38
2021-18,18.56
2021-19,11.0
2021-20,14.89
2021-21,9.73
2021-22,5.4
2021-23,14.55
2021-24,13.45
2021-25,6.82
2021-26,15.91
2021-27,10.17
2021-28,14.66
2021-29,15.14
2021-30,6.69
2021-31,15.5
2021-32,15.74
2021-33,33.04
2021-34,5.16
2021-35,13.3
2021-36,7.57
2021-37,26.44
2021-38,7.64
2021-39,19.1
2021-40,19.27
2021-41,23.27
2021-42,9.46
2021-43,27.6
2021-44,19.13
2021-45,21.82
2021-46,33.39
2021-47,34.03
2021-48,24.66
2021-49,25.49
2021-50,17.15
2021-51,22.66
2021-52,19.7
2022-0,3.37
2022-1,30.77
2022-2,18.48
2022-3,9.95
2022-4,11.71
2022-5,6.46
2022-6,14.63
2022-7,3.71
2022-8,5.86
2022-9,16.97
2022-10,23.27
2022-11,11.82
2022-12,22.74
2022-13,9.11
2022-14,19.93
2022-15,16.91
2022-16,16.17
2022-17,0.0
2022-18,20.4
2022-19,11.22
2022-20,11.17
2022-21,12.0
2022-22,4.1
2022-23,1.2
2022-24,17.79
2022-25,23.65
2022-26,2.6
2022-27,7.68
2022-28,8.89
2022-29,12.91
2022-30,27.18
2022-31,25.01
2022-32,7.7
2022-33,15.41
2022-34,25.5
2022-35,21.65
2022-36,16.43
2022-37,9.76
2022-38,3.64
2022-39,3.21
2022-40,0.21
2022-41,15.71
2022-42,6.49
2022-43,8.68
2022-44,10.46
2022-45,16.7
2022-46,19.39
2022-47,14.41
2022-48,17.94
2022-49,20.39
2022-50,14.31
2022-51,11.29
2022-52,2.5
2023-0,27.31
2023-1,5.63
2023-2,5.58
2023-3,0.0
2023-4,8.49
2023-5,3.47
2023-6,8.89
2023-7,22.16
2023-8,18.68
2023-9,4.45
2023-10,6.41
2023-11,27.73
2023-12,18.42
2023-13,12.45
2023-14,22.58
2023-15,27.46
2023-16,22.18
2023-17,24.36
2023-18,13.1
2023-19,17.22
2023-20,22.62
2023-21,8.79
2023-22,28.95
2023-23,23.66
2023-24,13.36
2023-25,27.65
2023-26,4.72
2023-27,18.65
2023-28,21.9
2023-29,34.1
2023-30,12.49
2023-31,25.61
2023-32,7.67
2023-33,26.24
2023-34,21.4
2023-35,33.53
2023-36,23.37
2023-37,18.86
2023-38,35.55
2023-39,40.9
2023-40,16.67
2023-41,6.11
2023-42,36.34
2023-43,21.93
2023-44,26.44
2023-45,9.43
2023-46,23.08
2023-47,13.48
2023-48,22.0
2023-49,29.79
2023-50,5.42
2023-51,10.38
2023-52,0.0
2024-0,35.4
2024-1,37.25
2024-2,5.92
2024-3,17.21
2024-4,32.18
2024-5,47.34
2024-6,30.93
2024-7,19.69
2024-8,19.25
2024-9,15.35
2024-10,12.64
2024-11,29.03
2024-12,16.29
2024-13,14.95
2024-14,46.65
2024-15,45.93
2024-16,15.94
2024-17,4.27
2024-18,4.18
2024-19,0.0
2024-20,0.0
2024-21,16.27
2024-22,6.18
2024-23,7.85
2024-24,26.28
2024-25,24.08
2024-26,31.24
2024-27,19.87
2024-28,16.9
2024-29,32.11
2024-30,22.93
2024-31,6.91
2024-32,15.89
2024-33,20.64
2024-34,31.22
2024-35,24.52
2024-36,21.1
2024-37,28.04
2024-38,20.4
2024-39,23.33
2024-40,27.87
2024-41,30.97
2024-42,31.68
2024-43,26.61
2024-44,22.8
2024-45,14.55
2024-46,13.23
2024-47,32.8
2024-48,24.02
2024-49,28.7
