,hours
2024-25,14.22
2024-26,24.42
2024-27,12.99
2024-28,29.0
2024-29,13.29
2024-30,20.94
2024-31,17.87
2024-32,18.32
2024-33,17.12
2024-34,22.07
2024-35,32.36
2024-36,16.06
2024-37,28.21
2024-38,16.23
2024-39,10.23
2024-40,23.89
2024-41,16.79
2024-42,15.79
2024-43,18.17
2024-44,8.26
2024-45,8.61
2024-46,20.0
2024-47,13.59
2024-48,14.1
2024-49,13.61
2024-50,12.08
2024-51,15.64
2024-52,1.84
2025-0,7.55
2025-1,22.98
2025-2,13.76
2025-3,16.64
2025-4,24.53
2025-5,12.93
2025-6,20.48
2025-7,19.93
2025-8,4.12
2025-9,10.12
2025-10,0.0
2025-11,0.0
