,hours
2024-44,0.51
2024-45,10.82
2024-46,8.18
2024-47,8.99
2024-48,9.28
2024-49,10.51
2024-50,26.08
2024-51,13.64
2024-52,5.28
2025-0,9.47
2025-1,11.75
2025-2,19.82
2025-3,10.48
2025-4,23.33
2025-5,22.92
2025-6,15.82
2025-7,24.76
2025-8,35.93
2025-9,14.06
2025-10,10.71
2025-11,18.19
2025-12,15.37
2025-13,13.97
2025-14,6.87
2025-15,14.26
2025-16,25.33
2025-17,26.54
2025-18,35.27
2025-19,21.25
2025-20,22.84
2025-21,26.77
2025-22,18.19
2025-23,21.46
2025-24,17.13
2025-25,23.55
2025-26,15.43
2025-27,7.41
2025-28,4.67
