,hours
2018-35,1.97
2018-36,3.02
2018-37,2.45
2018-38,2.06
2018-39,5.53
2018-40,4.69
2018-41,2.84
2018-42,3.38
2018-43,8.18
2018-44,7.26
2018-45,6.07
2018-46,13.35
2018-47,8.43
2018-48,16.22
2018-49,16.39
2018-50,12.91
2018-51,14.71
2018-52,1.92
2019-0,15.93
2019-1,16.41
2019-2,13.69
2019-3,21.35
2019-4,17.52
2019-5,15.76
2019-6,18.45
2019-7,12.58
2019-8,15.22
2019-9,15.6
2019-10,22.63
2019-11,16.74
2019-12,14.01
2019-13,13.27
2019-14,13.55
2019-15,7.83
2019-16,11.89
2019-17,6.25
2019-18,6.44
2019-19,3.41
2019-20,5.91
2019-21,16.8
2019-22,4.39
2019-23,3.93
2019-24,8.37
2019-25,20.0
2019-26,6.46
2019-27,12.29
2019-28,9.97
2019-29,8.5
2019-30,8.97
2019-31,7.28
2019-32,3.21
2019-33,5.62
2019-34,15.52
2019-35,4.73
2019-36,6.84
2019-37,10.27
2019-38,18.4
2019-39,11.36
2019-40,12.38
2019-41,13.34
2019-42,14.73
2019-43,14.04
2019-44,12.36
2019-45,21.77
2019-46,18.42
2019-47,14.36
2019-48,13.53
2019-49,22.4
2019-50,10.11
2019-51,7.54
2019-52,1.67
2020-0,8.35
2020-1,11.05
2020-2,10.34
2020-3,9.31
2020-4,5.41
2020-5,14.78
2020-6,8.17
2020-7,16.48
2020-8,9.44
2020-9,16.91
2020-10,3.82
2020-11,12.78
2020-12,5.78
2020-13,13.21
2020-14,36.12
2020-15,43.05
2020-16,44.72
2020-17,39.7
2020-18,42.62
2020-19,50.06
2020-20,43.06
2020-21,29.45
2020-22,34.57
2020-23,31.6
2020-24,53.66
2020-25,20.39
2020-26,21.28
2020-27,26.92
2020-28,21.88
2020-29,23.11
2020-30,10.11
2020-31,22.85
2020-32,18.7
2020-33,9.25
2020-34,12.9
2020-35,29.92
2020-36,15.46
2020-37,14.11
2020-38,14.95
2020-39,13.74
2020-40,10.24
2020-41,7.25
2020-42,6.47
2020-43,12.71
2020-44,17.69
2020-45,17.55
2020-46,12.67
2020-47,0.0
2020-48,1.85
2020-49,14.24
2020-50,7.64
2020-51,9.18
2020-52,25.09
2021-0,1.73
2021-1,12.3
2021-2,6.43
2021-3,18.39
2021-4,12.44
2021-5,12.8
2021-6,14.02
2021-7,3.19
2021-8,4.38
2021-9,19.61
2021-10,10.76
