,hours
2019-51,0.98
2019-52,2.83
2020-0,4.26
2020-1,6.23
2020-2,11.26
2020-3,16.83
2020-4,15.54
2020-5,16.82
2020-6,13.26
2020-7,18.03
2020-8,17.98
2020-9,21.08
2020-10,20.89
2020-11,17.22
2020-12,21.4
2020-13,19.41
2020-14,25.72
2020-15,15.93
2020-16,17.33
2020-17,18.67
2020-18,37.82
2020-19,30.34
2020-20,35.34
2020-21,34.09
2020-22,33.54
2020-23,28.33
2020-24,30.19
2020-25,35.17
2020-26,32.76
2020-27,31.34
2020-28,18.66
2020-29,23.53
2020-30,17.29
2020-31,32.05
2020-32,18.61
2020-33,32.54
2020-34,32.88
2020-35,37.45
2020-36,32.84
2020-37,25.81
2020-38,23.15
2020-39,0.99
2020-40,0.0
2020-41,0.0
2020-42,12.4
2020-43,9.36
2020-44,35.43
2020-45,27.95
2020-46,20.27
2020-47,17.96
2020-48,0.0
2020-49,0.0
2020-50,14.9
2020-51,12.12
2020-52,16.31
2021-0,11.3
2021-1,37.9
2021-2,25.67
2021-3,30.0
2021-4,21.14
2021-5,23.32
2021-6,24.42
2021-7,13.02
2021-8,11.11
2021-9,21.68
2021-10,37.17
2021-11,21.49
2021-12,23.04
2021-13,17.02
2021-14,50.24
2021-15,37.93
2021-16,16.91
2021-17,42.73
2021-18,22.29
2021-19,7.76
2021-20,33.49
2021-21,19.41
2021-22,28.86
2021-23,22.87
2021-24,11.81
2021-25,18.15
2021-26,19.08
