,zero,least,most
hololive,EB9989,E7F7FB,89DBEB
sora,E9A401,CCDAFA,0146E9
roboco,4F8050,E5DBE5,804F7F
miko,4BFFD6,FFDBE3,FF4B74
suisei,D0A26A,E1EAF5,6A98D0
azki,1CD177,F5D1E3,D11C76
mel,0443FF,FFF2CC,FFC004
fubuki,FF5D2B,D4F5FF,2BCDFF
matsuri,06B0FF,FFDDCD,FF5506
haachama,06D9B6,F7CDD4,D90629
aki,06D45A,F6CDE5,D40680
aqua,5DFE84,FEDEF7,FE5DD7
shion,8EC157,E7DDF2,8A57C1
ayame,23CDB6,F5D3D7,CD233A
choco,5D8BE9,FAF1DE,E9BB5D
subaru,4217E7,F1FAD0,BCE717
mio,72714F,DBDCE2,4F5072
okayu,8FE866,F2E0FA,BF66E8
korone,143CDC,F8F0D0,DCB414
pekora,EB9565,E0F1FB,65BBEB
rushia,E10C32,CEF9F1,0CE1BB
flare,11B2DB,F7D7CF,DB3A11
noel,9E958A,E7E9EB,8A939E
marine,1397A8,EDD3CF,A82413
kanata,EBA377,E3F2FB,77BFEB
coco,127DDD,F8E2CF,DD7212
watame,8989DB,F7F7E7,DBDB89
towa,E4EBA2,EDECFB,A9A2EB
luna,6DDE9D,F8E1EE,DE6DAE
lamy,DF7247,DAF0F8,47B4DF
nene,1097FF,FFE4CF,FF7810
botan,CF5F87,DFF5ED,5FCFA7
polka,09AAAA,EECDCD,AA0909
laplus,649714,DAD0EA,471497
lui,36524A,DCD6D8,52363E
koyori,68FFBA,FFE0EE,FF68AD
chloe,0CA9AB,EECECE,AB0E0C
iroha,BF454E,D9F2F0,45BFB6
risu,82EDED,FBE6E6,ED8282
moona,93BE4E,E4DBF2,794EBE
iofi,6A0BDD,E5F8CE,7EDD0B
ollie,0CD993,F7CEDC,D90C52
anya,1159E7,FAEBCF,E79F11
reine,7F7404,CCCFE5,040F7F
zeta,ACA398,EAECEE,98A1AC
kaela,25DCD9,F8D3D4,DC2528
kobo,E4B893,E9F2F9,93BFE4
calli,03A197,ECCCCE,A1030D
kiara,1CCAFF,FFDCD1,FF511C
ina,6A6A3F,D8D8E1,3F3F6A
gura,B28239,D7E1EF,3969B2
ame,3A6DF2,FCF2D7,F2BF3A
irys,96BCA2,F1EAEF,BC96B0
fauna,CA3398,D6F4E0,33CA65
sana,83D7AD,F7E6EE,D783AD
kronii,989B18,D1D0EB,1B189B
mumei,71A0C2,F2E9E2,C29371
bae,29E7FB,FED8D4,FB3D29
miyabi,4BFFF0,FFDBDE,FF4B5A
kira,FF1514,D0FEFF,14FEFF
izuru,B69C31,D5DBF0,314BB6
aruran,753556,D6E3DC,357554
rikka,BCF3EE,FCF1F2,F3BCC1
astel,B26D0E,CEDCEF,0E53B2
temma,393CEE,FBFBD7,EEEB39
roberu,0C8AFA,FEE4CE,FA7C0C
kaoru,B8FDFC,FEF0F1,FDB8B9
shien,88AC69,E8E1EE,8D69AC
oga,9841FB,ECFED9,A4FB41
fuma,396CFF,FFF4D7,FFCC39
uyu,57A0FF,FFF0DD,FFB657
gamma,0DFBE8,FECED2,FB0D20
rio,DED9B0,EFF0F8,B0B5DE
altare,E68C5D,DEF0FA,5DB7E6
magni,5F733C,DCD8E3,503C73
axel,2681FF,FFECD3,FFA426
vesper,72675C,DEE0E2,5C6772
bettel,45F790,FDD9EE,F745AC
flayon,3DDAE5,F9DAD8,E5483D
hakka,CEFCA1,F5ECFE,CFA1FC
shinri,38A1BE,F2DDD7,BE5538
