,hours
2021-34,7.55
2021-35,8.44
2021-36,18.43
2021-37,11.74
2021-38,6.98
2021-39,10.3
2021-40,10.07
2021-41,13.83
2021-42,15.55
2021-43,14.45
2021-44,4.77
2021-45,5.78
2021-46,12.47
2021-47,16.63
2021-48,14.02
2021-49,12.71
2021-50,11.75
2021-51,3.11
2021-52,0.68
2022-0,0.0
2022-1,10.7
2022-2,7.73
2022-3,17.68
2022-4,11.91
2022-5,7.32
2022-6,6.21
2022-7,14.05
2022-8,4.78
2022-9,14.58
2022-10,27.35
2022-11,2.22
2022-12,14.62
2022-13,6.38
2022-14,11.76
2022-15,11.48
2022-16,18.39
2022-17,12.99
2022-18,19.25
2022-19,8.93
2022-20,7.81
2022-21,8.44
2022-22,13.65
2022-23,9.06
2022-24,14.19
2022-25,6.15
2022-26,26.96
2022-27,4.6
2022-28,7.94
2022-29,10.5
2022-30,16.05
2022-31,11.29
2022-32,6.75
2022-33,10.42
2022-34,20.62
2022-35,16.22
2022-36,12.04
2022-37,13.33
2022-38,15.55
2022-39,15.11
2022-40,12.35
2022-41,14.77
2022-42,17.03
2022-43,11.76
2022-44,9.67
2022-45,0.0
2022-46,18.37
2022-47,15.88
2022-48,17.5
2022-49,15.64
2022-50,15.18
2022-51,0.0
2022-52,3.42
2023-0,1.43
2023-1,3.64
2023-2,15.39
2023-3,26.11
2023-4,10.97
2023-5,17.09
2023-6,18.24
2023-7,11.34
2023-8,14.74
2023-9,15.49
2023-10,13.76
2023-11,2.26
2023-12,11.39
2023-13,24.46
2023-14,14.39
2023-15,16.84
2023-16,15.11
2023-17,12.22
2023-18,15.17
2023-19,0.0
2023-20,9.99
2023-21,15.79
2023-22,17.75
2023-23,9.91
2023-24,15.23
2023-25,14.81
2023-26,4.53
2023-27,6.44
2023-28,0.0
2023-29,10.58
2023-30,10.7
2023-31,11.55
2023-32,6.36
2023-33,10.35
2023-34,1.28
2023-35,3.73
2023-36,7.67
2023-37,7.88
2023-38,7.58
2023-39,12.02
2023-40,10.06
2023-41,10.76
2023-42,0.0
2023-43,13.91
2023-44,9.0
2023-45,8.98
2023-46,17.44
2023-47,6.86
2023-48,14.16
2023-49,15.41
2023-50,7.56
2023-51,2.11
2023-52,0.0
2024-0,0.0
2024-1,0.0
2024-2,2.29
2024-3,17.79
2024-4,7.53
