,hours
2019-31,6.46
2019-32,6.71
2019-33,11.35
2019-34,21.33
2019-35,23.4
2019-36,27.36
2019-37,14.54
2019-38,20.31
2019-39,24.92
2019-40,17.98
2019-41,13.82
2019-42,22.55
2019-43,12.55
2019-44,16.32
2019-45,22.97
2019-46,21.76
2019-47,19.65
2019-48,17.26
2019-49,23.0
2019-50,6.83
2019-51,17.87
2019-52,4.58
2020-0,3.76
2020-1,27.19
2020-2,31.63
2020-3,19.6
2020-4,23.92
2020-5,20.87
2020-6,17.09
2020-7,30.3
2020-8,16.2
2020-9,36.45
2020-10,28.72
2020-11,24.04
2020-12,25.4
2020-13,15.06
2020-14,27.32
2020-15,25.3
2020-16,15.19
2020-17,20.43
2020-18,20.68
2020-19,34.34
2020-20,30.95
2020-21,30.86
2020-22,20.2
2020-23,17.63
2020-24,17.74
2020-25,20.05
2020-26,20.39
2020-27,29.76
2020-28,20.58
2020-29,20.15
2020-30,19.1
2020-31,41.88
2020-32,14.9
2020-33,14.87
2020-34,22.31
2020-35,28.56
2020-36,22.28
2020-37,36.49
2020-38,30.79
2020-39,27.35
2020-40,33.27
2020-41,24.35
2020-42,14.72
2020-43,23.62
2020-44,20.89
2020-45,24.38
2020-46,34.97
2020-47,20.39
2020-48,24.06
2020-49,24.2
2020-50,24.81
2020-51,19.58
2020-52,13.08
2021-0,5.5
2021-1,17.57
2021-2,39.51
2021-3,28.49
2021-4,31.66
2021-5,29.08
2021-6,28.49
2021-7,17.78
2021-8,32.66
2021-9,23.08
2021-10,26.57
2021-11,18.75
2021-12,14.73
2021-13,16.34
2021-14,25.53
2021-15,27.22
2021-16,31.13
2021-17,19.38
2021-18,43.64
2021-19,35.05
2021-20,23.14
2021-21,25.79
2021-22,26.17
2021-23,30.61
2021-24,26.93
2021-25,13.78
2021-26,28.37
2021-27,26.93
2021-28,22.16
2021-29,25.22
2021-30,27.59
2021-31,13.71
2021-32,26.83
2021-33,28.43
2021-34,23.05
2021-35,28.02
2021-36,28.53
2021-37,22.07
2021-38,10.61
2021-39,20.54
2021-40,20.95
2021-41,28.12
2021-42,28.09
2021-43,11.45
2021-44,12.25
2021-45,14.26
2021-46,30.21
2021-47,9.68
2021-48,41.18
2021-49,23.28
2021-50,22.44
2021-51,26.69
2021-52,26.03
2022-0,4.98
2022-1,20.17
2022-2,28.4
2022-3,22.88
2022-4,27.14
2022-5,21.16
2022-6,28.68
2022-7,20.13
2022-8,12.63
2022-9,22.57
2022-10,21.75
2022-11,16.48
2022-12,14.29
2022-13,16.76
2022-14,30.22
2022-15,25.96
2022-16,26.67
2022-17,23.54
2022-18,24.91
2022-19,8.01
2022-20,19.63
2022-21,22.04
2022-22,13.1
2022-23,17.82
2022-24,14.44
2022-25,12.46
2022-26,17.08
2022-27,19.56
2022-28,32.5
2022-29,14.82
2022-30,16.99
2022-31,22.22
2022-32,20.14
2022-33,20.74
2022-34,16.81
2022-35,13.66
2022-36,13.99
2022-37,0.0
2022-38,17.33
2022-39,20.11
2022-40,32.55
2022-41,29.31
2022-42,19.12
2022-43,16.29
2022-44,9.23
2022-45,25.43
2022-46,23.45
2022-47,13.83
2022-48,24.01
2022-49,20.25
2022-50,30.5
2022-51,20.9
2022-52,22.09
2023-0,12.87
2023-1,16.9
2023-2,18.43
2023-3,20.68
2023-4,30.97
2023-5,33.5
2023-6,32.93
2023-7,23.19
2023-8,23.69
2023-9,32.26
2023-10,27.82
2023-11,25.86
2023-12,17.99
2023-13,14.98
2023-14,0.0
2023-15,16.36
2023-16,14.23
2023-17,31.33
2023-18,39.21
2023-19,16.89
2023-20,21.72
2023-21,21.43
2023-22,27.53
2023-23,19.13
2023-24,20.76
2023-25,14.68
2023-26,17.01
2023-27,29.55
2023-28,22.53
2023-29,14.46
2023-30,7.45
2023-31,11.7
2023-32,22.92
2023-33,12.63
2023-34,14.74
2023-35,25.53
2023-36,14.51
2023-37,21.16
2023-38,25.29
2023-39,13.21
2023-40,13.49
2023-41,23.09
2023-42,18.57
2023-43,16.62
2023-44,0.0
2023-45,0.0
2023-46,10.24
2023-47,19.22
2023-48,12.73
2023-49,0.0
2023-50,11.45
2023-51,22.84
2023-52,0.0
2024-0,16.66
2024-1,18.69
2024-2,24.41
2024-3,24.26
2024-4,0.0
2024-5,18.79
2024-6,11.96
2024-7,28.71
2024-8,14.34
2024-9,20.62
2024-10,22.6
2024-11,19.46
2024-12,17.44
2024-13,23.7
2024-14,19.86
2024-15,22.73
2024-16,22.37
2024-17,26.11
2024-18,15.65
2024-19,29.68
2024-20,19.33
2024-21,18.79
2024-22,13.39
2024-23,9.16
2024-24,0.0
2024-25,0.0
2024-26,1.27
2024-27,10.09
2024-28,14.16
2024-29,28.92
2024-30,22.24
2024-31,2.25
