,hours
2018-21,2.66
2018-22,6.18
2018-23,5.93
2018-24,4.7
2018-25,5.9
2018-26,6.26
2018-27,7.07
2018-28,2.3
2018-29,4.13
2018-30,9.62
2018-31,3.59
2018-32,2.64
2018-33,6.28
2018-34,2.81
2018-35,7.7
2018-36,4.32
2018-37,6.13
2018-38,4.73
2018-39,4.74
2018-40,8.39
2018-41,3.68
2018-42,3.34
2018-43,2.12
2018-44,3.85
2018-45,3.95
2018-46,5.81
2018-47,1.2
2018-48,4.2
2018-49,12.57
2018-50,8.86
2018-51,1.61
2018-52,0.0
2019-0,0.0
2019-1,8.99
2019-2,6.34
2019-3,10.64
2019-4,9.54
2019-5,7.77
2019-6,6.51
2019-7,5.01
2019-8,13.97
2019-9,6.65
2019-10,10.24
2019-11,6.75
2019-12,11.31
2019-13,9.28
2019-14,10.98
2019-15,7.15
2019-16,3.17
2019-17,14.21
2019-18,12.02
2019-19,7.52
2019-20,9.59
2019-21,10.75
2019-22,4.08
2019-23,2.48
2019-24,4.64
2019-25,17.45
2019-26,11.92
2019-27,6.46
2019-28,4.5
2019-29,10.76
2019-30,8.41
2019-31,6.25
2019-32,12.67
2019-33,3.67
2019-34,8.54
2019-35,9.93
2019-36,16.3
2019-37,22.34
2019-38,15.84
2019-39,12.58
2019-40,29.67
2019-41,13.12
2019-42,18.93
2019-43,21.15
2019-44,15.78
2019-45,8.46
2019-46,12.76
2019-47,10.36
2019-48,14.04
2019-49,7.19
2019-50,8.11
2019-51,4.33
2019-52,3.33
2020-0,4.49
2020-1,11.12
2020-2,6.61
2020-3,11.85
2020-4,30.02
2020-5,24.38
2020-6,13.22
2020-7,10.82
2020-8,17.85
2020-9,15.73
2020-10,12.88
2020-11,25.6
2020-12,17.47
2020-13,14.64
2020-14,26.61
2020-15,25.31
2020-16,32.08
2020-17,26.26
2020-18,19.6
2020-19,34.88
2020-20,20.24
2020-21,21.61
2020-22,18.46
2020-23,16.23
2020-24,11.89
2020-25,16.89
2020-26,16.89
2020-27,17.95
2020-28,10.0
2020-29,16.29
2020-30,10.23
2020-31,14.46
2020-32,2.03
2020-33,20.47
2020-34,12.99
2020-35,20.09
2020-36,16.7
2020-37,24.64
2020-38,21.44
2020-39,22.05
2020-40,10.07
2020-41,23.21
2020-42,13.55
2020-43,18.81
2020-44,11.79
2020-45,11.09
2020-46,16.65
2020-47,13.0
2020-48,10.89
2020-49,10.14
2020-50,13.18
2020-51,8.25
2020-52,16.92
2021-0,4.38
2021-1,18.29
2021-2,12.47
2021-3,45.23
2021-4,24.91
2021-5,17.13
2021-6,23.13
2021-7,20.71
2021-8,34.42
2021-9,24.54
2021-10,15.86
2021-11,20.33
2021-12,28.23
2021-13,17.42
2021-14,15.08
2021-15,12.94
2021-16,11.96
2021-17,16.06
2021-18,10.86
2021-19,24.22
2021-20,27.78
2021-21,16.07
2021-22,17.88
2021-23,27.12
2021-24,20.07
2021-25,17.58
2021-26,27.94
2021-27,29.1
2021-28,14.17
2021-29,7.37
2021-30,14.1
2021-31,31.92
2021-32,24.58
2021-33,16.49
2021-34,25.65
2021-35,24.38
2021-36,21.67
2021-37,16.65
2021-38,14.74
2021-39,27.56
2021-40,17.34
2021-41,4.64
2021-42,9.8
2021-43,10.99
2021-44,19.38
2021-45,18.58
2021-46,12.22
2021-47,19.43
2021-48,42.56
2021-49,24.6
2021-50,42.27
2021-51,26.3
