,hours
2022-13,10.73
2022-14,23.28
2022-15,15.43
2022-16,19.67
2022-17,23.94
2022-18,18.51
2022-19,43.76
2022-20,13.34
2022-21,10.43
2022-22,21.87
2022-23,7.87
2022-24,26.36
2022-25,23.73
2022-26,6.88
2022-27,8.63
2022-28,10.77
2022-29,11.61
2022-30,19.31
2022-31,22.18
2022-32,15.8
2022-33,30.02
2022-34,21.35
2022-35,23.41
2022-36,21.66
2022-37,11.11
2022-38,19.63
2022-39,15.89
2022-40,5.5
2022-41,5.12
2022-42,5.36
2022-43,3.32
2022-44,8.15
2022-45,3.31
2022-46,7.11
2022-47,16.57
2022-48,9.29
2022-49,3.95
2022-50,4.69
2022-51,10.38
2022-52,13.31
2023-0,8.33
2023-1,7.72
2023-2,7.54
2023-3,10.84
2023-4,8.03
2023-5,7.65
2023-6,13.31
2023-7,5.98
2023-8,12.04
2023-9,2.25
2023-10,4.69
2023-11,2.76
2023-12,7.05
2023-13,11.61
2023-14,5.99
2023-15,9.93
2023-16,6.94
2023-17,4.31
2023-18,13.84
2023-19,14.55
2023-20,25.01
2023-21,11.93
2023-22,9.81
2023-23,11.28
2023-24,7.66
2023-25,15.71
2023-26,7.52
2023-27,14.35
2023-28,10.01
2023-29,3.04
2023-30,9.03
2023-31,8.41
2023-32,4.11
2023-33,17.77
2023-34,11.5
2023-35,9.12
2023-36,5.72
2023-37,8.07
2023-38,10.02
2023-39,9.46
2023-40,7.29
2023-41,7.95
2023-42,11.05
2023-43,6.5
2023-44,5.88
2023-45,8.37
2023-46,16.75
2023-47,10.77
2023-48,2.05
2023-49,1.85
2023-50,3.88
2023-51,15.03
2023-52,0.0
2024-0,3.55
2024-1,9.95
2024-2,8.38
2024-3,5.38
2024-4,8.3
2024-5,6.67
2024-6,6.63
2024-7,15.21
2024-8,2.67
2024-9,6.89
2024-10,11.24
2024-11,8.4
2024-12,10.08
2024-13,6.65
2024-14,21.37
2024-15,63.7
2024-16,16.65
2024-17,6.03
2024-18,8.85
2024-19,15.93
2024-20,9.92
2024-21,10.41
2024-22,7.49
2024-23,7.17
2024-24,8.06
2024-25,7.78
2024-26,9.8
2024-27,15.11
2024-28,7.53
2024-29,9.82
2024-30,7.11
2024-31,5.34
2024-32,7.51
2024-33,8.11
2024-34,11.19
2024-35,20.19
2024-36,10.99
2024-37,27.12
2024-38,5.2
2024-39,10.41
2024-40,11.82
2024-41,6.34
2024-42,5.75
2024-43,11.79
2024-44,3.47
2024-45,2.32
