,hours
2022-13,6.43
2022-14,37.3
2022-15,29.63
2022-16,23.79
2022-17,29.2
2022-18,39.91
2022-19,28.28
2022-20,24.2
2022-21,24.82
2022-22,23.69
2022-23,21.16
2022-24,21.79
2022-25,17.29
2022-26,16.31
2022-27,18.96
2022-28,17.47
2022-29,22.86
2022-30,22.0
2022-31,17.51
2022-32,17.43
2022-33,7.2
2022-34,0.0
2022-35,13.9
2022-36,20.21
2022-37,17.4
2022-38,20.6
2022-39,13.1
2022-40,19.73
2022-41,19.58
2022-42,16.44
2022-43,13.09
2022-44,14.29
2022-45,6.71
2022-46,9.89
2022-47,25.87
2022-48,8.38
2022-49,19.95
2022-50,8.49
2022-51,17.0
2022-52,11.83
2023-0,13.69
2023-1,12.38
2023-2,14.48
2023-3,20.83
2023-4,19.27
2023-5,19.22
2023-6,17.77
2023-7,14.68
2023-8,14.48
2023-9,18.55
2023-10,12.45
2023-11,15.11
2023-12,20.75
2023-13,36.99
2023-14,47.37
2023-15,17.62
2023-16,32.71
2023-17,24.57
2023-18,23.65
2023-19,20.79
2023-20,48.52
2023-21,13.66
2023-22,19.11
2023-23,25.41
2023-24,18.75
2023-25,20.83
2023-26,25.67
2023-27,36.23
2023-28,31.69
2023-29,8.43
2023-30,10.37
2023-31,8.15
2023-32,20.71
2023-33,19.75
2023-34,38.91
2023-35,15.35
2023-36,13.18
2023-37,4.52
2023-38,17.21
2023-39,24.12
2023-40,19.57
2023-41,31.17
2023-42,21.85
2023-43,13.88
2023-44,17.29
2023-45,18.64
2023-46,10.17
2023-47,20.62
2023-48,17.66
2023-49,19.89
2023-50,14.37
2023-51,10.13
2023-52,2.01
2024-0,7.59
2024-1,13.74
2024-2,20.57
2024-3,21.47
2024-4,13.19
2024-5,14.51
2024-6,23.03
2024-7,26.19
2024-8,10.06
2024-9,16.03
2024-10,22.33
2024-11,14.13
2024-12,18.64
2024-13,17.52
2024-14,24.73
2024-15,38.29
2024-16,22.78
2024-17,33.95
2024-18,15.88
2024-19,20.69
2024-20,3.36
