,hours
2023-45,0.53
2023-46,4.19
2023-47,8.17
2023-48,9.13
2023-49,12.41
2023-50,9.47
2023-51,12.17
2023-52,2.37
2024-0,20.64
2024-1,13.05
2024-2,10.66
2024-3,18.21
2024-4,22.98
2024-5,7.19
2024-6,12.41
2024-7,12.78
2024-8,10.27
2024-9,0.0
2024-10,0.0
2024-11,0.0
2024-12,0.69
2024-13,12.56
2024-14,10.47
2024-15,13.29
2024-16,13.09
2024-17,14.42
2024-18,14.38
2024-19,6.25
2024-20,1.27
2024-21,0.0
2024-22,7.05
2024-23,7.78
2024-24,4.76
2024-25,13.02
2024-26,4.96
2024-27,14.7
2024-28,9.06
2024-29,0.0
2024-30,0.0
2024-31,13.34
2024-32,13.64
2024-33,10.68
2024-34,15.65
2024-35,12.35
2024-36,24.89
2024-37,10.75
2024-38,10.68
2024-39,22.17
2024-40,14.07
2024-41,9.91
2024-42,5.36
2024-43,10.39
2024-44,11.32
2024-45,20.42
2024-46,2.94
2024-47,0.0
2024-48,17.56
2024-49,7.37
2024-50,10.48
2024-51,10.55
2024-52,0.0
2025-0,9.67
2025-1,3.85
2025-2,2.21
2025-3,7.33
2025-4,1.22
