,hours
2020-37,8.81
2020-38,9.88
2020-39,10.1
2020-40,9.97
2020-41,16.4
2020-42,26.99
2020-43,17.51
2020-44,13.43
2020-45,12.99
2020-46,13.86
2020-47,14.6
2020-48,11.83
2020-49,16.34
2020-50,17.62
2020-51,11.48
2020-52,7.32
2021-0,3.58
2021-1,10.56
2021-2,10.25
2021-3,18.71
2021-4,14.74
2021-5,19.63
2021-6,14.58
2021-7,16.34
2021-8,15.64
2021-9,9.05
2021-10,12.08
2021-11,17.67
2021-12,12.58
2021-13,9.84
2021-14,19.12
2021-15,17.67
2021-16,16.26
2021-17,17.72
2021-18,8.96
2021-19,10.13
2021-20,19.17
2021-21,16.83
2021-22,19.0
2021-23,8.01
2021-24,12.99
2021-25,16.39
2021-26,11.4
2021-27,18.38
2021-28,6.46
2021-29,12.35
2021-30,4.69
2021-31,15.96
2021-32,12.1
2021-33,12.97
2021-34,18.93
2021-35,14.67
2021-36,9.56
2021-37,8.13
2021-38,3.58
2021-39,21.04
2021-40,21.08
2021-41,9.31
2021-42,17.84
2021-43,17.21
2021-44,0.46
2021-45,11.76
2021-46,9.07
2021-47,20.1
2021-48,3.45
2021-49,5.38
2021-50,14.19
2021-51,11.61
2021-52,7.19
2022-0,4.59
2022-1,13.63
2022-2,4.12
2022-3,8.45
2022-4,23.26
2022-5,19.34
2022-6,4.92
2022-7,5.19
2022-8,8.59
2022-9,12.28
2022-10,11.84
2022-11,3.18
2022-12,17.95
2022-13,10.19
2022-14,9.96
2022-15,12.92
2022-16,15.32
2022-17,3.83
2022-18,1.75
2022-19,13.48
2022-20,11.81
2022-21,3.59
2022-22,15.6
2022-23,7.66
2022-24,7.82
2022-25,3.66
2022-26,1.08
2022-27,7.95
2022-28,5.53
2022-29,6.74
2022-30,7.02
2022-31,4.32
2022-32,11.57
2022-33,6.66
2022-34,5.02
2022-35,13.73
2022-36,3.32
2022-37,4.91
2022-38,2.78
2022-39,2.31
2022-40,5.67
2022-41,11.42
2022-42,14.54
2022-43,11.22
2022-44,11.13
2022-45,3.62
2022-46,5.02
2022-47,0.0
2022-48,0.0
2022-49,10.15
2022-50,0.0
2022-51,0.0
2022-52,0.0
2023-0,0.0
2023-1,0.0
2023-2,0.0
2023-3,0.0
2023-4,0.0
2023-5,0.0
2023-6,4.54
2023-7,0.0
2023-8,0.95
2023-9,0.0
2023-10,0.0
2023-11,2.79
2023-12,10.91
2023-13,2.39
2023-14,3.01
2023-15,8.41
2023-16,2.34
2023-17,7.78
2023-18,0.0
2023-19,0.0
2023-20,0.0
2023-21,2.93
2023-22,0.0
2023-23,0.0
2023-24,1.35
2023-25,0.0
2023-26,1.79
2023-27,3.62
2023-28,10.66
2023-29,8.47
2023-30,13.16
2023-31,18.97
2023-32,15.5
2023-33,0.0
2023-34,0.0
2023-35,0.0
2023-36,2.9
2023-37,0.0
2023-38,0.0
2023-39,0.0
2023-40,0.0
2023-41,0.0
2023-42,0.0
2023-43,0.0
2023-44,0.0
2023-45,0.0
2023-46,0.0
2023-47,1.25
2023-48,0.0
2023-49,0.0
2023-50,0.0
2023-51,0.0
2023-52,0.0
2024-0,0.0
2024-1,0.0
2024-2,0.0
2024-3,5.43
2024-4,13.97
2024-5,8.92
2024-6,1.13
2024-7,0.0
2024-8,0.0
2024-9,0.0
2024-10,0.0
2024-11,0.0
2024-12,0.0
2024-13,0.0
2024-14,0.0
2024-15,7.23
2024-16,2.18
2024-17,0.0
2024-18,0.0
2024-19,0.0
2024-20,0.0
2024-21,10.24
2024-22,9.04
2024-23,4.21
2024-24,4.03
2024-25,10.35
2024-26,0.0
2024-27,0.0
2024-28,2.83
2024-29,0.0
2024-30,0.0
2024-31,0.0
2024-32,2.23
2024-33,6.72
2024-34,4.95
2024-35,11.09
2024-36,3.1
2024-37,0.0
2024-38,0.0
2024-39,4.64
2024-40,0.0
2024-41,0.0
