,hours
2018-21,0.57
2018-22,2.93
2018-23,4.4
2018-24,5.15
2018-25,2.39
2018-26,0.5
2018-27,0.9
2018-28,3.67
2018-29,4.28
2018-30,7.82
2018-31,6.72
2018-32,10.32
2018-33,6.22
2018-34,2.38
2018-35,1.95
2018-36,3.2
2018-37,1.93
2018-38,1.77
2018-39,3.44
2018-40,2.86
2018-41,3.03
2018-42,3.08
2018-43,1.05
2018-44,1.55
2018-45,3.38
2018-46,0.0
2018-47,4.48
2018-48,3.53
2018-49,7.05
2018-50,0.64
2018-51,3.24
2018-52,0.0
2019-0,2.72
2019-1,2.01
2019-2,2.33
2019-3,9.35
2019-4,8.9
2019-5,8.3
2019-6,5.11
2019-7,4.58
2019-8,5.03
2019-9,7.14
2019-10,6.57
2019-11,4.33
2019-12,5.61
2019-13,5.36
2019-14,11.03
2019-15,3.88
2019-16,5.16
2019-17,3.17
2019-18,6.72
2019-19,10.64
2019-20,5.91
2019-21,3.15
2019-22,13.78
2019-23,5.17
2019-24,2.01
2019-25,0.84
2019-26,5.07
2019-27,3.0
2019-28,2.98
2019-29,0.99
2019-30,1.03
2019-31,2.09
2019-32,1.14
2019-33,3.82
2019-34,4.99
2019-35,3.06
2019-36,0.99
2019-37,2.14
2019-38,2.29
2019-39,1.02
2019-40,4.65
2019-41,14.98
2019-42,20.21
2019-43,25.44
2019-44,25.68
2019-45,20.84
2019-46,28.06
2019-47,31.34
2019-48,15.1
2019-49,28.08
2019-50,25.08
2019-51,25.97
2019-52,5.63
2020-0,11.73
2020-1,1.1
2020-2,0.0
2020-3,15.93
2020-4,21.55
2020-5,15.23
2020-6,24.98
2020-7,21.35
2020-8,14.77
2020-9,11.36
2020-10,20.1
2020-11,18.13
2020-12,35.64
2020-13,13.39
2020-14,9.56
2020-15,29.58
2020-16,15.11
2020-17,18.5
2020-18,20.72
2020-19,12.24
2020-20,11.19
2020-21,10.28
2020-22,9.08
2020-23,3.59
2020-24,4.87
2020-25,8.21
2020-26,5.06
2020-27,6.76
2020-28,7.2
2020-29,9.28
2020-30,6.54
2020-31,12.19
2020-32,20.13
2020-33,18.36
2020-34,6.74
2020-35,24.55
2020-36,30.61
2020-37,24.99
2020-38,27.37
2020-39,0.0
2020-40,0.0
2020-41,0.0
2020-42,16.73
2020-43,26.28
2020-44,18.58
2020-45,26.07
2020-46,27.58
2020-47,20.64
2020-48,15.26
2020-49,0.0
2020-50,14.66
2020-51,3.56
2020-52,6.22
2021-0,0.0
2021-1,0.75
2021-2,6.43
2021-3,7.36
2021-4,14.23
2021-5,11.23
2021-6,10.22
2021-7,5.82
2021-8,1.89
2021-9,2.46
2021-10,0.0
2021-11,0.0
2021-12,0.0
2021-13,6.09
2021-14,4.75
2021-15,0.0
2021-16,0.0
2021-17,9.13
2021-18,8.56
2021-19,7.42
2021-20,3.27
2021-21,1.07
2021-22,7.76
2021-23,0.89
2021-24,0.0
2021-25,0.0
2021-26,0.0
2021-27,0.0
2021-28,0.0
2021-29,0.0
2021-30,12.44
2021-31,8.84
2021-32,16.35
2021-33,14.45
2021-34,11.71
2021-35,2.17
2021-36,11.54
2021-37,4.92
2021-38,7.91
2021-39,0.0
2021-40,0.69
2021-41,2.61
2021-42,7.63
2021-43,0.92
2021-44,12.3
2021-45,6.72
2021-46,3.83
2021-47,1.24
2021-48,2.95
2021-49,9.7
2021-50,9.5
2021-51,11.28
2021-52,9.09
2022-0,0.0
2022-1,5.3
2022-2,4.08
2022-3,12.07
2022-4,3.79
2022-5,2.4
2022-6,8.18
2022-7,14.33
2022-8,5.9
2022-9,11.04
2022-10,7.94
2022-11,2.57
2022-12,8.51
2022-13,9.77
2022-14,5.56
2022-15,6.71
2022-16,6.02
2022-17,4.22
2022-18,5.06
2022-19,7.28
2022-20,5.09
2022-21,11.18
2022-22,5.56
2022-23,10.7
2022-24,3.1
2022-25,4.42
2022-26,0.0
2022-27,5.3
2022-28,7.62
2022-29,3.88
2022-30,5.8
2022-31,0.0
2022-32,5.24
2022-33,2.13
2022-34,7.44
2022-35,7.22
2022-36,10.9
2022-37,13.46
2022-38,11.22
2022-39,15.19
2022-40,7.55
2022-41,10.27
2022-42,9.77
2022-43,7.42
2022-44,8.25
2022-45,5.21
2022-46,5.3
2022-47,8.98
2022-48,5.9
2022-49,11.9
2022-50,18.54
2022-51,4.36
2022-52,0.0
2023-0,0.0
2023-1,0.0
2023-2,0.46
2023-3,1.9
2023-4,1.65
2023-5,5.84
2023-6,7.86
2023-7,5.95
2023-8,0.0
2023-9,0.0
2023-10,0.0
2023-11,0.0
2023-12,0.0
2023-13,0.0
2023-14,0.0
2023-15,0.0
2023-16,0.0
2023-17,0.0
2023-18,0.0
2023-19,0.0
2023-20,0.0
2023-21,0.0
2023-22,0.0
2023-23,0.0
2023-24,0.0
2023-25,0.0
2023-26,0.0
2023-27,0.0
2023-28,0.0
2023-29,0.0
2023-30,0.0
2023-31,0.0
2023-32,0.0
2023-33,0.0
2023-34,0.0
2023-35,0.0
