,hours
2023-36,3.53
2023-37,5.38
2023-38,10.35
2023-39,9.7
2023-40,6.07
2023-41,3.6
2023-42,4.13
2023-43,7.57
2023-44,10.72
2023-45,6.65
2023-46,0.0
2023-47,2.78
2023-48,3.63
2023-49,6.34
2023-50,11.99
2023-51,8.95
2023-52,3.47
2024-0,9.69
2024-1,4.8
2024-2,5.1
2024-3,17.57
2024-4,5.59
2024-5,6.78
2024-6,8.46
2024-7,11.19
2024-8,7.44
2024-9,11.96
2024-10,4.36
2024-11,10.45
2024-12,15.43
2024-13,11.04
2024-14,11.16
2024-15,11.78
2024-16,17.26
2024-17,20.85
2024-18,9.96
2024-19,24.35
2024-20,13.88
2024-21,11.59
2024-22,14.37
2024-23,15.34
2024-24,9.99
2024-25,16.97
2024-26,12.68
2024-27,19.22
2024-28,14.3
2024-29,27.63
2024-30,14.57
2024-31,4.18
2024-32,16.0
2024-33,8.63
2024-34,7.74
2024-35,6.7
2024-36,8.7
2024-37,19.25
2024-38,17.19
2024-39,14.13
2024-40,12.13
2024-41,6.43
2024-42,3.38
2024-43,20.21
2024-44,16.38
2024-45,5.38
2024-46,9.69
2024-47,5.17
2024-48,6.05
2024-49,7.18
2024-50,7.22
2024-51,10.6
2024-52,1.31
