,hours
2023-1,7.53
2023-2,10.29
2023-3,13.38
2023-4,22.0
2023-5,14.28
2023-6,20.1
2023-7,17.37
2023-8,24.11
2023-9,20.57
2023-10,26.48
2023-11,21.65
2023-12,14.03
2023-13,20.71
2023-14,20.48
2023-15,25.12
2023-16,24.31
2023-17,15.54
2023-18,18.4
2023-19,22.17
2023-20,23.8
2023-21,14.34
2023-22,21.53
2023-23,21.08
2023-24,16.41
2023-25,21.06
2023-26,10.02
2023-27,23.33
2023-28,14.4
2023-29,27.74
2023-30,21.7
2023-31,20.16
2023-32,14.81
2023-33,25.88
2023-34,30.45
2023-35,4.04
2023-36,20.09
2023-37,25.26
2023-38,13.66
2023-39,17.35
2023-40,22.23
2023-41,16.81
2023-42,2.88
2023-43,5.42
2023-44,5.04
2023-45,11.61
2023-46,3.83
2023-47,16.17
2023-48,15.0
2023-49,10.67
2023-50,15.06
2023-51,10.94
2023-52,0.0
2024-0,23.3
2024-1,22.24
2024-2,20.32
2024-3,13.44
2024-4,19.88
2024-5,19.57
2024-6,14.61
2024-7,12.37
2024-8,9.39
2024-9,8.46
2024-10,8.67
2024-11,7.58
2024-12,13.3
2024-13,16.04
2024-14,11.25
2024-15,13.25
2024-16,12.9
2024-17,13.36
2024-18,10.09
2024-19,10.57
2024-20,10.14
2024-21,16.53
2024-22,11.98
2024-23,11.03
2024-24,5.23
2024-25,13.68
2024-26,28.62
2024-27,13.01
2024-28,13.54
2024-29,12.23
2024-30,13.01
2024-31,18.44
2024-32,14.02
2024-33,18.3
2024-34,31.13
2024-35,21.05
2024-36,18.65
2024-37,18.22
2024-38,16.8
2024-39,25.18
2024-40,17.09
2024-41,24.2
2024-42,17.89
2024-43,13.59
2024-44,17.89
2024-45,18.12
2024-46,19.99
2024-47,16.27
2024-48,22.42
2024-49,9.51
2024-50,15.39
2024-51,9.13
2024-52,2.82
2025-0,7.27
2025-1,26.04
2025-2,15.0
2025-3,22.24
2025-4,21.44
2025-5,21.62
2025-6,24.62
2025-7,21.53
2025-8,11.04
2025-9,16.58
2025-10,13.32
2025-11,21.88
2025-12,19.61
2025-13,23.8
2025-14,23.32
2025-15,21.8
2025-16,24.78
2025-17,25.78
2025-18,4.97
2025-19,18.83
2025-20,21.66
2025-21,11.36
2025-22,14.08
2025-23,31.11
2025-24,16.53
2025-25,25.67
2025-26,26.94
2025-27,25.2
2025-28,28.86
2025-29,19.34
2025-30,17.27
2025-31,6.24
