,hours
2019-24,0.96
2019-25,0.0
2019-26,0.0
2019-27,4.76
2019-28,0.0
2019-29,0.0
2019-30,2.51
2019-31,0.0
2019-32,0.0
2019-33,0.0
2019-34,0.0
2019-35,0.0
2019-36,0.0
2019-37,1.35
2019-38,0.0
2019-39,0.0
2019-40,0.0
2019-41,9.79
2019-42,0.0
2019-43,0.0
2019-44,1.06
2019-45,1.92
2019-46,0.0
2019-47,0.0
2019-48,0.0
2019-49,0.0
2019-50,0.99
2019-51,1.84
2019-52,8.44
2020-0,3.92
2020-1,0.0
2020-2,0.0
2020-3,4.93
2020-4,2.95
2020-5,0.0
2020-6,0.0
2020-7,0.0
2020-8,2.01
2020-9,0.0
2020-10,0.0
2020-11,0.0
2020-12,0.0
2020-13,1.06
2020-14,0.0
2020-15,0.0
2020-16,0.0
2020-17,7.06
2020-18,0.0
2020-19,0.0
2020-20,0.0
2020-21,0.0
2020-22,1.88
2020-23,0.0
2020-24,0.0
2020-25,0.0
2020-26,1.95
2020-27,0.0
2020-28,0.0
2020-29,0.99
2020-30,0.0
2020-31,0.0
2020-32,0.0
2020-33,0.0
2020-34,0.97
2020-35,0.0
2020-36,0.0
2020-37,1.02
2020-38,0.0
2020-39,2.16
2020-40,0.0
2020-41,2.07
2020-42,1.93
2020-43,1.03
2020-44,0.0
2020-45,0.0
2020-46,1.06
2020-47,3.27
2020-48,0.0
2020-49,1.12
2020-50,2.11
2020-51,6.96
2020-52,7.28
2021-0,0.0
2021-1,1.05
2021-2,0.0
2021-3,0.0
2021-4,1.02
2021-5,1.41
2021-6,1.3
2021-7,4.12
2021-8,1.3
2021-9,0.0
2021-10,0.0
2021-11,0.0
2021-12,0.0
2021-13,1.01
2021-14,1.21
2021-15,0.0
2021-16,0.0
2021-17,1.38
2021-18,0.0
2021-19,1.16
2021-20,0.0
2021-21,0.94
2021-22,1.02
2021-23,0.0
2021-24,0.0
2021-25,0.99
2021-26,2.07
2021-27,0.88
2021-28,2.8
2021-29,0.0
2021-30,1.17
2021-31,0.0
2021-32,0.0
2021-33,0.97
2021-34,1.31
2021-35,1.03
2021-36,1.46
2021-37,0.97
2021-38,1.02
2021-39,1.41
2021-40,0.0
2021-41,0.0
2021-42,0.0
2021-43,1.09
2021-44,0.0
2021-45,0.95
2021-46,0.67
2021-47,2.66
2021-48,2.13
2021-49,0.0
2021-50,1.05
2021-51,35.0
2021-52,8.94
2022-0,0.0
2022-1,0.0
2022-2,0.95
2022-3,1.15
2022-4,1.04
2022-5,0.0
2022-6,0.59
2022-7,1.13
2022-8,0.0
2022-9,2.24
2022-10,1.06
2022-11,10.52
2022-12,7.54
2022-13,3.27
2022-14,6.77
2022-15,1.18
2022-16,0.0
2022-17,2.09
2022-18,3.8
2022-19,6.03
2022-20,0.0
2022-21,0.0
2022-22,0.0
2022-23,3.33
2022-24,0.0
2022-25,1.0
2022-26,2.5
2022-27,0.0
2022-28,0.0
2022-29,3.04
2022-30,4.31
2022-31,1.84
2022-32,0.78
2022-33,3.1
2022-34,1.0
2022-35,6.28
2022-36,1.89
2022-37,0.0
2022-38,0.0
2022-39,1.28
2022-40,0.0
2022-41,1.28
2022-42,0.0
2022-43,0.0
2022-44,2.64
2022-45,0.0
2022-46,0.0
2022-47,0.88
2022-48,2.45
2022-49,2.12
2022-50,0.0
2022-51,4.62
2022-52,7.14
2023-0,3.24
2023-1,4.06
2023-2,0.0
2023-3,1.26
2023-4,1.39
2023-5,0.0
2023-6,0.99
2023-7,0.0
2023-8,3.41
2023-9,0.0
2023-10,11.02
2023-11,14.05
2023-12,2.66
2023-13,1.15
2023-14,0.0
2023-15,0.0
2023-16,0.0
2023-17,0.0
2023-18,0.0
2023-19,0.0
2023-20,0.0
2023-21,0.0
2023-22,0.0
2023-23,0.0
2023-24,0.0
2023-25,0.0
2023-26,0.0
2023-27,0.0
2023-28,0.0
2023-29,0.0
2023-30,6.18
2023-31,0.0
2023-32,0.0
2023-33,0.0
2023-34,0.0
2023-35,4.07
2023-36,0.0
2023-37,0.0
2023-38,0.0
2023-39,0.0
2023-40,0.0
2023-41,0.0
2023-42,0.0
2023-43,0.0
2023-44,0.0
2023-45,1.93
2023-46,0.0
2023-47,2.77
2023-48,1.1
2023-49,0.0
2023-50,1.97
2023-51,0.0
2023-52,6.61
2024-0,0.0
2024-1,1.06
2024-2,0.0
2024-3,0.0
2024-4,4.57
2024-5,0.7
2024-6,0.0
2024-7,0.0
2024-8,3.52
2024-9,0.0
2024-10,0.0
2024-11,0.0
2024-12,4.1
2024-13,1.81
2024-14,0.0
2024-15,0.0
2024-16,0.0
2024-17,0.0
2024-18,0.0
2024-19,0.0
2024-20,2.38
2024-21,4.19
2024-22,0.0
2024-23,1.01
2024-24,0.0
2024-25,2.58
2024-26,1.07
