,hours
2020-37,9.82
2020-38,9.78
2020-39,10.12
2020-40,13.52
2020-41,8.26
2020-42,12.41
2020-43,16.0
2020-44,13.8
2020-45,13.7
2020-46,17.28
2020-47,20.77
2020-48,20.44
2020-49,16.3
2020-50,15.01
2020-51,18.09
2020-52,11.34
2021-0,4.13
2021-1,11.78
2021-2,18.02
2021-3,7.11
2021-4,13.64
2021-5,18.59
2021-6,20.66
2021-7,9.3
2021-8,20.9
2021-9,13.49
2021-10,14.84
2021-11,13.38
2021-12,20.78
2021-13,10.37
2021-14,13.45
2021-15,14.65
2021-16,18.33
2021-17,30.05
2021-18,19.24
2021-19,13.27
2021-20,8.54
2021-21,14.48
2021-22,15.18
2021-23,19.42
2021-24,13.8
2021-25,15.11
2021-26,16.45
2021-27,13.21
2021-28,16.35
2021-29,17.1
2021-30,21.55
2021-31,10.07
2021-32,7.28
2021-33,19.13
2021-34,20.68
2021-35,14.4
2021-36,19.65
2021-37,11.86
2021-38,15.76
2021-39,12.93
2021-40,18.79
2021-41,12.69
2021-42,13.09
2021-43,20.38
2021-44,8.67
2021-45,5.51
2021-46,13.39
2021-47,26.51
2021-48,14.13
2021-49,10.84
2021-50,4.61
2021-51,10.32
2021-52,9.36
2022-0,0.78
2022-1,12.51
2022-2,7.46
2022-3,10.72
2022-4,1.78
2022-5,10.3
2022-6,7.58
2022-7,10.35
2022-8,4.03
2022-9,13.46
2022-10,14.59
2022-11,17.28
2022-12,18.51
2022-13,10.65
2022-14,1.65
2022-15,10.69
2022-16,6.83
2022-17,13.37
2022-18,10.14
2022-19,12.51
2022-20,13.57
2022-21,0.0
2022-22,0.0
2022-23,1.55
2022-24,0.0
2022-25,1.1
2022-26,1.55
2022-27,13.58
2022-28,7.04
2022-29,6.51
2022-30,8.8
2022-31,5.77
2022-32,1.04
2022-33,5.33
2022-34,13.44
2022-35,4.56
2022-36,13.47
2022-37,5.21
2022-38,9.35
2022-39,11.09
2022-40,7.29
2022-41,3.83
2022-42,0.0
2022-43,0.0
2022-44,0.0
2022-45,0.0
2022-46,0.0
2022-47,0.0
2022-48,0.0
2022-49,0.0
2022-50,0.0
2022-51,0.0
2022-52,0.0
2023-0,0.0
2023-1,13.54
2023-2,16.85
2023-3,7.07
2023-4,9.1
2023-5,1.19
2023-6,12.36
2023-7,3.69
2023-8,0.0
2023-9,2.38
2023-10,1.44
2023-11,1.84
2023-12,1.3
2023-13,1.01
2023-14,0.0
2023-15,5.32
2023-16,9.28
2023-17,15.55
2023-18,10.3
2023-19,18.55
2023-20,12.76
2023-21,24.56
2023-22,16.47
2023-23,12.35
2023-24,5.44
2023-25,0.0
2023-26,7.78
2023-27,7.01
2023-28,15.21
2023-29,14.2
2023-30,6.77
2023-31,13.52
2023-32,12.79
2023-33,9.88
2023-34,9.01
2023-35,10.61
2023-36,2.57
2023-37,14.6
2023-38,7.61
2023-39,14.18
2023-40,10.06
2023-41,0.0
2023-42,0.0
2023-43,6.48
2023-44,0.0
2023-45,13.85
2023-46,13.51
2023-47,17.62
2023-48,0.51
2023-49,12.19
2023-50,12.67
2023-51,10.17
2023-52,0.0
2024-0,11.22
2024-1,3.59
2024-2,0.0
2024-3,1.12
2024-4,0.0
2024-5,11.89
2024-6,7.89
2024-7,15.13
2024-8,5.77
