,hours
2020-15,3.53
2020-16,4.79
2020-17,4.62
2020-18,7.87
2020-19,5.73
2020-20,3.21
2020-21,4.69
2020-22,6.58
2020-23,5.57
2020-24,6.32
2020-25,4.92
2020-26,3.4
2020-27,7.5
2020-28,12.3
2020-29,2.01
2020-30,5.58
2020-31,11.13
2020-32,14.15
2020-33,11.23
2020-34,9.97
2020-35,6.01
2020-36,6.15
2020-37,12.49
2020-38,13.61
2020-39,9.12
2020-40,11.43
2020-41,16.94
2020-42,12.73
2020-43,9.63
2020-44,10.12
2020-45,12.63
2020-46,3.78
2020-47,18.35
2020-48,11.41
2020-49,16.23
2020-50,6.33
2020-51,10.88
2020-52,12.97
2021-0,1.99
2021-1,9.29
2021-2,6.18
2021-3,10.07
2021-4,12.74
2021-5,13.28
2021-6,16.63
2021-7,15.42
2021-8,8.7
2021-9,7.98
2021-10,10.98
2021-11,11.41
2021-12,13.1
2021-13,10.26
2021-14,6.15
2021-15,15.05
2021-16,5.68
2021-17,10.97
2021-18,9.11
2021-19,6.81
2021-20,13.3
2021-21,12.0
2021-22,9.3
2021-23,7.69
2021-24,7.28
2021-25,8.48
2021-26,10.39
2021-27,12.08
2021-28,8.18
2021-29,4.01
2021-30,0.0
2021-31,2.29
2021-32,9.99
2021-33,7.23
2021-34,11.99
2021-35,7.03
2021-36,13.53
2021-37,7.5
2021-38,14.27
2021-39,8.11
2021-40,2.86
2021-41,9.16
2021-42,5.64
2021-43,12.08
2021-44,1.92
2021-45,0.0
2021-46,3.5
2021-47,3.48
2021-48,5.24
2021-49,13.85
2021-50,6.05
2021-51,4.9
2021-52,8.95
2022-0,0.0
2022-1,11.72
2022-2,12.61
2022-3,7.05
2022-4,12.95
2022-5,9.74
2022-6,10.83
2022-7,5.32
2022-8,10.94
2022-9,12.89
2022-10,14.97
2022-11,9.16
2022-12,5.86
2022-13,5.76
2022-14,8.31
2022-15,7.18
2022-16,11.6
2022-17,7.56
2022-18,5.46
2022-19,11.03
2022-20,5.33
2022-21,9.78
2022-22,4.07
2022-23,9.1
2022-24,11.01
2022-25,12.72
2022-26,7.72
2022-27,19.63
2022-28,2.46
2022-29,3.64
2022-30,10.61
2022-31,8.1
2022-32,10.94
2022-33,7.5
2022-34,7.23
2022-35,2.18
2022-36,2.99
2022-37,6.76
2022-38,2.79
2022-39,6.43
2022-40,13.78
2022-41,10.47
2022-42,16.24
2022-43,8.73
2022-44,7.81
2022-45,7.88
2022-46,17.88
2022-47,9.3
2022-48,11.31
2022-49,12.18
2022-50,7.97
2022-51,11.85
2022-52,11.57
2023-0,7.09
2023-1,6.7
2023-2,9.89
2023-3,14.44
2023-4,16.16
2023-5,19.03
2023-6,11.62
2023-7,6.96
2023-8,6.76
2023-9,15.15
2023-10,6.5
2023-11,10.36
2023-12,19.23
2023-13,19.35
2023-14,18.75
2023-15,11.65
2023-16,12.05
2023-17,14.63
2023-18,14.48
2023-19,9.03
2023-20,0.0
2023-21,6.57
2023-22,14.27
2023-23,12.41
2023-24,10.25
2023-25,3.87
2023-26,3.28
2023-27,7.46
2023-28,3.74
2023-29,14.44
2023-30,11.86
2023-31,15.09
2023-32,10.37
2023-33,13.51
2023-34,12.83
2023-35,7.07
2023-36,7.29
2023-37,9.89
2023-38,14.38
2023-39,10.54
2023-40,11.17
2023-41,11.31
2023-42,11.56
2023-43,3.87
2023-44,0.0
