,hours
2021-48,11.47
2021-49,21.32
2021-50,24.59
2021-51,20.12
2021-52,27.67
2022-0,1.65
2022-1,21.89
2022-2,18.87
2022-3,9.77
2022-4,16.2
2022-5,28.09
2022-6,16.72
2022-7,20.17
2022-8,16.92
2022-9,12.65
2022-10,7.45
2022-11,13.3
2022-12,16.51
2022-13,10.84
2022-14,9.62
2022-15,17.45
2022-16,23.51
2022-17,10.51
2022-18,14.55
2022-19,9.36
2022-20,11.1
2022-21,1.13
2022-22,5.29
2022-23,3.49
2022-24,7.92
2022-25,10.94
2022-26,5.95
2022-27,18.12
2022-28,7.83
2022-29,19.06
2022-30,16.36
2022-31,12.1
2022-32,24.02
2022-33,6.91
2022-34,5.97
2022-35,9.19
2022-36,2.6
2022-37,10.66
2022-38,8.79
2022-39,12.88
2022-40,6.69
2022-41,0.0
2022-42,0.0
2022-43,0.0
2022-44,0.57
2022-45,2.23
2022-46,4.08
2022-47,3.38
2022-48,7.32
2022-49,4.92
2022-50,6.88
2022-51,4.23
2022-52,11.81
2023-0,15.92
2023-1,14.21
2023-2,17.47
2023-3,17.26
2023-4,18.24
2023-5,23.3
2023-6,20.07
2023-7,16.74
2023-8,13.47
2023-9,16.55
2023-10,14.72
2023-11,6.36
2023-12,20.23
2023-13,17.29
2023-14,10.81
2023-15,4.43
2023-16,9.57
2023-17,16.98
2023-18,2.0
2023-19,3.29
2023-20,0.0
2023-21,2.94
2023-22,10.9
2023-23,11.51
2023-24,6.92
2023-25,2.15
2023-26,8.68
2023-27,6.43
2023-28,6.15
2023-29,10.74
2023-30,14.07
2023-31,20.96
2023-32,15.6
2023-33,4.97
2023-34,8.95
2023-35,0.58
2023-36,5.85
2023-37,9.09
2023-38,0.0
2023-39,2.02
2023-40,2.39
2023-41,0.0
2023-42,0.0
