,hours
2021-28,12.57
2021-29,12.72
2021-30,11.99
2021-31,19.55
2021-32,25.4
2021-33,16.7
2021-34,16.72
2021-35,20.88
2021-36,21.23
2021-37,8.42
2021-38,19.7
2021-39,18.63
2021-40,17.33
2021-41,19.49
2021-42,21.72
2021-43,13.38
2021-44,26.81
2021-45,20.17
2021-46,22.61
2021-47,26.61
2021-48,11.46
2021-49,15.2
2021-50,11.22
2021-51,4.15
2021-52,12.76
2022-0,0.99
2022-1,16.1
2022-2,26.92
2022-3,11.41
2022-4,3.61
2022-5,0.0
2022-6,20.81
2022-7,17.53
2022-8,15.84
2022-9,23.23
2022-10,21.62
2022-11,21.81
2022-12,17.0
2022-13,13.05
2022-14,23.27
2022-15,10.04
2022-16,20.88
2022-17,18.1
2022-18,22.6
2022-19,4.71
2022-20,18.85
2022-21,9.2
2022-22,2.13
2022-23,5.48
2022-24,13.22
2022-25,2.96
2022-26,0.0
2022-27,15.61
2022-28,14.77
2022-29,8.83
2022-30,0.0
2022-31,9.44
2022-32,19.78
2022-33,4.34
2022-34,19.21
2022-35,15.22
2022-36,13.12
2022-37,21.73
2022-38,21.44
2022-39,5.79
2022-40,23.15
2022-41,11.79
2022-42,16.64
2022-43,19.38
2022-44,0.0
2022-45,0.0
2022-46,0.0
2022-47,5.09
2022-48,26.63
2022-49,23.06
2022-50,0.0
2022-51,21.53
2022-52,7.43
2023-0,9.43
2023-1,12.82
2023-2,5.92
2023-3,0.0
2023-4,9.48
2023-5,22.01
2023-6,12.95
2023-7,20.39
2023-8,15.33
2023-9,15.42
2023-10,14.4
2023-11,17.66
2023-12,14.63
2023-13,12.59
2023-14,10.8
2023-15,3.96
2023-16,16.27
2023-17,23.76
2023-18,18.79
2023-19,29.59
2023-20,14.7
2023-21,10.89
2023-22,0.0
2023-23,10.12
2023-24,21.59
2023-25,26.45
2023-26,8.95
2023-27,10.56
2023-28,5.26
2023-29,17.73
2023-30,11.98
2023-31,14.44
2023-32,1.53
2023-33,10.63
2023-34,16.6
2023-35,0.0
2023-36,0.0
2023-37,2.69
2023-38,0.0
2023-39,0.0
2023-40,15.64
2023-41,14.28
2023-42,11.52
2023-43,9.73
2023-44,15.85
2023-45,17.01
2023-46,12.0
2023-47,17.3
2023-48,9.42
2023-49,19.05
2023-50,10.87
2023-51,17.03
2023-52,4.78
2024-0,10.9
2024-1,8.76
2024-2,2.95
2024-3,0.0
2024-4,16.27
2024-5,17.65
2024-6,7.99
2024-7,10.26
2024-8,5.0
2024-9,10.03
2024-10,13.26
2024-11,17.68
2024-12,8.58
2024-13,17.03
2024-14,13.44
2024-15,20.24
2024-16,19.78
2024-17,14.08
2024-18,17.42
2024-19,17.13
2024-20,14.1
2024-21,19.81
2024-22,16.07
2024-23,23.77
2024-24,4.46
2024-25,12.7
2024-26,20.63
2024-27,7.26
2024-28,20.49
2024-29,16.2
2024-30,8.93
2024-31,7.78
2024-32,0.0
2024-33,9.87
2024-34,6.73
