,hours
2019-24,1.47
2019-25,3.86
2019-26,4.78
2019-27,7.1
2019-28,6.63
2019-29,4.3
2019-30,2.52
2019-31,3.58
2019-32,5.58
2019-33,2.83
2019-34,1.27
2019-35,6.24
2019-36,1.84
2019-37,2.19
2019-38,1.75
2019-39,1.69
2019-40,3.34
2019-41,1.81
2019-42,4.32
2019-43,1.82
2019-44,2.8
2019-45,2.12
2019-46,3.06
2019-47,1.63
2019-48,6.01
2019-49,2.34
2019-50,0.9
2019-51,5.89
2019-52,0.0
2020-0,0.0
2020-1,4.27
2020-2,3.58
2020-3,2.21
2020-4,1.58
2020-5,2.36
2020-6,2.52
2020-7,1.57
2020-8,5.79
2020-9,13.31
2020-10,9.26
2020-11,13.34
2020-12,3.03
2020-13,3.98
2020-14,8.05
2020-15,0.0
2020-16,5.17
2020-17,14.17
2020-18,14.25
2020-19,10.13
2020-20,1.15
2020-21,6.97
2020-22,4.73
2020-23,2.59
2020-24,4.73
2020-25,5.82
2020-26,4.74
2020-27,5.21
2020-28,4.99
2020-29,17.76
2020-30,3.84
2020-31,4.79
2020-32,5.35
2020-33,5.24
2020-34,2.62
2020-35,11.63
2020-36,7.74
2020-37,11.2
2020-38,12.02
2020-39,4.28
2020-40,17.77
2020-41,5.99
2020-42,11.13
2020-43,9.14
2020-44,7.1
2020-45,4.23
2020-46,4.31
2020-47,2.25
2020-48,4.76
2020-49,9.58
2020-50,9.68
2020-51,7.98
2020-52,1.18
2021-0,0.49
2021-1,34.89
2021-2,9.64
2021-3,15.36
2021-4,4.66
2021-5,5.71
2021-6,0.0
2021-7,3.53
2021-8,3.79
2021-9,1.39
2021-10,1.09
2021-11,36.5
2021-12,15.48
2021-13,1.63
2021-14,17.12
2021-15,1.89
2021-16,2.96
2021-17,1.19
2021-18,3.88
2021-19,8.26
2021-20,8.34
2021-21,0.0
2021-22,9.1
2021-23,1.97
2021-24,0.0
2021-25,0.73
2021-26,8.83
2021-27,5.84
2021-28,2.97
2021-29,12.19
2021-30,2.61
2021-31,6.07
2021-32,8.79
2021-33,16.16
2021-34,9.0
2021-35,12.87
2021-36,10.96
2021-37,3.29
2021-38,0.0
2021-39,16.09
2021-40,0.0
2021-41,13.75
2021-42,4.73
2021-43,2.47
2021-44,1.26
2021-45,6.74
2021-46,14.91
2021-47,5.13
2021-48,6.83
2021-49,16.17
2021-50,4.88
2021-51,8.3
2021-52,1.78
2022-0,0.0
2022-1,1.42
2022-2,26.37
2022-3,13.38
2022-4,20.58
2022-5,13.94
2022-6,9.21
2022-7,11.19
2022-8,16.74
2022-9,2.3
2022-10,6.58
2022-11,3.51
2022-12,4.03
2022-13,14.66
2022-14,4.83
2022-15,2.29
2022-16,10.82
2022-17,6.86
2022-18,14.45
2022-19,5.35
2022-20,6.16
2022-21,6.69
2022-22,3.46
2022-23,2.52
2022-24,11.39
2022-25,5.32
2022-26,0.0
2022-27,1.33
2022-28,1.09
2022-29,3.86
2022-30,2.65
2022-31,5.64
2022-32,2.01
2022-33,9.79
2022-34,16.91
2022-35,2.96
2022-36,3.48
2022-37,8.26
2022-38,5.07
2022-39,8.69
2022-40,13.46
2022-41,10.0
2022-42,1.49
2022-43,7.48
2022-44,8.1
2022-45,16.46
2022-46,1.29
2022-47,14.11
2022-48,12.49
2022-49,16.56
2022-50,11.64
2022-51,11.44
2022-52,9.95
2023-0,11.84
2023-1,9.19
2023-2,1.87
2023-3,1.61
2023-4,0.0
2023-5,5.84
2023-6,10.0
2023-7,13.73
2023-8,13.49
2023-9,14.24
2023-10,6.12
2023-11,6.06
2023-12,9.23
2023-13,3.46
2023-14,0.0
2023-15,2.8
2023-16,1.67
2023-17,6.28
2023-18,13.69
2023-19,9.88
2023-20,52.1
2023-21,7.02
2023-22,6.11
2023-23,7.27
2023-24,13.56
2023-25,17.26
2023-26,5.82
2023-27,3.86
2023-28,7.96
2023-29,16.58
2023-30,8.97
2023-31,11.46
2023-32,0.0
2023-33,28.25
2023-34,51.41
2023-35,11.06
2023-36,6.68
2023-37,2.07
2023-38,3.37
2023-39,4.57
2023-40,19.14
2023-41,24.88
2023-42,15.13
2023-43,4.08
2023-44,2.28
2023-45,44.82
2023-46,8.72
2023-47,10.65
2023-48,4.87
2023-49,8.41
2023-50,12.97
2023-51,7.16
2023-52,1.7
2024-0,12.98
2024-1,12.5
2024-2,4.19
2024-3,27.02
2024-4,1.58
2024-5,5.6
2024-6,11.4
2024-7,0.0
2024-8,9.77
2024-9,14.95
2024-10,10.26
2024-11,11.63
2024-12,17.56
2024-13,14.36
2024-14,13.83
2024-15,58.09
2024-16,13.75
2024-17,7.64
2024-18,0.0
2024-19,6.0
2024-20,0.38
2024-21,4.42
2024-22,2.16
2024-23,2.4
2024-24,11.35
2024-25,10.73
2024-26,12.34
2024-27,21.18
2024-28,12.95
2024-29,12.61
2024-30,4.21
2024-31,5.5
2024-32,2.67
2024-33,11.26
2024-34,14.65
2024-35,5.05
2024-36,15.1
2024-37,60.94
2024-38,3.23
2024-39,22.06
2024-40,1.79
2024-41,2.68
2024-42,10.23
2024-43,10.11
2024-44,1.88
2024-45,11.49
2024-46,9.81
2024-47,9.03
2024-48,59.72
2024-49,37.96
2024-50,4.81
2024-51,11.73
2024-52,9.71
2025-0,1.9
2025-1,9.4
2025-2,11.0
2025-3,14.66
2025-4,18.94
2025-5,13.04
2025-6,37.07
2025-7,11.5
2025-8,18.32
2025-9,1.59
