,hours
2023-45,0.51
2023-46,6.9
2023-47,5.43
2023-48,6.26
2023-49,9.99
2023-50,16.01
2023-51,9.01
2023-52,10.83
2024-0,14.87
2024-1,16.03
2024-2,20.54
2024-3,29.29
2024-4,11.56
2024-5,18.69
2024-6,11.89
2024-7,19.94
2024-8,22.0
2024-9,2.31
2024-10,2.79
2024-11,3.17
2024-12,22.26
2024-13,20.7
2024-14,20.22
2024-15,21.95
2024-16,25.69
2024-17,19.55
2024-18,27.64
2024-19,23.93
2024-20,27.54
2024-21,16.45
2024-22,3.11
2024-23,16.6
2024-24,27.92
2024-25,18.68
2024-26,17.14
2024-27,20.28
2024-28,27.54
2024-29,22.07
2024-30,2.27
2024-31,20.59
2024-32,18.65
2024-33,23.65
2024-34,17.24
2024-35,32.56
2024-36,41.42
2024-37,30.41
2024-38,6.04
2024-39,30.66
2024-40,32.19
2024-41,25.54
2024-42,14.26
2024-43,37.84
2024-44,17.02
2024-45,25.26
2024-46,19.29
2024-47,25.01
2024-48,4.69
2024-49,12.01
2024-50,32.88
2024-51,26.2
2024-52,11.82
