,hours
2023-35,0.42
2023-36,9.74
2023-37,5.38
2023-38,12.49
2023-39,16.17
2023-40,8.93
2023-41,5.98
2023-42,9.53
2023-43,10.41
2023-44,4.32
2023-45,6.12
2023-46,9.35
2023-47,11.44
2023-48,16.76
2023-49,6.86
2023-50,8.2
2023-51,8.49
2023-52,3.45
2024-0,6.98
2024-1,4.68
2024-2,8.83
2024-3,11.93
2024-4,15.41
2024-5,6.42
2024-6,14.59
2024-7,4.93
2024-8,13.53
2024-9,11.44
2024-10,11.39
2024-11,10.97
2024-12,14.07
2024-13,11.29
2024-14,11.39
2024-15,6.09
2024-16,5.66
2024-17,22.18
2024-18,11.02
2024-19,26.05
2024-20,21.56
2024-21,26.76
2024-22,23.44
2024-23,9.95
2024-24,0.0
2024-25,11.3
2024-26,9.02
2024-27,11.44
2024-28,16.19
2024-29,28.94
2024-30,16.03
2024-31,3.86
2024-32,12.38
2024-33,9.5
2024-34,11.74
2024-35,7.68
2024-36,9.17
2024-37,19.95
2024-38,15.3
2024-39,14.82
2024-40,12.28
2024-41,9.91
2024-42,15.03
2024-43,12.26
2024-44,6.37
2024-45,6.72
2024-46,7.77
2024-47,9.19
2024-48,8.79
2024-49,9.4
2024-50,12.22
2024-51,15.28
2024-52,9.17
2025-0,13.76
2025-1,17.69
2025-2,6.82
2025-3,13.18
2025-4,5.14
2025-5,22.74
2025-6,13.18
2025-7,20.57
2025-8,8.8
2025-9,5.92
2025-10,14.07
2025-11,1.1
