,hours
2019-51,2.24
2019-52,2.03
2020-0,4.86
2020-1,10.55
2020-2,13.8
2020-3,14.35
2020-4,19.21
2020-5,27.08
2020-6,10.12
2020-7,10.58
2020-8,6.63
2020-9,15.79
2020-10,16.99
2020-11,8.86
2020-12,20.64
2020-13,8.02
2020-14,25.79
2020-15,19.8
2020-16,16.61
2020-17,16.51
2020-18,23.96
2020-19,25.62
2020-20,23.72
2020-21,27.73
2020-22,17.79
2020-23,8.16
2020-24,16.6
2020-25,11.48
2020-26,8.56
2020-27,10.34
2020-28,22.56
2020-29,24.68
2020-30,17.92
2020-31,32.57
2020-32,18.49
2020-33,13.29
2020-34,11.05
2020-35,9.04
2020-36,24.26
2020-37,5.05
2020-38,0.0
2020-39,0.99
2020-40,1.83
2020-41,0.0
2020-42,14.08
2020-43,9.44
2020-44,15.05
2020-45,10.55
2020-46,17.03
2020-47,28.6
2020-48,12.19
2020-49,17.52
2020-50,15.18
2020-51,11.19
2020-52,1.24
2021-0,2.74
2021-1,22.21
2021-2,18.03
2021-3,26.08
2021-4,14.84
2021-5,29.46
2021-6,11.57
2021-7,22.58
2021-8,38.44
2021-9,30.87
2021-10,19.81
2021-11,10.87
2021-12,19.82
2021-13,28.92
2021-14,5.28
2021-15,31.5
2021-16,16.4
2021-17,17.82
2021-18,25.34
2021-19,19.02
2021-20,8.75
2021-21,17.3
2021-22,17.63
2021-23,11.47
2021-24,24.38
2021-25,10.06
2021-26,13.35
2021-27,22.11
2021-28,31.1
2021-29,9.41
2021-30,10.88
2021-31,10.19
2021-32,10.0
2021-33,16.09
2021-34,17.7
2021-35,24.56
2021-36,14.02
2021-37,12.96
2021-38,14.15
2021-39,18.01
2021-40,18.33
2021-41,6.27
2021-42,16.83
2021-43,10.38
2021-44,10.65
2021-45,6.41
2021-46,20.96
2021-47,12.55
2021-48,25.7
2021-49,11.55
2021-50,27.53
2021-51,16.63
2021-52,13.79
2022-0,1.08
2022-1,11.4
2022-2,28.99
2022-3,0.2
2022-4,34.62
2022-5,17.33
2022-6,7.96
2022-7,0.0
2022-8,0.0
2022-9,0.0
2022-10,0.0
2022-11,0.0
2022-12,0.0
2022-13,0.0
2022-14,2.07
2022-15,0.0
2022-16,6.58
2022-17,14.96
2022-18,16.58
2022-19,10.72
2022-20,15.15
2022-21,8.7
2022-22,10.19
2022-23,2.03
2022-24,11.37
2022-25,6.07
2022-26,15.03
2022-27,0.43
2022-28,0.0
2022-29,0.0
2022-30,0.0
2022-31,0.0
2022-32,20.05
2022-33,11.36
2022-34,17.5
2022-35,20.68
2022-36,21.68
2022-37,19.25
2022-38,15.41
2022-39,13.67
2022-40,17.38
2022-41,12.24
2022-42,10.11
2022-43,17.89
2022-44,21.91
2022-45,15.98
2022-46,14.18
2022-47,19.77
2022-48,8.66
2022-49,10.81
2022-50,18.33
2022-51,11.88
2022-52,17.75
2023-0,13.98
2023-1,20.88
2023-2,16.57
2023-3,13.08
2023-4,13.96
2023-5,12.83
2023-6,15.83
2023-7,20.4
2023-8,22.8
2023-9,27.99
2023-10,15.82
2023-11,15.96
2023-12,19.79
2023-13,27.21
2023-14,15.24
2023-15,17.16
2023-16,15.27
2023-17,20.52
2023-18,24.32
2023-19,18.53
2023-20,8.32
2023-21,0.63
2023-22,0.0
2023-23,0.92
2023-24,0.0
2023-25,0.0
2023-26,0.0
2023-27,0.0
2023-28,0.0
2023-29,0.0
2023-30,0.35
2023-31,0.99
2023-32,0.0
2023-33,0.0
2023-34,0.0
2023-35,0.0
2023-36,3.83
2023-37,4.4
2023-38,10.64
2023-39,5.0
2023-40,6.82
2023-41,2.96
2023-42,1.07
2023-43,6.8
2023-44,6.62
2023-45,3.18
2023-46,3.28
2023-47,8.52
2023-48,8.67
2023-49,11.68
2023-50,11.25
2023-51,20.88
2023-52,1.72
2024-0,6.35
2024-1,11.79
2024-2,26.28
2024-3,6.73
2024-4,17.58
2024-5,15.77
2024-6,14.92
2024-7,14.16
2024-8,14.61
2024-9,0.64
2024-10,0.0
2024-11,5.32
2024-12,7.71
2024-13,20.21
2024-14,19.24
2024-15,18.47
2024-16,15.62
2024-17,24.83
2024-18,17.37
2024-19,22.49
2024-20,19.21
2024-21,15.74
2024-22,5.92
2024-23,12.44
2024-24,28.59
2024-25,20.81
2024-26,15.96
2024-27,9.32
2024-28,3.35
2024-29,31.17
2024-30,22.14
2024-31,5.99
2024-32,14.14
2024-33,10.9
2024-34,15.9
2024-35,14.72
2024-36,15.9
2024-37,33.25
2024-38,23.52
2024-39,35.88
2024-40,18.41
2024-41,13.02
2024-42,21.83
2024-43,19.53
2024-44,14.96
2024-45,17.62
2024-46,1.71
2024-47,14.77
2024-48,7.15
2024-49,0.0
2024-50,9.48
2024-51,15.66
2024-52,9.55
2025-0,10.61
2025-1,15.04
2025-2,8.98
2025-3,15.32
2025-4,14.13
2025-5,21.68
2025-6,36.58
2025-7,23.96
2025-8,25.59
2025-9,10.49
2025-10,22.7
2025-11,7.29
2025-12,8.91
2025-13,22.24
2025-14,23.46
2025-15,7.18
2025-16,21.66
2025-17,18.52
2025-18,0.0
