,hours
2019-23,3.62
2019-24,3.19
2019-25,2.54
2019-26,0.98
2019-27,2.17
2019-28,3.04
2019-29,0.0
2019-30,0.0
2019-31,0.0
2019-32,0.0
2019-33,0.0
2019-34,0.0
2019-35,3.01
2019-36,0.0
2019-37,0.0
2019-38,0.0
2019-39,1.05
2019-40,0.0
2019-41,2.23
2019-42,2.09
2019-43,3.4
2019-44,2.55
2019-45,1.35
2019-46,0.0
2019-47,0.0
2019-48,0.0
2019-49,0.0
2019-50,2.8
2019-51,1.2
2019-52,1.51
2020-0,1.73
2020-1,4.53
2020-2,1.64
2020-3,0.84
2020-4,6.2
2020-5,3.06
2020-6,1.82
2020-7,1.46
2020-8,3.58
2020-9,0.0
2020-10,10.24
2020-11,1.29
2020-12,1.24
2020-13,0.0
2020-14,0.98
2020-15,9.51
2020-16,15.09
2020-17,13.26
2020-18,2.43
2020-19,0.0
2020-20,0.0
2020-21,0.0
2020-22,1.7
2020-23,2.59
2020-24,0.0
2020-25,2.27
2020-26,9.33
2020-27,0.41
2020-28,1.76
2020-29,4.9
2020-30,4.37
2020-31,5.19
2020-32,0.0
2020-33,0.0
2020-34,0.0
2020-35,0.0
2020-36,2.07
2020-37,10.32
2020-38,1.79
2020-39,0.0
2020-40,5.59
2020-41,4.5
2020-42,1.18
2020-43,4.33
