,hours
2022-13,10.73
2022-14,11.92
2022-15,9.8
2022-16,19.16
2022-17,9.13
2022-18,14.24
2022-19,15.08
2022-20,10.87
2022-21,12.86
2022-22,15.86
2022-23,25.32
2022-24,13.4
2022-25,2.83
2022-26,17.38
2022-27,28.97
2022-28,25.76
2022-29,20.56
2022-30,27.66
2022-31,7.92
2022-32,8.58
2022-33,3.13
2022-34,12.28
2022-35,18.31
2022-36,19.0
2022-37,19.18
2022-38,18.53
2022-39,9.63
2022-40,8.89
2022-41,0.0
2022-42,8.0
2022-43,23.26
2022-44,19.92
2022-45,22.77
2022-46,18.58
2022-47,22.87
2022-48,6.41
2022-49,1.2
2022-50,20.75
2022-51,6.49
2022-52,23.24
2023-0,12.85
2023-1,13.7
2023-2,9.51
2023-3,6.08
2023-4,7.13
2023-5,7.4
2023-6,8.58
2023-7,10.82
2023-8,9.18
2023-9,20.85
2023-10,7.72
2023-11,6.38
2023-12,10.64
2023-13,13.16
2023-14,8.85
2023-15,10.63
2023-16,8.82
2023-17,4.41
2023-18,12.12
2023-19,9.53
2023-20,21.77
2023-21,4.69
2023-22,0.0
2023-23,8.8
2023-24,0.0
2023-25,0.0
2023-26,3.76
2023-27,10.98
2023-28,9.35
2023-29,7.69
2023-30,4.91
2023-31,8.03
2023-32,9.22
2023-33,6.15
2023-34,6.76
2023-35,6.86
2023-36,11.82
2023-37,8.52
2023-38,15.32
2023-39,2.71
2023-40,11.48
2023-41,3.05
2023-42,10.39
2023-43,4.88
2023-44,2.14
2023-45,2.97
2023-46,0.0
