,hours
2019-14,1.07
2019-15,4.01
2019-16,1.14
2019-17,3.36
2019-18,2.4
2019-19,6.65
2019-20,2.19
2019-21,4.39
2019-22,6.33
2019-23,13.97
2019-24,12.49
2019-25,12.36
2019-26,9.77
2019-27,9.23
2019-28,7.24
2019-29,9.73
2019-30,9.96
2019-31,13.12
2019-32,28.04
2019-33,19.76
2019-34,25.35
2019-35,19.52
2019-36,11.17
2019-37,25.71
2019-38,35.37
2019-39,5.36
2019-40,13.8
2019-41,11.42
2019-42,21.48
2019-43,12.83
2019-44,10.09
2019-45,14.89
2019-46,6.42
2019-47,13.04
2019-48,9.96
2019-49,14.93
2019-50,17.72
2019-51,16.58
2019-52,24.0
2020-0,8.41
2020-1,31.74
2020-2,24.97
2020-3,20.88
2020-4,26.95
2020-5,22.81
2020-6,21.31
2020-7,24.35
2020-8,26.29
2020-9,36.52
2020-10,38.74
2020-11,38.15
2020-12,18.03
2020-13,20.08
2020-14,33.97
2020-15,22.08
2020-16,25.3
2020-17,24.55
2020-18,33.91
2020-19,42.71
2020-20,36.73
2020-21,21.87
2020-22,17.94
2020-23,13.24
2020-24,17.64
2020-25,14.55
2020-26,26.32
2020-27,7.69
2020-28,8.61
2020-29,24.37
2020-30,16.0
2020-31,13.72
2020-32,41.58
2020-33,16.91
2020-34,11.71
2020-35,29.98
2020-36,8.4
2020-37,12.86
2020-38,23.83
2020-39,22.46
2020-40,13.89
2020-41,31.04
2020-42,19.64
2020-43,1.97
2020-44,22.82
2020-45,9.77
2020-46,32.36
2020-47,22.6
2020-48,33.41
2020-49,12.76
2020-50,20.18
2020-51,11.43
2020-52,7.66
2021-0,7.72
2021-1,28.5
2021-2,20.85
2021-3,25.65
2021-4,25.6
2021-5,25.78
2021-6,3.42
2021-7,20.26
2021-8,28.27
2021-9,23.88
2021-10,24.91
2021-11,22.9
2021-12,21.68
2021-13,12.14
2021-14,23.25
2021-15,33.66
2021-16,6.28
2021-17,34.64
2021-18,19.56
2021-19,15.57
2021-20,11.45
2021-21,6.25
2021-22,1.96
2021-23,30.44
2021-24,14.02
2021-25,17.8
2021-26,15.02
2021-27,21.65
2021-28,27.44
2021-29,24.74
2021-30,22.35
2021-31,12.29
2021-32,19.63
2021-33,23.09
2021-34,19.03
2021-35,11.32
2021-36,12.92
2021-37,24.42
2021-38,17.71
2021-39,5.9
2021-40,9.92
2021-41,13.41
2021-42,18.93
2021-43,14.85
2021-44,6.32
2021-45,4.5
2021-46,0.0
2021-47,0.0
2021-48,0.0
2021-49,0.0
2021-50,3.27
2021-51,4.18
2021-52,4.09
2022-0,0.0
2022-1,15.39
2022-2,13.97
2022-3,1.75
2022-4,14.37
2022-5,10.81
2022-6,8.73
2022-7,12.47
2022-8,23.72
2022-9,15.99
2022-10,10.29
2022-11,12.24
2022-12,15.87
2022-13,8.46
2022-14,18.09
2022-15,19.08
2022-16,9.34
2022-17,31.08
2022-18,24.43
2022-19,13.78
2022-20,14.14
2022-21,3.03
2022-22,0.0
2022-23,0.0
2022-24,2.18
2022-25,9.04
2022-26,19.1
2022-27,14.41
2022-28,14.17
2022-29,18.68
2022-30,14.78
2022-31,12.53
2022-32,11.51
2022-33,13.23
2022-34,20.7
2022-35,11.33
2022-36,16.68
2022-37,19.48
2022-38,12.72
2022-39,13.06
2022-40,26.01
2022-41,13.31
2022-42,36.92
2022-43,39.5
2022-44,2.33
2022-45,8.13
2022-46,18.22
2022-47,26.97
2022-48,20.3
2022-49,10.74
2022-50,6.38
2022-51,0.0
2022-52,9.17
2023-0,8.27
2023-1,20.88
2023-2,16.69
2023-3,18.9
2023-4,13.72
2023-5,15.08
2023-6,30.37
2023-7,22.76
2023-8,25.97
2023-9,24.43
2023-10,17.56
2023-11,7.96
2023-12,15.83
2023-13,16.11
2023-14,9.97
2023-15,14.05
2023-16,12.94
2023-17,33.92
2023-18,11.46
2023-19,22.97
2023-20,12.2
2023-21,14.23
2023-22,30.33
2023-23,7.51
2023-24,22.38
2023-25,32.05
2023-26,26.79
2023-27,34.74
2023-28,7.54
2023-29,15.68
2023-30,15.78
2023-31,10.18
2023-32,16.96
2023-33,18.61
2023-34,14.65
2023-35,22.41
2023-36,18.69
2023-37,19.29
2023-38,25.89
2023-39,19.72
2023-40,21.2
2023-41,10.46
2023-42,23.19
2023-43,30.51
2023-44,3.3
2023-45,9.7
2023-46,22.74
2023-47,11.65
2023-48,12.92
2023-49,0.0
2023-50,13.26
2023-51,10.28
2023-52,0.0
2024-0,15.53
2024-1,3.3
2024-2,1.02
2024-3,3.19
2024-4,5.51
2024-5,8.85
2024-6,8.6
2024-7,15.5
2024-8,1.28
2024-9,13.6
2024-10,6.18
2024-11,9.03
2024-12,18.88
2024-13,14.93
2024-14,19.89
2024-15,16.06
2024-16,6.2
2024-17,21.56
2024-18,5.07
2024-19,0.0
2024-20,6.33
2024-21,15.08
2024-22,7.42
2024-23,13.93
2024-24,24.27
2024-25,2.3
2024-26,14.21
2024-27,23.0
2024-28,7.16
2024-29,7.63
2024-30,8.75
2024-31,7.72
2024-32,21.08
2024-33,4.87
2024-34,6.49
2024-35,5.73
2024-36,16.16
2024-37,29.47
2024-38,13.63
2024-39,7.87
2024-40,11.96
2024-41,6.86
2024-42,5.44
2024-43,1.59
2024-44,4.43
2024-45,9.22
2024-46,14.02
2024-47,10.53
2024-48,16.64
2024-49,12.17
2024-50,12.44
2024-51,9.26
2024-52,2.27
2025-0,15.67
2025-1,22.28
2025-2,41.98
2025-3,8.92
2025-4,19.55
2025-5,17.49
2025-6,26.76
2025-7,2.34
2025-8,0.19
2025-9,11.96
2025-10,26.74
2025-11,20.84
2025-12,7.26
2025-13,14.03
2025-14,25.13
2025-15,3.78
2025-16,9.69
2025-17,12.78
2025-18,16.67
2025-19,21.97
2025-20,13.74
2025-21,22.54
2025-22,22.35
2025-23,22.72
2025-24,0.0
