,hours
2021-48,18.97
2021-49,24.03
2021-50,36.95
2021-51,25.87
2021-52,49.54
2022-0,5.07
2022-1,30.37
2022-2,48.37
2022-3,32.34
2022-4,35.81
2022-5,48.18
2022-6,42.91
2022-7,40.18
2022-8,33.96
2022-9,30.06
2022-10,30.54
2022-11,40.45
2022-12,32.78
2022-13,35.16
2022-14,37.83
2022-15,37.15
2022-16,36.5
2022-17,39.21
2022-18,40.98
2022-19,38.12
2022-20,36.48
2022-21,39.85
2022-22,32.74
2022-23,39.0
2022-24,27.44
2022-25,40.89
2022-26,48.02
2022-27,35.61
2022-28,35.11
2022-29,30.2
2022-30,35.82
2022-31,34.17
2022-32,39.07
2022-33,40.16
2022-34,39.04
2022-35,37.86
2022-36,37.03
2022-37,37.36
2022-38,42.04
2022-39,25.62
2022-40,39.95
2022-41,36.1
2022-42,42.56
2022-43,21.45
2022-44,33.29
2022-45,33.73
2022-46,29.05
2022-47,53.85
2022-48,32.65
2022-49,27.27
2022-50,48.5
2022-51,34.68
2022-52,47.68
2023-0,62.25
2023-1,38.1
2023-2,39.67
2023-3,42.05
2023-4,38.12
2023-5,49.98
2023-6,37.63
2023-7,45.46
2023-8,39.03
2023-9,44.33
2023-10,25.81
2023-11,43.02
2023-12,49.74
2023-13,29.03
2023-14,31.31
2023-15,25.69
2023-16,23.11
2023-17,59.24
2023-18,57.26
2023-19,24.88
2023-20,12.63
2023-21,42.93
2023-22,42.37
2023-23,48.97
2023-24,31.75
2023-25,43.68
2023-26,35.88
2023-27,39.57
2023-28,48.61
2023-29,43.72
2023-30,37.67
2023-31,54.16
2023-32,47.65
2023-33,43.9
2023-34,8.44
2023-35,0.0
