,hours
2021-34,11.47
2021-35,12.79
2021-36,13.03
2021-37,9.34
2021-38,8.57
2021-39,7.86
2021-40,14.71
2021-41,10.03
2021-42,11.08
2021-43,16.45
2021-44,8.8
2021-45,13.39
2021-46,0.0
2021-47,9.5
2021-48,10.53
2021-49,15.81
2021-50,16.24
2021-51,20.09
2021-52,9.03
2022-0,0.98
2022-1,9.32
2022-2,12.07
2022-3,13.57
2022-4,13.0
2022-5,3.04
2022-6,6.57
2022-7,17.75
2022-8,1.31
2022-9,9.3
2022-10,12.67
2022-11,25.28
2022-12,12.98
2022-13,7.38
2022-14,12.86
2022-15,5.88
2022-16,18.91
2022-17,3.39
2022-18,4.29
2022-19,16.33
2022-20,19.18
2022-21,9.22
2022-22,13.25
2022-23,18.52
2022-24,13.95
2022-25,0.0
2022-26,13.57
2022-27,0.0
2022-28,13.01
2022-29,15.2
2022-30,12.94
2022-31,10.85
2022-32,8.66
2022-33,6.47
2022-34,4.66
2022-35,10.62
2022-36,0.0
2022-37,0.0
2022-38,12.06
2022-39,5.09
2022-40,3.64
2022-41,0.0
2022-42,18.08
2022-43,8.22
2022-44,16.6
2022-45,8.18
2022-46,16.75
2022-47,15.51
2022-48,14.28
2022-49,16.1
2022-50,2.62
2022-51,3.73
2022-52,6.07
2023-0,6.29
2023-1,15.06
2023-2,9.92
2023-3,7.95
2023-4,10.07
2023-5,17.64
2023-6,0.0
2023-7,0.0
2023-8,0.0
2023-9,1.39
2023-10,2.54
2023-11,0.0
2023-12,0.0
2023-13,14.23
2023-14,15.72
2023-15,12.39
2023-16,13.18
2023-17,6.89
2023-18,10.03
2023-19,10.5
2023-20,16.9
2023-21,10.96
2023-22,12.61
2023-23,9.96
2023-24,13.53
2023-25,4.3
2023-26,14.59
2023-27,10.74
2023-28,12.71
2023-29,6.89
2023-30,4.01
2023-31,2.78
2023-32,0.0
2023-33,11.8
2023-34,0.0
2023-35,6.24
2023-36,6.51
2023-37,8.77
2023-38,14.81
2023-39,2.81
2023-40,3.47
2023-41,16.86
2023-42,12.44
2023-43,15.71
2023-44,2.91
2023-45,3.75
2023-46,15.84
2023-47,19.19
2023-48,14.28
2023-49,9.61
2023-50,14.88
2023-51,15.88
2023-52,3.0
2024-0,6.14
2024-1,0.84
2024-2,0.0
2024-3,0.0
2024-4,24.8
2024-5,3.22
2024-6,0.0
2024-7,3.44
2024-8,16.28
2024-9,23.88
2024-10,7.78
2024-11,0.0
2024-12,3.73
2024-13,1.61
2024-14,2.26
2024-15,19.09
2024-16,17.24
2024-17,28.35
2024-18,18.36
2024-19,8.04
2024-20,0.0
2024-21,10.43
2024-22,4.56
2024-23,16.22
2024-24,17.3
2024-25,12.59
2024-26,17.65
2024-27,12.49
2024-28,23.66
2024-29,9.21
2024-30,1.65
2024-31,5.49
2024-32,13.43
2024-33,4.28
2024-34,8.53
2024-35,14.88
2024-36,0.0
2024-37,14.51
2024-38,14.25
2024-39,3.51
2024-40,3.97
2024-41,3.03
2024-42,9.09
2024-43,5.73
2024-44,16.84
2024-45,15.92
2024-46,10.84
2024-47,18.59
2024-48,20.94
2024-49,10.6
2024-50,3.6
2024-51,22.51
2024-52,6.71
2025-0,9.89
2025-1,8.16
2025-2,7.09
2025-3,3.71
2025-4,5.4
2025-5,22.67
2025-6,13.2
2025-7,3.89
2025-8,10.49
2025-9,0.0
2025-10,4.0
2025-11,0.0
2025-12,8.49
2025-13,19.76
2025-14,17.89
2025-15,13.69
2025-16,13.38
2025-17,3.45
2025-18,25.49
2025-19,4.26
2025-20,20.34
2025-21,12.04
2025-22,16.36
2025-23,8.13
2025-24,10.73
2025-25,1.23
2025-26,16.79
2025-27,13.6
2025-28,2.6
2025-29,9.82
2025-30,12.85
2025-31,10.41
2025-32,12.37
2025-33,6.07
2025-34,0.0
2025-35,3.54
2025-36,2.73
2025-37,20.22
2025-38,19.84
2025-39,23.7
2025-40,2.07
2025-41,0.0
2025-42,0.0
2025-43,0.0
2025-44,3.14
2025-45,8.5
2025-46,20.8
2025-47,13.37
2025-48,0.0
2025-49,5.97
2025-50,23.17
2025-51,3.75
2025-52,1.61
2026-0,1.16
