,hours
2020-32,1.5
2020-33,12.55
2020-34,20.67
2020-35,17.35
2020-36,23.4
2020-37,26.87
2020-38,26.31
2020-39,31.73
2020-40,10.49
2020-41,32.31
2020-42,35.77
2020-43,30.76
2020-44,30.34
2020-45,20.85
2020-46,29.76
2020-47,28.94
2020-48,24.06
2020-49,30.64
2020-50,28.03
2020-51,27.8
2020-52,18.6
2021-0,4.2
2021-1,23.01
2021-2,21.46
2021-3,12.85
2021-4,16.55
2021-5,7.55
2021-6,0.36
2021-7,6.72
2021-8,16.69
2021-9,29.44
2021-10,27.77
2021-11,27.72
2021-12,24.02
2021-13,28.51
2021-14,33.4
2021-15,27.59
2021-16,26.39
2021-17,20.35
2021-18,31.46
2021-19,31.49
2021-20,22.36
2021-21,22.03
2021-22,34.02
2021-23,33.77
2021-24,15.22
2021-25,14.91
2021-26,25.46
2021-27,16.66
2021-28,26.85
2021-29,19.97
2021-30,27.72
2021-31,27.97
2021-32,24.12
2021-33,19.68
2021-34,21.66
2021-35,20.39
2021-36,17.47
2021-37,31.76
2021-38,19.61
2021-39,17.97
2021-40,32.66
2021-41,25.04
2021-42,20.48
2021-43,14.44
2021-44,27.73
2021-45,6.92
2021-46,5.45
2021-47,24.71
2021-48,12.41
2021-49,27.34
2021-50,29.01
2021-51,29.45
2021-52,27.98
2022-0,12.7
2022-1,29.95
2022-2,37.81
2022-3,33.83
2022-4,29.47
2022-5,26.59
2022-6,33.48
2022-7,16.16
2022-8,14.4
2022-9,27.66
2022-10,4.49
2022-11,9.52
2022-12,4.11
2022-13,17.08
2022-14,20.82
2022-15,14.27
2022-16,20.66
2022-17,21.17
2022-18,20.56
2022-19,23.88
2022-20,18.9
2022-21,7.26
2022-22,7.16
2022-23,13.29
2022-24,4.07
2022-25,9.97
2022-26,10.35
2022-27,0.0
2022-28,0.0
2022-29,1.02
2022-30,0.0
2022-31,11.21
2022-32,9.16
2022-33,13.23
2022-34,14.56
2022-35,5.79
2022-36,12.54
2022-37,15.41
2022-38,5.5
2022-39,2.05
2022-40,1.95
2022-41,7.88
2022-42,10.66
2022-43,15.84
2022-44,13.07
2022-45,6.26
2022-46,17.68
2022-47,12.25
2022-48,18.41
2022-49,8.57
2022-50,18.71
2022-51,6.03
2022-52,13.78
2023-0,22.88
2023-1,0.0
2023-2,0.0
2023-3,11.28
2023-4,9.52
2023-5,16.38
2023-6,9.07
2023-7,6.57
2023-8,6.83
2023-9,12.58
2023-10,7.02
2023-11,4.75
2023-12,7.67
2023-13,4.6
2023-14,8.82
2023-15,8.84
2023-16,13.84
2023-17,2.36
2023-18,11.24
2023-19,10.33
2023-20,1.68
2023-21,8.86
2023-22,9.58
2023-23,7.87
2023-24,8.66
2023-25,4.84
2023-26,3.08
2023-27,11.82
2023-28,9.73
2023-29,10.79
2023-30,15.09
2023-31,7.09
2023-32,0.0
2023-33,14.6
2023-34,7.51
2023-35,6.3
2023-36,8.93
2023-37,15.27
2023-38,8.42
2023-39,8.27
2023-40,12.93
2023-41,8.38
2023-42,6.44
2023-43,5.91
2023-44,2.58
2023-45,6.59
2023-46,2.14
2023-47,6.15
2023-48,2.86
2023-49,3.94
2023-50,0.0
2023-51,2.16
2023-52,0.0
2024-0,0.0
2024-1,1.13
2024-2,1.59
2024-3,1.05
2024-4,3.28
2024-5,8.03
2024-6,3.38
2024-7,3.9
2024-8,3.57
2024-9,3.64
2024-10,2.63
2024-11,4.73
2024-12,8.15
2024-13,10.01
2024-14,11.26
2024-15,12.91
2024-16,4.14
2024-17,13.38
2024-18,5.17
2024-19,16.95
2024-20,6.59
2024-21,9.29
2024-22,8.88
2024-23,8.67
2024-24,4.88
2024-25,7.43
2024-26,10.57
2024-27,12.48
2024-28,12.42
2024-29,15.69
2024-30,12.43
2024-31,12.91
2024-32,9.03
2024-33,11.23
2024-34,6.04
2024-35,11.64
2024-36,1.92
2024-37,19.94
2024-38,8.65
2024-39,7.49
2024-40,7.89
2024-41,11.25
2024-42,7.63
2024-43,17.04
2024-44,10.19
2024-45,18.29
2024-46,10.04
2024-47,8.42
2024-48,8.23
2024-49,6.33
2024-50,5.85
2024-51,11.52
2024-52,4.49
2025-0,7.71
2025-1,7.34
2025-2,8.87
2025-3,17.84
2025-4,10.6
2025-5,15.3
2025-6,11.29
2025-7,9.12
2025-8,19.77
2025-9,6.93
2025-10,5.2
2025-11,14.21
2025-12,15.03
2025-13,18.64
2025-14,11.88
2025-15,13.08
2025-16,5.34
2025-17,8.06
2025-18,15.2
2025-19,1.59
2025-20,2.62
2025-21,10.43
2025-22,4.27
2025-23,9.35
2025-24,11.53
2025-25,9.9
2025-26,10.56
2025-27,5.64
2025-28,2.1
2025-29,7.23
2025-30,10.97
2025-31,10.19
2025-32,11.57
2025-33,2.85
2025-34,11.93
2025-35,17.11
2025-36,12.72
2025-37,7.6
2025-38,13.76
2025-39,5.73
2025-40,7.82
