,hours
2021-47,1.49
2021-48,7.99
2021-49,13.28
2021-50,14.96
2021-51,10.13
2021-52,11.34
2022-0,0.53
2022-1,9.93
2022-2,7.75
2022-3,4.91
2022-4,6.24
2022-5,5.12
2022-6,1.02
2022-7,5.75
2022-8,4.74
2022-9,1.51
2022-10,13.76
2022-11,6.03
2022-12,5.32
2022-13,13.71
2022-14,9.18
2022-15,8.23
2022-16,8.02
2022-17,5.72
2022-18,6.65
2022-19,2.28
2022-20,1.87
2022-21,5.67
2022-22,4.41
2022-23,4.53
2022-24,4.02
2022-25,3.01
2022-26,3.98
2022-27,1.01
2022-28,1.57
2022-29,4.04
2022-30,3.79
2022-31,2.86
2022-32,0.97
2022-33,2.19
2022-34,5.44
2022-35,0.0
2022-36,2.38
2022-37,0.0
2022-38,0.0
2022-39,0.52
2022-40,7.67
2022-41,4.72
2022-42,7.21
2022-43,9.75
2022-44,7.64
2022-45,8.37
2022-46,6.86
2022-47,3.02
2022-48,0.0
2022-49,0.0
2022-50,0.0
2022-51,0.0
2022-52,0.0
2023-0,0.0
2023-1,0.0
2023-2,0.0
2023-3,0.0
2023-4,0.0
2023-5,0.0
2023-6,0.0
2023-7,0.0
2023-8,0.78
2023-9,2.0
2023-10,1.55
2023-11,13.15
2023-12,18.73
2023-13,15.17
2023-14,30.8
2023-15,15.82
2023-16,17.19
2023-17,3.86
2023-18,0.0
2023-19,3.71
2023-20,5.46
2023-21,6.49
2023-22,1.81
2023-23,4.77
2023-24,5.26
2023-25,2.99
2023-26,5.57
2023-27,5.06
2023-28,11.79
2023-29,10.68
2023-30,6.7
2023-31,1.03
2023-32,0.0
2023-33,0.0
2023-34,0.0
2023-35,0.0
