,hours
2024-24,0.72
2024-25,12.23
2024-26,16.51
2024-27,6.1
2024-28,17.95
2024-29,19.06
2024-30,10.07
2024-31,9.84
2024-32,11.92
2024-33,15.27
2024-34,5.54
2024-35,21.46
2024-36,9.13
2024-37,14.65
2024-38,10.74
2024-39,12.95
2024-40,15.14
2024-41,5.49
2024-42,8.21
2024-43,9.82
2024-44,9.53
2024-45,9.96
2024-46,8.29
2024-47,7.47
2024-48,8.39
2024-49,7.29
2024-50,9.72
2024-51,19.28
2024-52,1.11
2025-0,1.88
2025-1,15.98
2025-2,13.81
2025-3,18.05
2025-4,16.46
2025-5,17.47
2025-6,9.29
2025-7,13.34
2025-8,16.4
2025-9,2.67
2025-10,2.12
2025-11,6.17
2025-12,2.98
2025-13,5.73
2025-14,10.87
2025-15,2.64
2025-16,8.36
2025-17,2.23
2025-18,36.81
2025-19,4.17
2025-20,2.04
2025-21,3.45
2025-22,8.67
2025-23,2.66
2025-24,1.6
2025-25,0.0
2025-26,2.5
2025-27,2.53
2025-28,4.17
