,hours
2021-47,0.99
2021-48,12.9
2021-49,27.35
2021-50,44.88
2021-51,29.29
2021-52,24.59
2022-0,3.18
2022-1,16.96
2022-2,21.78
2022-3,17.55
2022-4,17.24
2022-5,21.05
2022-6,30.38
2022-7,21.89
2022-8,31.59
2022-9,34.08
2022-10,23.84
2022-11,20.13
2022-12,29.74
2022-13,26.6
2022-14,31.09
2022-15,32.84
2022-16,25.6
2022-17,18.58
2022-18,48.38
2022-19,31.95
2022-20,29.78
2022-21,22.71
2022-22,21.38
2022-23,27.57
2022-24,17.5
2022-25,21.82
2022-26,23.25
2022-27,21.51
2022-28,20.11
2022-29,22.31
2022-30,24.08
2022-31,28.47
2022-32,22.35
2022-33,23.6
2022-34,34.26
2022-35,16.27
2022-36,12.72
2022-37,35.77
2022-38,31.37
2022-39,16.15
2022-40,24.87
2022-41,24.21
2022-42,24.75
2022-43,22.16
2022-44,12.94
2022-45,22.37
2022-46,17.12
2022-47,23.8
2022-48,19.56
2022-49,6.85
2022-50,21.34
2022-51,19.0
2022-52,22.6
2023-0,42.22
2023-1,20.04
2023-2,27.51
2023-3,20.36
2023-4,15.29
2023-5,34.53
2023-6,9.64
2023-7,2.98
2023-8,28.1
2023-9,21.02
2023-10,12.77
2023-11,10.14
2023-12,21.2
2023-13,17.06
2023-14,13.83
2023-15,18.63
2023-16,10.93
2023-17,21.18
2023-18,25.33
2023-19,29.01
2023-20,15.75
2023-21,25.69
2023-22,32.05
2023-23,8.66
2023-24,15.52
2023-25,23.84
2023-26,31.15
2023-27,35.95
2023-28,19.81
2023-29,22.11
2023-30,26.45
2023-31,20.09
2023-32,49.67
2023-33,10.35
2023-34,26.82
2023-35,16.87
2023-36,19.88
2023-37,28.15
2023-38,7.92
2023-39,26.36
2023-40,31.45
2023-41,30.2
2023-42,26.33
2023-43,18.9
2023-44,17.14
2023-45,21.48
2023-46,19.16
2023-47,6.42
2023-48,22.84
2023-49,1.18
2023-50,42.77
2023-51,42.73
2023-52,2.83
2024-0,39.91
2024-1,20.98
2024-2,32.36
2024-3,34.92
2024-4,34.67
2024-5,30.1
2024-6,33.3
2024-7,27.55
2024-8,10.26
2024-9,26.24
2024-10,4.1
2024-11,23.31
2024-12,18.1
2024-13,20.52
2024-14,29.92
2024-15,29.55
2024-16,20.04
2024-17,26.41
2024-18,29.0
2024-19,22.55
2024-20,21.29
2024-21,9.88
2024-22,27.74
2024-23,7.72
2024-24,13.97
2024-25,17.09
2024-26,11.3
2024-27,16.56
2024-28,17.53
2024-29,24.2
2024-30,0.0
2024-31,9.04
2024-32,52.39
2024-33,22.45
2024-34,32.0
2024-35,19.48
2024-36,22.29
2024-37,37.18
2024-38,29.35
2024-39,25.87
2024-40,18.26
2024-41,14.4
2024-42,26.82
2024-43,21.88
2024-44,34.83
2024-45,30.27
2024-46,18.1
2024-47,15.75
2024-48,15.31
2024-49,14.27
2024-50,18.75
2024-51,22.38
2024-52,8.36
2025-0,18.84
2025-1,10.72
2025-2,5.51
2025-3,16.76
2025-4,25.95
2025-5,24.57
2025-6,45.03
2025-7,0.0
