,hours
2020-0,0.97
2020-1,12.37
2020-2,12.37
2020-3,19.62
2020-4,21.28
2020-5,25.22
2020-6,13.31
2020-7,7.7
2020-8,13.49
2020-9,26.51
2020-10,26.66
2020-11,18.72
2020-12,45.74
2020-13,27.51
2020-14,32.6
2020-15,22.64
2020-16,23.22
2020-17,18.5
2020-18,14.19
2020-19,27.66
2020-20,24.85
2020-21,29.94
2020-22,19.72
2020-23,16.0
2020-24,22.09
2020-25,19.7
2020-26,21.74
2020-27,19.01
2020-28,17.38
2020-29,15.53
2020-30,17.56
2020-31,19.05
2020-32,11.85
2020-33,16.72
2020-34,14.48
2020-35,14.14
2020-36,19.57
2020-37,14.83
2020-38,22.5
2020-39,20.04
2020-40,4.95
2020-41,17.49
2020-42,14.63
2020-43,12.95
2020-44,24.86
2020-45,24.04
2020-46,4.24
2020-47,25.82
2020-48,15.47
2020-49,21.5
2020-50,11.32
2020-51,9.34
2020-52,13.83
2021-0,3.06
2021-1,8.42
2021-2,5.82
2021-3,0.0
2021-4,5.37
2021-5,4.07
2021-6,1.18
2021-7,11.26
2021-8,17.63
2021-9,17.37
2021-10,25.35
2021-11,24.65
2021-12,25.44
2021-13,39.72
2021-14,28.91
2021-15,24.97
2021-16,11.29
2021-17,23.7
2021-18,19.19
2021-19,18.26
2021-20,1.09
2021-21,4.7
2021-22,9.47
2021-23,10.11
2021-24,6.1
2021-25,6.75
2021-26,14.43
2021-27,18.21
2021-28,12.59
2021-29,24.46
2021-30,17.33
2021-31,16.18
2021-32,18.12
2021-33,19.36
2021-34,13.42
2021-35,14.39
2021-36,23.59
2021-37,18.05
2021-38,25.08
2021-39,29.45
2021-40,24.01
2021-41,19.46
2021-42,28.5
2021-43,17.79
2021-44,18.63
2021-45,22.81
2021-46,16.19
2021-47,34.87
2021-48,28.97
2021-49,34.09
2021-50,30.89
2021-51,12.42
2021-52,16.65
2022-0,3.72
2022-1,20.68
2022-2,15.69
2022-3,22.62
2022-4,24.57
2022-5,10.76
2022-6,21.28
2022-7,21.29
2022-8,14.42
2022-9,25.31
2022-10,22.82
2022-11,6.71
2022-12,0.0
2022-13,11.06
2022-14,12.79
2022-15,22.85
2022-16,16.5
2022-17,8.99
2022-18,18.22
2022-19,19.12
2022-20,12.31
2022-21,21.97
2022-22,30.59
2022-23,23.65
2022-24,19.34
2022-25,16.99
2022-26,32.26
2022-27,16.23
2022-28,19.8
2022-29,21.59
2022-30,16.24
2022-31,18.02
2022-32,21.86
2022-33,25.58
2022-34,30.65
2022-35,24.72
2022-36,31.17
2022-37,14.67
2022-38,33.77
2022-39,31.65
2022-40,33.97
2022-41,23.07
2022-42,30.97
2022-43,24.11
2022-44,25.84
2022-45,28.02
2022-46,35.6
2022-47,17.88
2022-48,25.58
2022-49,27.78
2022-50,23.13
2022-51,21.28
2022-52,26.17
2023-0,33.82
2023-1,24.77
2023-2,23.28
2023-3,25.39
2023-4,21.39
2023-5,24.98
2023-6,27.03
2023-7,28.4
2023-8,32.15
2023-9,30.2
2023-10,19.9
2023-11,38.61
2023-12,19.43
2023-13,28.13
2023-14,36.81
2023-15,21.8
2023-16,27.32
2023-17,38.51
2023-18,26.67
2023-19,27.24
2023-20,28.39
2023-21,38.5
2023-22,29.32
2023-23,28.57
2023-24,27.36
2023-25,36.5
2023-26,27.83
2023-27,28.5
2023-28,19.62
2023-29,20.95
2023-30,19.9
2023-31,26.79
2023-32,30.87
2023-33,19.33
2023-34,37.44
2023-35,27.54
2023-36,24.9
2023-37,36.83
2023-38,33.45
2023-39,34.06
2023-40,8.89
2023-41,12.78
2023-42,11.54
2023-43,6.27
2023-44,17.08
2023-45,2.43
2023-46,10.68
2023-47,9.75
2023-48,7.95
2023-49,15.16
2023-50,11.94
2023-51,20.28
2023-52,3.29
2024-0,15.24
2024-1,12.8
2024-2,13.97
2024-3,23.14
2024-4,18.2
2024-5,16.11
2024-6,17.37
2024-7,22.9
2024-8,16.39
2024-9,9.29
2024-10,11.3
2024-11,30.8
2024-12,11.72
2024-13,23.85
2024-14,27.51
2024-15,18.68
2024-16,25.13
2024-17,35.94
2024-18,32.84
2024-19,33.22
2024-20,28.0
2024-21,28.91
2024-22,30.3
2024-23,12.15
2024-24,21.04
2024-25,20.08
2024-26,37.06
2024-27,27.38
2024-28,29.73
2024-29,20.42
2024-30,27.65
2024-31,21.19
2024-32,28.29
2024-33,23.24
2024-34,21.86
