,hours
2022-29,0.87
2022-30,7.61
2022-31,8.12
2022-32,6.31
2022-33,9.1
2022-34,13.44
2022-35,28.87
2022-36,20.17
2022-37,13.17
2022-38,17.99
2022-39,14.82
2022-40,12.23
2022-41,10.33
2022-42,11.65
2022-43,25.51
2022-44,21.12
2022-45,9.63
2022-46,13.39
2022-47,7.46
2022-48,10.98
2022-49,12.2
2022-50,12.09
2022-51,15.08
2022-52,9.15
2023-0,17.66
2023-1,10.58
2023-2,8.33
2023-3,8.0
2023-4,0.0
2023-5,0.0
2023-6,0.0
2023-7,13.37
2023-8,18.92
2023-9,16.38
2023-10,12.66
2023-11,10.17
2023-12,10.57
2023-13,7.09
2023-14,9.24
2023-15,12.67
2023-16,15.84
2023-17,13.36
2023-18,5.7
2023-19,4.72
2023-20,15.2
2023-21,10.17
2023-22,13.93
2023-23,6.59
2023-24,4.43
2023-25,6.22
2023-26,4.15
