,hours
2019-32,5.99
2019-33,4.15
2019-34,7.13
2019-35,11.06
2019-36,11.48
2019-37,10.83
2019-38,12.19
2019-39,12.03
2019-40,16.93
2019-41,13.58
2019-42,12.74
2019-43,13.22
2019-44,11.69
2019-45,19.35
2019-46,8.47
2019-47,10.83
2019-48,6.55
2019-49,7.77
2019-50,6.89
2019-51,8.24
2019-52,5.64
2020-0,3.83
2020-1,15.0
2020-2,14.6
2020-3,12.15
2020-4,19.29
2020-5,17.8
2020-6,3.95
2020-7,6.16
2020-8,7.92
2020-9,13.8
2020-10,11.48
2020-11,10.88
2020-12,8.79
2020-13,9.52
2020-14,22.29
2020-15,13.36
2020-16,14.92
2020-17,14.97
2020-18,36.59
2020-19,14.38
2020-20,16.82
2020-21,19.12
2020-22,17.38
2020-23,10.13
2020-24,8.97
2020-25,5.72
2020-26,12.23
2020-27,9.95
2020-28,9.58
2020-29,13.49
2020-30,12.02
2020-31,13.65
2020-32,20.02
2020-33,9.46
2020-34,14.14
2020-35,13.55
2020-36,12.91
2020-37,15.02
2020-38,15.98
2020-39,14.68
2020-40,10.45
2020-41,9.86
2020-42,8.66
2020-43,13.23
2020-44,8.76
2020-45,11.74
2020-46,16.47
2020-47,12.83
2020-48,14.22
2020-49,13.06
2020-50,11.63
2020-51,15.44
2020-52,13.34
2021-0,3.0
2021-1,10.77
2021-2,14.79
2021-3,18.42
2021-4,22.78
2021-5,17.47
2021-6,13.94
2021-7,19.52
2021-8,20.87
2021-9,16.24
2021-10,16.66
2021-11,17.39
2021-12,17.58
2021-13,0.0
2021-14,12.14
2021-15,11.62
2021-16,16.65
2021-17,15.43
2021-18,15.74
2021-19,3.55
2021-20,13.34
2021-21,15.88
2021-22,18.95
2021-23,16.42
2021-24,21.84
2021-25,14.65
2021-26,17.2
2021-27,16.0
2021-28,6.51
2021-29,3.54
2021-30,5.94
2021-31,6.61
2021-32,3.24
2021-33,11.16
2021-34,14.92
2021-35,14.66
2021-36,12.1
2021-37,12.39
2021-38,0.0
2021-39,0.0
2021-40,0.0
2021-41,0.0
2021-42,0.0
2021-43,4.43
2021-44,13.16
2021-45,15.06
2021-46,8.45
2021-47,5.62
2021-48,16.81
2021-49,7.0
2021-50,15.08
2021-51,9.01
2021-52,7.29
2022-0,6.06
2022-1,4.72
2022-2,2.02
2022-3,4.21
2022-4,3.3
2022-5,4.78
2022-6,0.0
2022-7,4.63
2022-8,1.77
2022-9,1.98
2022-10,0.0
2022-11,9.11
2022-12,10.09
2022-13,5.47
2022-14,3.92
2022-15,0.0
2022-16,2.0
2022-17,7.1
2022-18,4.4
2022-19,1.8
2022-20,2.27
2022-21,0.0
2022-22,3.53
2022-23,4.28
2022-24,1.13
2022-25,4.96
2022-26,4.57
2022-27,6.82
2022-28,5.22
2022-29,4.42
2022-30,3.5
2022-31,9.48
2022-32,8.46
2022-33,5.87
2022-34,2.44
2022-35,6.28
2022-36,10.36
2022-37,0.0
2022-38,1.99
2022-39,3.83
2022-40,0.0
2022-41,8.1
2022-42,12.53
2022-43,2.84
2022-44,2.53
2022-45,5.09
2022-46,4.32
2022-47,2.74
2022-48,4.75
2022-49,3.01
2022-50,1.12
2022-51,5.59
2022-52,5.73
2023-0,6.95
2023-1,3.38
2023-2,2.8
2023-3,3.62
2023-4,7.27
2023-5,9.57
2023-6,6.1
2023-7,3.42
2023-8,7.12
2023-9,5.24
2023-10,7.97
2023-11,9.55
2023-12,12.47
2023-13,8.55
2023-14,8.97
2023-15,10.16
2023-16,6.21
2023-17,2.97
2023-18,5.01
2023-19,3.33
2023-20,4.26
2023-21,6.82
2023-22,6.62
2023-23,6.37
2023-24,7.67
2023-25,5.14
2023-26,8.2
2023-27,4.64
2023-28,7.76
2023-29,2.43
2023-30,6.54
2023-31,6.73
2023-32,7.39
2023-33,5.8
2023-34,0.0
2023-35,3.63
2023-36,7.18
2023-37,1.47
2023-38,3.03
2023-39,7.64
2023-40,4.17
2023-41,1.52
2023-42,0.0
2023-43,3.61
2023-44,2.1
2023-45,5.9
2023-46,1.22
2023-47,4.5
2023-48,5.46
2023-49,7.49
2023-50,5.2
2023-51,10.29
2023-52,0.0
2024-0,2.83
2024-1,12.26
2024-2,12.53
2024-3,3.2
2024-4,0.56
2024-5,0.0
2024-6,11.69
2024-7,7.16
2024-8,0.0
2024-9,4.49
2024-10,3.5
2024-11,7.95
2024-12,3.35
2024-13,7.43
2024-14,6.3
2024-15,3.29
2024-16,4.05
2024-17,5.35
2024-18,6.21
2024-19,8.87
2024-20,5.05
2024-21,0.0
2024-22,3.98
2024-23,3.09
2024-24,1.77
2024-25,4.94
2024-26,2.1
2024-27,0.0
2024-28,1.24
2024-29,4.87
2024-30,3.79
2024-31,4.02
2024-32,4.82
2024-33,1.03
2024-34,2.9
2024-35,0.0
2024-36,6.65
2024-37,16.63
2024-38,1.77
2024-39,3.44
2024-40,1.36
2024-41,0.16
2024-42,4.9
2024-43,5.15
2024-44,5.01
2024-45,9.42
2024-46,2.49
2024-47,10.8
2024-48,9.59
2024-49,18.52
2024-50,13.79
2024-51,5.6
2024-52,0.0
2025-0,4.51
2025-1,5.46
2025-2,3.01
2025-3,2.71
2025-4,10.24
2025-5,5.32
2025-6,18.97
2025-7,3.18
2025-8,2.78
2025-9,10.19
2025-10,2.24
2025-11,1.9
2025-12,0.0
2025-13,0.0
2025-14,0.0
2025-15,0.0
2025-16,4.54
2025-17,4.46
2025-18,5.94
2025-19,0.0
2025-20,1.38
2025-21,0.0
2025-22,0.0
2025-23,0.0
2025-24,0.0
2025-25,3.51
2025-26,5.02
2025-27,3.83
2025-28,14.14
2025-29,3.65
2025-30,8.9
2025-31,7.21
2025-32,6.48
2025-33,6.82
2025-34,2.56
2025-35,3.9
2025-36,12.63
2025-37,9.01
2025-38,4.75
2025-39,11.8
2025-40,4.35
