,hours
2018-21,1.25
2018-22,4.44
2018-23,2.1
2018-24,1.59
2018-25,1.12
2018-26,1.44
2018-27,2.17
2018-28,1.23
2018-29,5.97
2018-30,2.83
2018-31,2.15
2018-32,4.47
2018-33,3.78
2018-34,4.48
2018-35,3.31
2018-36,3.57
2018-37,1.74
2018-38,3.25
2018-39,0.99
2018-40,3.23
2018-41,3.19
2018-42,0.82
2018-43,5.8
2018-44,4.62
2018-45,2.2
2018-46,4.95
2018-47,5.71
2018-48,2.07
2018-49,8.84
2018-50,4.2
2018-51,6.69
2018-52,3.16
2019-0,7.25
2019-1,5.81
2019-2,1.12
2019-3,5.07
2019-4,6.33
2019-5,1.11
2019-6,2.91
2019-7,3.67
2019-8,2.0
2019-9,6.02
2019-10,8.0
2019-11,18.82
2019-12,3.28
2019-13,2.02
2019-14,5.48
2019-15,9.4
2019-16,4.48
2019-17,2.43
2019-18,3.08
2019-19,1.36
2019-20,21.86
2019-21,18.44
2019-22,17.38
2019-23,14.44
2019-24,3.58
2019-25,13.95
2019-26,13.62
2019-27,12.4
2019-28,15.01
2019-29,9.65
2019-30,12.61
2019-31,4.29
2019-32,34.84
2019-33,4.5
2019-34,8.58
2019-35,6.8
2019-36,7.72
2019-37,12.63
2019-38,4.09
2019-39,9.05
2019-40,20.9
2019-41,17.9
2019-42,3.66
2019-43,1.84
2019-44,6.75
2019-45,10.97
2019-46,5.26
2019-47,5.18
2019-48,4.06
2019-49,4.16
2019-50,6.49
2019-51,3.33
2019-52,0.67
2020-0,1.64
2020-1,5.82
2020-2,8.36
2020-3,7.7
2020-4,11.54
2020-5,5.22
2020-6,23.23
2020-7,11.84
2020-8,11.28
2020-9,9.69
2020-10,5.05
2020-11,16.7
2020-12,20.83
2020-13,4.93
2020-14,13.95
2020-15,5.44
2020-16,16.01
2020-17,11.88
2020-18,23.37
2020-19,25.05
2020-20,18.34
2020-21,15.28
2020-22,8.37
2020-23,15.39
2020-24,4.49
2020-25,1.18
2020-26,12.09
2020-27,12.6
2020-28,17.05
2020-29,9.78
2020-30,4.28
2020-31,22.81
2020-32,10.25
2020-33,7.65
2020-34,5.53
2020-35,11.74
2020-36,6.4
2020-37,25.75
2020-38,11.09
2020-39,10.69
2020-40,3.38
2020-41,5.68
2020-42,4.94
2020-43,11.23
2020-44,6.94
2020-45,9.81
2020-46,19.0
2020-47,5.66
2020-48,12.29
2020-49,8.88
2020-50,12.52
2020-51,9.45
2020-52,5.36
2021-0,2.99
2021-1,10.31
2021-2,16.78
2021-3,22.43
2021-4,14.72
2021-5,18.42
2021-6,12.07
2021-7,10.97
2021-8,10.39
2021-9,15.46
2021-10,29.23
2021-11,13.23
2021-12,12.6
2021-13,11.96
2021-14,16.06
2021-15,13.62
2021-16,16.24
2021-17,22.17
2021-18,32.61
2021-19,32.36
2021-20,20.4
2021-21,10.29
2021-22,13.02
2021-23,15.37
2021-24,13.7
2021-25,7.45
2021-26,9.27
2021-27,6.59
2021-28,16.07
2021-29,8.35
2021-30,9.19
2021-31,7.7
2021-32,14.61
2021-33,22.88
2021-34,7.32
2021-35,7.3
2021-36,11.8
2021-37,10.13
2021-38,7.6
2021-39,7.91
2021-40,17.3
2021-41,12.04
2021-42,7.64
2021-43,8.06
2021-44,2.89
2021-45,6.91
2021-46,8.18
2021-47,2.11
2021-48,7.63
2021-49,14.1
2021-50,2.34
2021-51,4.16
2021-52,8.46
2022-0,1.56
2022-1,15.1
2022-2,20.57
2022-3,27.08
2022-4,12.77
2022-5,8.5
2022-6,7.49
2022-7,16.84
2022-8,14.95
2022-9,11.92
2022-10,22.53
2022-11,14.89
2022-12,13.82
2022-13,18.96
2022-14,15.62
2022-15,27.18
2022-16,4.76
2022-17,4.46
2022-18,4.62
2022-19,13.05
2022-20,23.11
2022-21,14.5
2022-22,14.09
2022-23,9.0
2022-24,7.83
2022-25,10.18
2022-26,9.65
2022-27,6.11
2022-28,12.31
2022-29,11.19
2022-30,13.84
2022-31,19.89
2022-32,9.14
2022-33,18.72
2022-34,6.54
2022-35,11.12
2022-36,6.9
2022-37,5.01
2022-38,3.43
2022-39,6.33
2022-40,12.71
2022-41,6.82
