,hours
2018-19,2.03
2018-20,0.0
2018-21,0.0
2018-22,0.97
2018-23,0.0
2018-24,0.0
2018-25,0.0
2018-26,0.0
2018-27,0.0
2018-28,0.99
2018-29,0.0
2018-30,0.8
2018-31,0.96
2018-32,0.0
2018-33,1.0
2018-34,0.0
2018-35,1.01
2018-36,0.0
2018-37,0.0
2018-38,0.0
2018-39,0.97
2018-40,0.98
2018-41,1.01
2018-42,2.83
2018-43,2.96
2018-44,1.96
2018-45,4.75
2018-46,0.96
2018-47,0.9
2018-48,0.0
2018-49,0.0
2018-50,1.49
2018-51,0.0
2018-52,0.0
2019-0,0.0
2019-1,2.2
2019-2,0.0
2019-3,1.04
2019-4,0.0
2019-5,0.0
2019-6,2.09
2019-7,0.0
2019-8,0.0
2019-9,0.0
2019-10,0.0
2019-11,0.0
2019-12,0.97
2019-13,1.02
2019-14,1.12
2019-15,1.11
2019-16,0.96
2019-17,0.9
2019-18,2.15
2019-19,1.78
2019-20,2.8
2019-21,1.13
2019-22,2.52
2019-23,2.09
2019-24,0.0
2019-25,1.07
2019-26,6.97
2019-27,0.0
2019-28,2.58
2019-29,1.13
2019-30,2.59
2019-31,0.0
2019-32,1.17
2019-33,1.03
2019-34,1.34
2019-35,3.55
2019-36,1.25
2019-37,7.22
2019-38,1.0
2019-39,3.9
2019-40,1.99
2019-41,1.21
2019-42,0.0
2019-43,2.63
2019-44,3.22
2019-45,17.7
2019-46,10.11
2019-47,4.55
2019-48,5.83
2019-49,2.17
2019-50,0.42
2019-51,1.56
2019-52,1.19
2020-0,0.49
2020-1,3.5
2020-2,0.0
2020-3,1.0
2020-4,2.71
2020-5,1.38
2020-6,0.0
2020-7,2.56
2020-8,0.0
2020-9,0.0
2020-10,0.0
2020-11,0.0
2020-12,0.0
2020-13,0.0
2020-14,0.0
2020-15,0.0
2020-16,0.0
2020-17,0.0
2020-18,0.0
2020-19,0.0
2020-20,0.0
2020-21,0.0
2020-22,0.0
2020-23,0.0
2020-24,0.0
2020-25,1.95
2020-26,9.81
2020-27,13.21
2020-28,12.21
2020-29,15.72
2020-30,10.95
2020-31,5.84
2020-32,8.77
2020-33,5.08
2020-34,15.17
2020-35,8.07
2020-36,6.7
2020-37,10.49
2020-38,4.64
2020-39,17.01
2020-40,5.45
2020-41,7.09
2020-42,4.17
2020-43,6.33
2020-44,2.65
2020-45,5.02
2020-46,1.92
2020-47,2.21
2020-48,2.89
2020-49,3.47
2020-50,1.9
2020-51,5.98
2020-52,5.01
2021-0,3.43
2021-1,5.98
2021-2,6.88
2021-3,7.02
2021-4,8.08
2021-5,1.97
2021-6,0.0
2021-7,0.0
2021-8,6.13
2021-9,13.41
2021-10,7.39
2021-11,11.26
2021-12,5.51
2021-13,3.28
2021-14,3.51
2021-15,8.8
2021-16,2.43
2021-17,5.52
2021-18,21.2
2021-19,8.97
2021-20,10.73
2021-21,8.98
2021-22,6.5
2021-23,0.0
2021-24,12.65
2021-25,0.75
2021-26,3.63
2021-27,0.0
2021-28,0.78
2021-29,10.62
2021-30,9.13
2021-31,6.36
2021-32,6.99
2021-33,7.02
2021-34,8.46
2021-35,2.47
2021-36,5.03
2021-37,0.0
2021-38,4.79
2021-39,3.0
2021-40,0.0
2021-41,0.54
2021-42,13.02
2021-43,11.35
2021-44,19.39
2021-45,9.33
2021-46,5.45
2021-47,7.44
2021-48,5.87
2021-49,10.88
2021-50,10.97
2021-51,5.27
2021-52,6.93
2022-0,0.0
2022-1,6.43
2022-2,4.86
2022-3,1.52
2022-4,8.74
2022-5,8.2
2022-6,4.88
2022-7,7.63
2022-8,11.38
2022-9,23.64
2022-10,20.56
2022-11,27.95
2022-12,16.33
2022-13,17.2
2022-14,15.52
2022-15,3.8
2022-16,15.04
2022-17,9.61
2022-18,14.68
2022-19,5.61
2022-20,11.79
2022-21,6.92
2022-22,5.97
2022-23,23.59
2022-24,1.67
2022-25,7.19
2022-26,1.78
2022-27,0.3
2022-28,0.0
2022-29,9.03
2022-30,3.68
2022-31,22.49
2022-32,8.29
2022-33,2.96
2022-34,0.0
2022-35,0.0
2022-36,12.41
2022-37,0.0
2022-38,10.24
2022-39,20.58
2022-40,6.33
2022-41,14.44
2022-42,12.19
2022-43,14.07
2022-44,16.84
2022-45,13.35
2022-46,11.61
2022-47,9.42
2022-48,0.0
2022-49,0.0
2022-50,0.0
2022-51,10.56
2022-52,8.9
2023-0,28.89
2023-1,25.87
2023-2,10.02
2023-3,4.5
2023-4,14.43
2023-5,8.39
2023-6,9.95
2023-7,2.76
2023-8,4.34
2023-9,1.94
2023-10,1.45
2023-11,3.51
2023-12,10.15
2023-13,3.47
2023-14,5.22
2023-15,6.35
2023-16,2.63
2023-17,4.87
2023-18,12.54
2023-19,12.19
2023-20,1.42
2023-21,10.1
2023-22,22.44
2023-23,1.43
2023-24,15.85
2023-25,10.3
2023-26,16.23
2023-27,9.23
2023-28,18.85
2023-29,6.89
2023-30,9.04
2023-31,4.82
2023-32,10.79
2023-33,9.15
2023-34,3.33
2023-35,8.0
2023-36,7.85
2023-37,15.47
2023-38,1.58
2023-39,10.91
2023-40,2.49
2023-41,11.55
2023-42,7.65
2023-43,11.66
2023-44,17.83
2023-45,15.08
2023-46,10.98
2023-47,8.14
2023-48,10.15
2023-49,23.76
2023-50,16.61
2023-51,16.62
2023-52,0.0
2024-0,13.81
2024-1,5.17
2024-2,3.33
