,hours
2018-31,0.63
2018-32,0.36
2018-33,0.0
2018-34,1.02
2018-35,0.0
2018-36,0.0
2018-37,0.0
2018-38,0.0
2018-39,0.24
2018-40,0.0
2018-41,0.0
2018-42,0.0
2018-43,0.0
2018-44,0.0
2018-45,1.72
2018-46,4.01
2018-47,1.73
2018-48,0.0
2018-49,0.0
2018-50,0.1
2018-51,2.61
2018-52,0.0
2019-0,2.0
2019-1,13.47
2019-2,2.08
2019-3,1.25
2019-4,9.45
2019-5,5.37
2019-6,2.18
2019-7,3.46
2019-8,11.2
2019-9,9.39
2019-10,4.26
2019-11,10.17
2019-12,12.04
2019-13,12.29
2019-14,3.95
2019-15,8.46
2019-16,12.11
2019-17,7.89
2019-18,11.91
2019-19,9.89
2019-20,16.74
2019-21,31.35
2019-22,26.46
2019-23,33.47
2019-24,29.04
2019-25,18.3
2019-26,18.53
2019-27,13.99
2019-28,16.11
2019-29,20.1
2019-30,11.48
2019-31,9.44
2019-32,23.13
2019-33,38.35
2019-34,26.3
2019-35,21.35
2019-36,22.24
2019-37,13.57
2019-38,29.37
2019-39,22.21
2019-40,26.37
2019-41,31.45
2019-42,32.71
2019-43,24.37
2019-44,23.41
2019-45,21.38
2019-46,26.11
2019-47,14.55
2019-48,18.34
2019-49,15.68
2019-50,22.51
2019-51,18.3
2019-52,16.25
2020-0,10.49
2020-1,22.86
2020-2,28.33
2020-3,24.16
2020-4,29.02
2020-5,46.56
2020-6,49.79
2020-7,42.95
2020-8,45.17
2020-9,28.57
2020-10,41.5
2020-11,42.05
2020-12,30.52
2020-13,28.85
2020-14,23.32
2020-15,26.49
2020-16,33.32
2020-17,25.85
2020-18,29.2
2020-19,40.08
2020-20,21.87
2020-21,25.93
2020-22,35.0
2020-23,29.05
2020-24,35.1
2020-25,31.8
2020-26,28.88
2020-27,25.64
2020-28,0.0
2020-29,0.0
2020-30,0.0
2020-31,0.0
2020-32,0.0
2020-33,0.0
2020-34,0.0
2020-35,0.0
2020-36,0.0
2020-37,0.0
2020-38,0.0
2020-39,0.0
2020-40,0.0
2020-41,0.0
2020-42,13.85
2020-43,32.44
2020-44,26.02
2020-45,30.74
2020-46,23.77
2020-47,31.52
2020-48,22.14
2020-49,27.84
2020-50,15.81
2020-51,14.61
2020-52,18.66
2021-0,14.33
2021-1,24.74
2021-2,34.08
2021-3,25.12
2021-4,19.83
2021-5,34.72
2021-6,36.58
2021-7,27.37
2021-8,32.27
2021-9,29.89
2021-10,23.26
2021-11,11.99
2021-12,17.92
2021-13,12.83
2021-14,17.2
2021-15,26.0
2021-16,23.75
2021-17,26.4
2021-18,14.46
2021-19,28.51
2021-20,21.84
2021-21,24.24
2021-22,13.09
2021-23,6.55
2021-24,22.25
2021-25,24.05
2021-26,22.04
2021-27,20.95
2021-28,19.0
2021-29,21.44
2021-30,32.87
2021-31,29.44
2021-32,30.62
2021-33,29.51
2021-34,32.68
2021-35,23.1
2021-36,27.18
2021-37,14.55
2021-38,35.96
2021-39,27.92
2021-40,16.44
2021-41,26.1
2021-42,22.47
2021-43,22.64
2021-44,32.32
2021-45,15.6
2021-46,14.94
