,hours
2018-48,2.22
2018-49,10.48
2018-50,7.51
2018-51,12.26
2018-52,2.45
2019-0,7.42
2019-1,9.82
2019-2,8.99
2019-3,10.87
2019-4,5.8
2019-5,9.02
2019-6,6.96
2019-7,4.32
2019-8,7.99
2019-9,5.45
2019-10,8.93
2019-11,5.64
2019-12,10.51
2019-13,12.86
2019-14,6.64
2019-15,8.84
2019-16,11.99
2019-17,12.4
2019-18,7.84
2019-19,6.34
2019-20,5.58
2019-21,15.62
2019-22,3.9
2019-23,3.75
2019-24,3.97
2019-25,4.24
2019-26,6.83
2019-27,4.01
2019-28,0.89
2019-29,4.35
2019-30,2.33
2019-31,0.0
2019-32,3.15
2019-33,6.41
2019-34,6.66
2019-35,8.39
2019-36,5.23
2019-37,9.13
2019-38,11.6
2019-39,12.05
2019-40,7.18
2019-41,6.41
2019-42,13.09
2019-43,4.17
2019-44,7.24
2019-45,12.13
2019-46,5.72
2019-47,6.9
2019-48,2.64
2019-49,7.19
2019-50,6.99
2019-51,5.39
2019-52,3.13
2020-0,7.46
2020-1,18.61
2020-2,9.17
2020-3,7.54
2020-4,6.39
2020-5,2.58
2020-6,9.84
2020-7,7.67
2020-8,6.64
2020-9,7.08
2020-10,10.0
2020-11,15.14
2020-12,7.5
2020-13,8.98
2020-14,13.18
2020-15,7.65
2020-16,9.05
2020-17,17.65
2020-18,10.86
2020-19,11.51
2020-20,11.85
2020-21,12.19
2020-22,14.57
2020-23,7.44
2020-24,8.51
2020-25,7.93
2020-26,8.82
2020-27,18.38
2020-28,10.96
2020-29,10.3
2020-30,6.53
2020-31,0.0
2020-32,0.0
2020-33,0.0
2020-34,0.0
2020-35,0.0
2020-36,3.43
2020-37,1.0
2020-38,5.38
2020-39,12.76
2020-40,4.38
2020-41,11.85
2020-42,9.16
2020-43,9.4
2020-44,8.11
2020-45,8.2
2020-46,15.31
2020-47,11.54
2020-48,9.27
2020-49,7.12
2020-50,13.73
2020-51,6.01
2020-52,11.38
2021-0,7.77
2021-1,15.33
2021-2,11.12
2021-3,5.31
2021-4,2.97
2021-5,5.3
2021-6,7.13
2021-7,6.31
2021-8,14.6
2021-9,13.75
2021-10,15.55
2021-11,3.34
2021-12,12.39
2021-13,9.46
2021-14,10.57
2021-15,11.7
2021-16,8.35
2021-17,9.91
2021-18,11.33
2021-19,16.34
2021-20,17.43
2021-21,3.88
2021-22,0.0
2021-23,6.16
2021-24,2.98
2021-25,6.08
2021-26,5.69
2021-27,8.6
2021-28,9.0
2021-29,4.69
2021-30,12.11
2021-31,7.28
2021-32,8.46
2021-33,6.68
2021-34,10.18
2021-35,5.35
2021-36,9.08
2021-37,7.65
2021-38,7.39
2021-39,5.26
2021-40,8.45
2021-41,6.38
2021-42,2.31
2021-43,4.93
2021-44,3.22
2021-45,5.0
2021-46,7.34
2021-47,7.7
2021-48,2.9
2021-49,6.89
2021-50,6.36
2021-51,3.86
2021-52,4.81
2022-0,6.22
2022-1,6.05
2022-2,3.29
2022-3,4.49
2022-4,14.67
2022-5,9.8
2022-6,6.11
2022-7,11.52
2022-8,10.65
2022-9,15.65
2022-10,9.19
2022-11,9.23
2022-12,9.46
2022-13,10.5
2022-14,10.08
2022-15,2.62
2022-16,0.77
2022-17,7.35
2022-18,11.04
2022-19,10.25
2022-20,8.72
2022-21,5.45
2022-22,9.95
2022-23,6.39
2022-24,0.0
2022-25,7.39
2022-26,6.8
2022-27,5.81
2022-28,5.7
2022-29,9.71
2022-30,7.16
2022-31,1.04
2022-32,2.28
2022-33,9.49
2022-34,6.6
2022-35,13.13
2022-36,6.45
2022-37,4.29
2022-38,8.02
2022-39,5.11
2022-40,5.09
2022-41,8.36
2022-42,6.88
2022-43,5.03
2022-44,7.36
2022-45,11.0
2022-46,5.82
2022-47,4.67
2022-48,10.0
2022-49,12.73
2022-50,8.24
2022-51,8.05
2022-52,8.15
2023-0,10.84
2023-1,4.88
2023-2,6.87
2023-3,9.6
2023-4,7.33
2023-5,15.19
2023-6,8.52
2023-7,9.84
2023-8,3.28
2023-9,13.47
2023-10,7.08
2023-11,7.58
2023-12,8.18
2023-13,11.31
2023-14,4.4
2023-15,11.86
2023-16,8.7
2023-17,6.79
2023-18,8.57
2023-19,5.8
2023-20,5.99
2023-21,5.41
2023-22,9.17
2023-23,1.96
2023-24,9.36
2023-25,6.39
2023-26,10.36
2023-27,4.26
2023-28,6.17
2023-29,6.1
2023-30,9.54
2023-31,5.74
2023-32,10.27
2023-33,5.68
2023-34,15.38
2023-35,13.14
2023-36,10.68
2023-37,7.28
2023-38,7.47
2023-39,2.54
2023-40,14.39
2023-41,6.0
2023-42,8.28
2023-43,6.56
2023-44,13.47
2023-45,8.58
2023-46,8.45
2023-47,7.56
2023-48,6.43
2023-49,7.67
2023-50,4.27
2023-51,3.73
2023-52,2.72
2024-0,10.91
2024-1,8.47
2024-2,8.51
2024-3,14.39
2024-4,0.0
2024-5,1.39
2024-6,12.04
2024-7,17.84
2024-8,14.93
2024-9,16.54
2024-10,9.12
2024-11,10.96
2024-12,15.82
2024-13,12.42
2024-14,12.44
2024-15,11.82
2024-16,10.16
2024-17,0.0
2024-18,0.0
2024-19,0.0
2024-20,0.0
2024-21,0.0
2024-22,0.0
2024-23,0.0
2024-24,0.0
2024-25,0.0
2024-26,6.84
2024-27,7.54
2024-28,10.18
2024-29,13.14
2024-30,10.37
2024-31,7.48
2024-32,20.51
2024-33,22.84
2024-34,14.0
2024-35,10.81
2024-36,4.51
2024-37,28.8
2024-38,15.18
2024-39,1.84
2024-40,11.79
2024-41,4.0
2024-42,6.72
2024-43,7.99
2024-44,3.32
2024-45,3.33
2024-46,2.58
2024-47,9.09
2024-48,7.16
2024-49,6.93
2024-50,6.39
2024-51,11.25
2024-52,6.92
