,hours
2019-22,1.02
2019-23,13.19
2019-24,7.92
2019-25,15.49
2019-26,10.12
2019-27,13.1
2019-28,15.69
2019-29,9.54
2019-30,46.86
2019-31,14.63
2019-32,15.64
2019-33,10.43
2019-34,11.34
2019-35,13.18
2019-36,8.87
2019-37,5.84
2019-38,8.0
2019-39,2.15
2019-40,7.35
2019-41,9.19
2019-42,12.93
2019-43,9.58
2019-44,7.84
2019-45,17.9
2019-46,5.96
2019-47,4.37
2019-48,5.09
2019-49,13.56
2019-50,7.24
2019-51,4.5
2019-52,1.96
2020-0,6.9
2020-1,5.2
2020-2,5.76
2020-3,10.42
2020-4,2.26
2020-5,10.34
2020-6,4.83
2020-7,34.79
2020-8,9.02
2020-9,6.35
2020-10,6.13
2020-11,13.67
2020-12,9.44
2020-13,13.07
2020-14,14.12
2020-15,6.03
2020-16,15.1
2020-17,22.28
2020-18,9.23
2020-19,12.58
2020-20,3.31
2020-21,9.66
2020-22,4.33
2020-23,4.09
2020-24,4.06
2020-25,9.32
2020-26,7.43
2020-27,9.25
2020-28,3.43
2020-29,2.31
2020-30,20.5
2020-31,10.78
2020-32,10.02
2020-33,10.01
2020-34,6.73
2020-35,7.64
2020-36,7.49
2020-37,8.87
2020-38,2.31
2020-39,10.09
2020-40,8.26
2020-41,8.0
2020-42,14.04
2020-43,9.75
2020-44,15.35
2020-45,5.03
2020-46,11.34
2020-47,12.37
2020-48,5.71
2020-49,7.36
2020-50,4.15
2020-51,11.3
2020-52,16.89
2021-0,1.04
2021-1,7.72
2021-2,10.13
2021-3,6.57
2021-4,11.95
2021-5,24.78
2021-6,26.53
2021-7,15.88
2021-8,6.99
2021-9,9.6
2021-10,22.61
2021-11,9.12
2021-12,21.08
2021-13,10.96
2021-14,17.7
2021-15,25.54
2021-16,10.22
2021-17,6.79
2021-18,21.54
2021-19,17.68
2021-20,8.37
2021-21,21.46
2021-22,17.15
2021-23,10.44
2021-24,15.17
2021-25,15.52
2021-26,7.39
2021-27,4.31
2021-28,13.42
2021-29,13.74
2021-30,4.8
2021-31,12.4
2021-32,13.17
2021-33,8.38
2021-34,13.91
2021-35,11.76
2021-36,10.88
2021-37,10.97
2021-38,8.08
2021-39,2.97
2021-40,13.05
2021-41,4.99
2021-42,10.68
2021-43,17.45
2021-44,2.3
2021-45,6.02
2021-46,9.61
2021-47,13.31
2021-48,13.51
2021-49,8.72
2021-50,5.85
2021-51,2.1
2021-52,4.95
2022-0,1.02
2022-1,2.8
2022-2,5.11
2022-3,13.25
2022-4,6.9
2022-5,14.99
2022-6,0.0
2022-7,3.12
2022-8,5.81
2022-9,8.6
2022-10,7.37
2022-11,21.27
2022-12,16.3
2022-13,13.95
2022-14,16.57
2022-15,8.69
2022-16,8.88
2022-17,2.95
2022-18,9.71
2022-19,12.46
2022-20,6.55
2022-21,12.05
2022-22,2.9
2022-23,6.77
2022-24,7.6
2022-25,4.19
2022-26,5.03
2022-27,5.03
2022-28,13.4
2022-29,9.84
2022-30,3.49
2022-31,3.76
2022-32,8.22
2022-33,19.16
2022-34,7.56
2022-35,2.95
2022-36,5.76
2022-37,15.07
2022-38,9.23
2022-39,9.28
2022-40,18.13
2022-41,12.64
2022-42,4.21
2022-43,7.63
2022-44,5.83
2022-45,23.65
2022-46,26.19
2022-47,17.5
2022-48,11.0
2022-49,12.08
2022-50,10.14
2022-51,11.5
2022-52,4.3
2023-0,14.19
2023-1,12.89
2023-2,4.84
2023-3,12.06
2023-4,10.69
2023-5,25.95
2023-6,20.45
2023-7,17.62
2023-8,17.36
2023-9,26.5
2023-10,9.04
2023-11,32.9
2023-12,16.1
2023-13,10.52
2023-14,20.14
2023-15,10.66
2023-16,13.22
2023-17,6.31
2023-18,15.52
2023-19,14.2
2023-20,59.82
2023-21,5.86
2023-22,18.27
2023-23,10.33
2023-24,20.23
2023-25,34.59
2023-26,16.89
2023-27,8.63
2023-28,2.47
2023-29,14.07
2023-30,13.46
2023-31,11.08
2023-32,10.01
2023-33,43.2
2023-34,52.76
2023-35,16.3
2023-36,14.92
