,hours
2020-14,1.53
2020-15,2.43
2020-16,4.68
2020-17,6.29
2020-18,7.85
2020-19,6.81
2020-20,5.16
2020-21,9.26
2020-22,12.58
2020-23,3.28
2020-24,5.63
2020-25,5.98
2020-26,13.99
2020-27,13.49
2020-28,4.14
2020-29,22.06
2020-30,11.36
2020-31,13.15
2020-32,8.07
2020-33,14.62
2020-34,11.02
2020-35,10.71
2020-36,7.22
2020-37,37.03
2020-38,12.61
2020-39,22.68
2020-40,27.41
2020-41,30.25
2020-42,23.41
2020-43,11.09
2020-44,0.0
2020-45,5.02
2020-46,7.54
2020-47,6.84
2020-48,15.11
2020-49,20.16
2020-50,15.69
2020-51,5.43
2020-52,9.16
2021-0,0.0
2021-1,9.02
2021-2,5.47
2021-3,21.03
2021-4,27.33
2021-5,15.23
2021-6,21.3
2021-7,23.62
2021-8,23.41
2021-9,19.49
2021-10,20.17
2021-11,19.72
2021-12,21.28
2021-13,7.66
2021-14,11.95
2021-15,13.72
2021-16,20.48
2021-17,19.84
2021-18,20.36
2021-19,2.79
2021-20,9.78
2021-21,10.02
2021-22,5.79
2021-23,13.04
2021-24,12.45
2021-25,13.2
2021-26,11.36
2021-27,21.27
2021-28,13.89
2021-29,8.99
2021-30,21.71
2021-31,22.56
2021-32,14.77
2021-33,11.16
2021-34,6.16
2021-35,11.41
2021-36,16.82
2021-37,12.46
2021-38,1.38
2021-39,13.79
2021-40,2.34
2021-41,10.96
2021-42,13.44
2021-43,17.42
2021-44,0.0
2021-45,2.58
2021-46,6.64
2021-47,15.89
2021-48,2.25
2021-49,6.21
2021-50,4.24
2021-51,12.41
2021-52,7.01
2022-0,0.0
2022-1,5.23
2022-2,12.03
2022-3,2.06
2022-4,12.54
2022-5,20.25
2022-6,17.43
2022-7,15.82
2022-8,12.57
2022-9,13.55
2022-10,10.24
2022-11,5.99
2022-12,22.97
2022-13,0.0
2022-14,13.73
2022-15,13.63
2022-16,12.07
2022-17,5.72
2022-18,0.0
2022-19,11.87
2022-20,22.63
2022-21,8.1
2022-22,2.32
2022-23,13.29
2022-24,21.79
2022-25,5.72
2022-26,20.14
2022-27,11.67
2022-28,48.86
2022-29,22.65
2022-30,16.71
2022-31,8.55
2022-32,17.39
2022-33,11.4
2022-34,21.27
2022-35,2.11
2022-36,29.8
2022-37,10.01
2022-38,3.87
2022-39,8.09
2022-40,17.77
2022-41,27.91
2022-42,8.19
2022-43,6.56
2022-44,15.44
2022-45,15.51
2022-46,14.62
2022-47,18.59
2022-48,34.95
2022-49,20.71
2022-50,10.57
2022-51,11.5
2022-52,5.3
2023-0,7.42
2023-1,19.43
2023-2,11.53
2023-3,14.25
2023-4,5.28
2023-5,51.87
2023-6,18.1
2023-7,15.4
2023-8,18.55
2023-9,19.8
2023-10,2.33
2023-11,1.67
2023-12,27.83
2023-13,14.71
2023-14,20.42
2023-15,5.29
2023-16,12.43
2023-17,1.48
2023-18,3.61
2023-19,36.42
2023-20,2.84
2023-21,10.66
2023-22,29.91
2023-23,18.09
2023-24,16.39
2023-25,7.19
2023-26,12.14
2023-27,7.35
2023-28,0.0
2023-29,8.07
2023-30,13.87
2023-31,11.41
2023-32,17.02
2023-33,9.19
2023-34,11.97
2023-35,3.1
2023-36,24.45
2023-37,5.12
2023-38,22.87
2023-39,7.95
2023-40,16.94
2023-41,6.81
2023-42,7.65
2023-43,21.46
2023-44,7.08
2023-45,5.34
2023-46,7.72
2023-47,16.37
2023-48,15.63
2023-49,10.88
2023-50,16.75
2023-51,10.97
2023-52,1.96
2024-0,16.16
2024-1,14.53
2024-2,2.51
2024-3,0.0
2024-4,0.0
2024-5,0.0
2024-6,0.0
2024-7,0.0
2024-8,0.0
2024-9,0.0
2024-10,1.68
2024-11,10.93
2024-12,11.42
2024-13,2.9
