,hours
2020-32,1.94
2020-33,8.89
2020-34,11.82
2020-35,18.07
2020-36,14.33
2020-37,15.62
2020-38,12.73
2020-39,11.59
2020-40,13.38
2020-41,13.42
2020-42,5.49
2020-43,19.59
2020-44,18.78
2020-45,15.65
2020-46,12.16
2020-47,10.02
2020-48,12.88
2020-49,20.05
2020-50,11.18
2020-51,13.76
2020-52,12.7
2021-0,0.52
2021-1,16.21
2021-2,4.99
2021-3,19.04
2021-4,17.45
2021-5,22.12
2021-6,11.03
2021-7,9.38
2021-8,7.87
2021-9,13.38
2021-10,13.01
2021-11,14.2
2021-12,10.61
2021-13,11.1
2021-14,11.36
2021-15,18.75
2021-16,15.65
2021-17,13.72
2021-18,8.14
2021-19,19.67
2021-20,15.81
2021-21,11.94
2021-22,14.94
2021-23,9.91
2021-24,10.7
2021-25,15.28
2021-26,19.44
2021-27,11.49
2021-28,8.63
2021-29,7.42
2021-30,15.03
2021-31,6.94
2021-32,2.5
2021-33,17.94
2021-34,13.68
2021-35,8.36
2021-36,15.64
2021-37,14.91
2021-38,9.21
2021-39,20.92
2021-40,4.94
2021-41,11.23
2021-42,16.07
2021-43,12.57
2021-44,17.51
2021-45,6.21
2021-46,2.08
2021-47,0.0
2021-48,0.0
2021-49,17.66
2021-50,10.98
2021-51,11.43
2021-52,6.29
2022-0,0.56
2022-1,8.97
2022-2,14.26
2022-3,16.01
2022-4,14.62
2022-5,12.44
2022-6,10.58
2022-7,9.88
2022-8,9.97
2022-9,4.01
2022-10,7.68
2022-11,10.36
2022-12,9.53
2022-13,10.8
2022-14,8.77
2022-15,13.23
2022-16,0.0
2022-17,10.42
2022-18,11.7
2022-19,7.07
2022-20,4.44
2022-21,0.97
2022-22,3.93
2022-23,3.3
2022-24,2.71
2022-25,4.59
2022-26,12.19
2022-27,11.39
2022-28,0.0
2022-29,0.0
2022-30,0.0
2022-31,1.62
2022-32,11.12
2022-33,11.83
2022-34,4.75
2022-35,5.62
2022-36,9.6
2022-37,11.3
2022-38,4.99
2022-39,14.74
2022-40,4.92
2022-41,9.89
2022-42,9.27
2022-43,9.03
2022-44,8.09
2022-45,11.66
2022-46,5.77
2022-47,9.34
2022-48,10.47
2022-49,12.37
2022-50,10.18
2022-51,14.32
2022-52,9.52
2023-0,14.79
2023-1,10.75
2023-2,8.36
2023-3,8.16
2023-4,9.83
2023-5,14.82
2023-6,11.93
2023-7,13.99
2023-8,8.09
2023-9,18.83
2023-10,9.45
2023-11,8.51
2023-12,15.36
2023-13,6.99
2023-14,11.15
2023-15,8.32
2023-16,15.7
2023-17,11.14
2023-18,12.08
2023-19,8.49
2023-20,6.56
2023-21,7.82
2023-22,14.05
2023-23,9.79
2023-24,9.73
2023-25,9.5
2023-26,9.78
2023-27,3.75
2023-28,8.82
2023-29,10.63
2023-30,14.63
2023-31,7.97
2023-32,11.1
2023-33,8.07
2023-34,5.57
2023-35,8.07
2023-36,8.07
2023-37,6.49
2023-38,8.5
2023-39,14.23
2023-40,7.63
2023-41,1.02
2023-42,5.75
2023-43,6.67
2023-44,5.22
2023-45,5.24
2023-46,1.7
2023-47,5.99
2023-48,7.45
2023-49,6.53
2023-50,7.36
2023-51,6.01
2023-52,0.0
2024-0,8.42
2024-1,4.58
2024-2,4.62
2024-3,12.07
2024-4,7.52
2024-5,4.66
2024-6,1.43
2024-7,7.62
2024-8,6.51
2024-9,7.15
2024-10,5.59
2024-11,14.52
2024-12,4.1
2024-13,6.04
2024-14,12.38
2024-15,6.05
2024-16,11.2
2024-17,11.31
2024-18,12.18
2024-19,26.12
2024-20,9.95
2024-21,5.0
2024-22,4.84
2024-23,7.69
2024-24,6.58
2024-25,5.26
2024-26,4.98
2024-27,7.27
2024-28,0.0
2024-29,0.0
2024-30,0.0
2024-31,0.0
2024-32,0.0
2024-33,0.0
2024-34,0.0
2024-35,0.0
2024-36,0.0
2024-37,0.0
2024-38,0.0
2024-39,0.0
2024-40,2.61
2024-41,0.0
2024-42,0.0
2024-43,0.0
2024-44,0.0
2024-45,6.25
2024-46,5.6
2024-47,7.8
2024-48,9.67
2024-49,4.17
2024-50,1.62
2024-51,4.5
2024-52,3.38
2025-0,3.19
2025-1,4.55
2025-2,7.92
2025-3,3.07
2025-4,8.62
2025-5,18.17
2025-6,11.9
2025-7,11.17
2025-8,6.44
2025-9,4.7
2025-10,7.68
2025-11,6.86
2025-12,9.24
2025-13,2.52
