,hours
2023-30,13.09
2023-31,12.7
2023-32,23.21
2023-33,20.35
2023-34,19.23
2023-35,8.04
2023-36,12.14
2023-37,15.21
2023-38,12.23
2023-39,12.63
2023-40,16.32
2023-41,19.81
2023-42,14.19
2023-43,41.18
2023-44,29.2
2023-45,17.31
2023-46,14.06
2023-47,19.9
2023-48,16.69
2023-49,12.12
2023-50,8.32
2023-51,15.37
2023-52,2.16
2024-0,6.27
2024-1,1.58
2024-2,2.69
2024-3,22.03
2024-4,27.3
2024-5,18.17
2024-6,22.63
2024-7,13.23
2024-8,10.38
2024-9,7.44
2024-10,8.73
2024-11,4.3
2024-12,11.14
2024-13,6.72
2024-14,14.0
2024-15,14.19
2024-16,18.7
2024-17,5.38
2024-18,3.54
2024-19,9.98
2024-20,9.81
2024-21,10.1
2024-22,10.79
2024-23,20.61
2024-24,27.25
2024-25,10.14
2024-26,12.51
2024-27,8.92
2024-28,3.16
2024-29,2.11
2024-30,9.22
2024-31,1.02
2024-32,5.18
2024-33,13.14
2024-34,7.66
2024-35,23.92
2024-36,8.89
2024-37,3.91
2024-38,12.98
2024-39,15.67
2024-40,12.52
2024-41,9.42
2024-42,7.99
2024-43,15.64
2024-44,12.14
2024-45,17.27
2024-46,11.39
2024-47,15.15
2024-48,9.61
2024-49,9.83
2024-50,3.71
2024-51,8.18
2024-52,6.76
2025-0,5.24
2025-1,17.46
2025-2,9.14
2025-3,6.31
2025-4,4.25
2025-5,16.31
2025-6,14.54
2025-7,5.54
2025-8,10.23
2025-9,1.29
