,hours
2024-44,0.52
2024-45,8.59
2024-46,8.25
2024-47,8.61
2024-48,19.61
2024-49,10.42
2024-50,19.8
2024-51,13.88
2024-52,11.02
2025-0,8.64
2025-1,22.88
2025-2,16.37
2025-3,22.66
2025-4,8.24
2025-5,18.84
2025-6,22.8
2025-7,25.76
2025-8,57.99
2025-9,27.24
2025-10,25.81
2025-11,28.59
2025-12,27.41
2025-13,28.77
2025-14,20.55
2025-15,18.92
2025-16,31.39
2025-17,24.71
2025-18,8.23
2025-19,23.27
2025-20,11.67
2025-21,14.7
2025-22,31.24
2025-23,8.52
2025-24,21.41
2025-25,19.4
2025-26,14.09
2025-27,18.56
2025-28,14.96
2025-29,11.71
2025-30,10.18
2025-31,8.28
2025-32,27.68
2025-33,15.02
2025-34,8.09
2025-35,10.87
2025-36,6.56
2025-37,1.53
2025-38,26.21
2025-39,13.3
2025-40,6.96
