,hours
2019-31,4.98
2019-32,4.03
2019-33,5.02
2019-34,4.37
2019-35,5.51
2019-36,7.83
2019-37,6.93
2019-38,6.82
2019-39,14.67
2019-40,12.8
2019-41,16.06
2019-42,18.94
2019-43,9.9
2019-44,17.06
2019-45,11.67
2019-46,6.86
2019-47,4.96
2019-48,7.24
2019-49,9.81
2019-50,7.79
2019-51,8.33
2019-52,4.05
2020-0,4.63
2020-1,11.26
2020-2,8.52
2020-3,8.66
2020-4,9.71
2020-5,28.92
2020-6,12.59
2020-7,15.35
2020-8,18.43
2020-9,27.49
2020-10,13.51
2020-11,13.56
2020-12,19.7
2020-13,14.27
2020-14,32.98
2020-15,19.63
2020-16,21.79
2020-17,16.79
2020-18,30.01
2020-19,8.04
2020-20,11.52
2020-21,9.05
2020-22,16.87
2020-23,26.26
2020-24,9.08
2020-25,16.16
2020-26,27.4
2020-27,10.79
2020-28,18.76
2020-29,20.15
2020-30,18.05
2020-31,25.95
2020-32,13.44
2020-33,25.41
2020-34,22.61
2020-35,13.33
2020-36,21.54
2020-37,14.68
2020-38,13.81
2020-39,16.48
2020-40,13.95
2020-41,21.39
2020-42,19.65
2020-43,19.35
2020-44,1.96
2020-45,9.04
2020-46,16.53
2020-47,14.91
2020-48,19.78
2020-49,17.67
2020-50,10.97
2020-51,10.7
2020-52,7.85
2021-0,5.15
2021-1,5.11
2021-2,8.97
2021-3,17.84
2021-4,17.72
2021-5,22.47
2021-6,19.89
2021-7,22.68
2021-8,0.12
2021-9,33.28
2021-10,30.9
2021-11,29.33
2021-12,12.91
2021-13,19.89
2021-14,26.52
2021-15,19.91
2021-16,13.72
2021-17,7.42
2021-18,17.17
2021-19,18.61
2021-20,24.15
2021-21,19.16
2021-22,23.74
2021-23,10.88
2021-24,27.17
2021-25,17.63
2021-26,8.51
2021-27,22.0
2021-28,28.66
2021-29,17.75
2021-30,17.63
2021-31,12.67
2021-32,22.03
2021-33,11.46
2021-34,22.84
2021-35,7.92
2021-36,12.36
2021-37,18.32
2021-38,16.91
2021-39,10.71
2021-40,9.89
2021-41,14.72
2021-42,10.13
2021-43,16.4
2021-44,13.48
2021-45,18.39
2021-46,8.19
2021-47,19.37
2021-48,11.55
2021-49,15.43
2021-50,6.23
2021-51,6.16
2021-52,8.64
2022-0,9.83
2022-1,15.7
2022-2,16.44
2022-3,22.0
2022-4,18.24
2022-5,11.57
2022-6,19.73
2022-7,17.82
2022-8,15.73
2022-9,35.83
2022-10,21.71
2022-11,14.22
2022-12,17.15
2022-13,9.23
2022-14,35.65
2022-15,25.66
2022-16,22.54
2022-17,12.07
2022-18,26.92
2022-19,12.0
2022-20,14.44
2022-21,18.02
2022-22,20.86
2022-23,12.83
2022-24,4.61
2022-25,5.3
2022-26,9.05
2022-27,20.62
2022-28,18.59
2022-29,2.0
2022-30,8.5
2022-31,15.7
2022-32,27.16
2022-33,20.34
2022-34,18.28
2022-35,9.9
2022-36,0.0
2022-37,9.69
2022-38,21.61
2022-39,14.76
2022-40,7.39
2022-41,17.97
2022-42,7.31
2022-43,10.61
2022-44,6.27
2022-45,8.38
2022-46,8.41
2022-47,14.66
2022-48,8.96
2022-49,9.98
2022-50,3.25
2022-51,7.4
2022-52,7.95
2023-0,17.35
2023-1,20.78
2023-2,10.47
2023-3,29.08
2023-4,15.36
2023-5,10.16
2023-6,11.73
2023-7,9.2
2023-8,1.64
2023-9,23.79
2023-10,13.17
2023-11,15.03
2023-12,0.53
2023-13,9.24
2023-14,10.5
2023-15,8.49
2023-16,6.3
2023-17,11.51
2023-18,25.98
2023-19,15.45
2023-20,17.81
2023-21,8.76
2023-22,6.84
2023-23,13.42
2023-24,8.73
2023-25,4.79
2023-26,4.37
2023-27,13.0
2023-28,8.42
2023-29,4.55
2023-30,5.27
2023-31,10.72
2023-32,6.32
2023-33,4.92
2023-34,3.99
2023-35,0.0
2023-36,7.85
2023-37,6.46
2023-38,7.53
2023-39,14.62
2023-40,23.36
2023-41,5.33
2023-42,6.99
2023-43,3.89
2023-44,17.05
2023-45,16.83
2023-46,15.1
2023-47,6.2
2023-48,18.04
2023-49,16.35
2023-50,16.15
2023-51,20.85
2023-52,3.73
2024-0,24.17
2024-1,20.3
2024-2,13.44
2024-3,10.96
2024-4,11.68
2024-5,16.99
2024-6,13.26
2024-7,9.5
2024-8,2.65
2024-9,13.35
2024-10,10.01
2024-11,18.32
2024-12,21.93
2024-13,19.38
2024-14,29.67
2024-15,18.71
2024-16,9.56
2024-17,16.45
2024-18,13.49
2024-19,23.52
2024-20,12.7
2024-21,8.62
2024-22,17.11
2024-23,24.18
2024-24,22.32
2024-25,18.47
2024-26,21.39
2024-27,20.96
2024-28,32.74
2024-29,36.59
2024-30,41.99
2024-31,31.17
2024-32,16.11
2024-33,12.19
2024-34,2.63
2024-35,14.15
2024-36,6.23
2024-37,31.78
2024-38,14.91
2024-39,12.34
2024-40,12.8
2024-41,9.2
2024-42,8.13
2024-43,12.0
2024-44,12.35
2024-45,6.2
2024-46,27.26
2024-47,21.87
2024-48,16.77
2024-49,31.37
2024-50,32.56
2024-51,19.64
2024-52,2.95
2025-0,1.91
2025-1,8.4
2025-2,11.91
2025-3,16.07
2025-4,22.44
2025-5,49.0
2025-6,45.14
2025-7,36.34
2025-8,23.53
2025-9,22.08
2025-10,9.27
2025-11,11.99
2025-12,19.34
2025-13,0.0
2025-14,3.22
2025-15,15.56
2025-16,26.35
2025-17,2.18
2025-18,22.39
2025-19,21.02
2025-20,3.73
