,hours
2023-46,6.94
2023-47,5.47
2023-48,8.19
2023-49,10.88
2023-50,11.89
2023-51,13.31
2023-52,1.97
2024-0,19.83
2024-1,16.92
2024-2,28.01
2024-3,15.5
2024-4,20.27
2024-5,24.62
2024-6,11.29
2024-7,16.01
2024-8,33.33
2024-9,28.32
2024-10,3.14
2024-11,2.24
2024-12,20.32
2024-13,17.6
2024-14,19.67
2024-15,26.75
2024-16,24.83
2024-17,23.69
2024-18,24.35
2024-19,15.93
2024-20,15.11
2024-21,17.43
2024-22,9.68
2024-23,14.84
2024-24,23.76
2024-25,13.31
2024-26,20.22
2024-27,27.76
2024-28,14.7
2024-29,20.3
2024-30,19.36
2024-31,18.61
2024-32,7.72
2024-33,32.16
2024-34,23.77
2024-35,19.67
2024-36,10.9
2024-37,19.79
2024-38,20.39
2024-39,23.28
2024-40,14.21
2024-41,1.79
2024-42,11.04
2024-43,22.4
2024-44,0.0
2024-45,25.87
2024-46,12.9
2024-47,17.99
2024-48,2.35
2024-49,12.07
2024-50,16.99
2024-51,1.69
2024-52,5.88
2025-0,7.7
2025-1,20.61
2025-2,8.16
2025-3,3.03
2025-4,8.22
2025-5,4.95
2025-6,6.36
2025-7,0.0
