,hours
2019-13,1.08
2019-14,4.03
2019-15,8.8
2019-16,6.29
2019-17,8.6
2019-18,13.7
2019-19,11.38
2019-20,10.33
2019-21,7.86
2019-22,6.33
2019-23,12.84
2019-24,10.76
2019-25,7.79
2019-26,6.33
2019-27,4.07
2019-28,5.04
2019-29,8.96
2019-30,7.77
2019-31,5.93
2019-32,4.2
2019-33,7.36
2019-34,9.17
2019-35,11.68
2019-36,12.04
2019-37,14.39
2019-38,18.43
2019-39,6.21
2019-40,4.01
2019-41,11.04
2019-42,11.52
2019-43,14.22
2019-44,12.16
2019-45,17.35
2019-46,13.22
2019-47,0.0
2019-48,0.0
2019-49,9.07
2019-50,6.38
2019-51,15.56
2019-52,3.11
2020-0,2.68
2020-1,21.77
2020-2,11.7
2020-3,7.53
2020-4,10.14
2020-5,6.57
2020-6,8.88
2020-7,7.05
2020-8,7.34
2020-9,11.56
2020-10,13.42
2020-11,17.53
2020-12,10.84
2020-13,14.71
2020-14,12.84
2020-15,8.73
2020-16,10.73
2020-17,12.04
2020-18,19.0
2020-19,13.71
2020-20,14.68
2020-21,14.99
2020-22,10.86
2020-23,5.63
2020-24,8.5
2020-25,10.14
2020-26,4.37
2020-27,8.17
2020-28,12.06
2020-29,14.23
2020-30,14.44
2020-31,13.1
2020-32,16.97
2020-33,19.52
2020-34,16.05
2020-35,16.98
2020-36,12.39
2020-37,14.18
2020-38,8.4
2020-39,2.65
2020-40,8.94
2020-41,13.3
2020-42,11.95
2020-43,11.62
2020-44,21.32
2020-45,14.74
2020-46,12.67
2020-47,19.34
2020-48,12.57
2020-49,14.34
2020-50,7.49
2020-51,6.71
2020-52,7.06
2021-0,5.68
2021-1,26.52
2021-2,19.34
2021-3,11.25
2021-4,13.56
2021-5,17.6
2021-6,11.12
2021-7,19.99
2021-8,14.91
2021-9,21.89
2021-10,20.9
2021-11,17.32
2021-12,23.17
2021-13,6.73
2021-14,16.92
2021-15,17.64
2021-16,28.48
2021-17,14.64
2021-18,17.43
2021-19,21.13
2021-20,19.7
2021-21,20.86
2021-22,18.87
2021-23,25.36
2021-24,12.34
2021-25,23.51
2021-26,16.9
2021-27,17.96
2021-28,23.64
2021-29,21.46
2021-30,21.06
2021-31,18.92
2021-32,8.18
2021-33,17.55
2021-34,17.06
2021-35,9.57
2021-36,14.81
2021-37,10.48
2021-38,10.43
2021-39,14.73
2021-40,15.21
2021-41,11.79
2021-42,17.66
2021-43,14.65
2021-44,7.94
2021-45,9.3
2021-46,12.84
2021-47,15.6
2021-48,13.58
2021-49,13.16
2021-50,22.27
2021-51,15.41
2021-52,13.98
2022-0,2.73
2022-1,13.63
2022-2,18.81
2022-3,13.43
2022-4,14.04
2022-5,17.3
2022-6,11.17
2022-7,5.88
2022-8,20.48
2022-9,13.23
2022-10,9.16
2022-11,12.0
2022-12,10.22
2022-13,27.12
2022-14,16.29
2022-15,34.32
2022-16,15.37
2022-17,16.3
2022-18,14.64
2022-19,14.24
2022-20,10.21
2022-21,16.15
2022-22,17.89
2022-23,10.55
2022-24,14.04
2022-25,15.58
2022-26,8.55
2022-27,19.99
2022-28,17.51
2022-29,13.71
2022-30,18.77
2022-31,19.2
2022-32,16.8
2022-33,22.05
2022-34,19.8
2022-35,9.79
2022-36,24.57
2022-37,18.07
2022-38,14.79
2022-39,15.64
2022-40,12.16
2022-41,10.07
2022-42,0.0
2022-43,0.0
2022-44,0.0
2022-45,0.0
2022-46,12.46
2022-47,12.67
2022-48,14.48
2022-49,13.46
2022-50,19.63
2022-51,14.65
2022-52,7.73
2023-0,14.81
2023-1,17.02
2023-2,12.28
2023-3,16.6
2023-4,20.6
2023-5,17.94
2023-6,20.6
2023-7,18.02
2023-8,15.76
2023-9,19.69
2023-10,11.97
2023-11,19.7
2023-12,20.53
2023-13,20.08
2023-14,21.34
2023-15,16.23
2023-16,22.94
2023-17,16.14
2023-18,23.14
2023-19,10.61
2023-20,20.58
2023-21,15.76
2023-22,14.82
2023-23,18.0
2023-24,27.67
2023-25,10.44
2023-26,13.44
2023-27,22.36
2023-28,23.47
2023-29,15.74
2023-30,26.1
2023-31,17.43
2023-32,12.31
2023-33,10.81
2023-34,23.64
2023-35,19.42
2023-36,23.83
2023-37,16.49
2023-38,23.68
2023-39,0.0
2023-40,0.0
2023-41,0.0
2023-42,0.0
2023-43,13.63
2023-44,20.45
2023-45,20.69
2023-46,15.81
2023-47,21.71
2023-48,9.24
2023-49,18.01
2023-50,19.19
2023-51,13.81
2023-52,4.01
2024-0,14.5
2024-1,9.03
2024-2,28.85
2024-3,28.87
2024-4,44.67
2024-5,15.9
2024-6,31.03
2024-7,10.14
2024-8,15.35
2024-9,30.02
2024-10,14.51
2024-11,16.69
2024-12,37.34
2024-13,29.79
2024-14,20.77
2024-15,23.67
2024-16,40.95
2024-17,21.4
2024-18,31.01
2024-19,28.23
2024-20,26.53
2024-21,10.8
2024-22,22.1
2024-23,39.49
2024-24,22.99
2024-25,21.79
2024-26,24.12
2024-27,18.86
2024-28,34.42
2024-29,33.26
2024-30,28.23
2024-31,16.63
2024-32,23.1
2024-33,24.09
2024-34,15.58
2024-35,16.19
2024-36,21.5
2024-37,35.85
2024-38,15.92
2024-39,5.68
2024-40,14.23
2024-41,19.57
2024-42,15.99
2024-43,14.78
2024-44,21.45
2024-45,13.23
