,hours
2020-48,2.76
2020-49,8.91
2020-50,8.33
2020-51,11.05
2020-52,10.64
2021-0,4.39
2021-1,9.98
2021-2,6.82
2021-3,15.63
2021-4,13.98
2021-5,12.13
2021-6,17.36
2021-7,18.82
2021-8,21.06
2021-9,10.33
2021-10,11.84
2021-11,25.47
2021-12,18.78
2021-13,13.43
2021-14,18.69
2021-15,17.06
2021-16,14.78
2021-17,8.8
2021-18,0.0
2021-19,10.92
2021-20,21.9
2021-21,22.41
2021-22,9.98
2021-23,12.48
2021-24,15.8
2021-25,8.7
2021-26,8.21
2021-27,17.7
2021-28,17.84
2021-29,25.62
2021-30,21.56
2021-31,21.92
2021-32,0.0
2021-33,20.97
2021-34,14.76
2021-35,23.69
2021-36,16.43
2021-37,17.69
2021-38,21.62
2021-39,23.01
2021-40,0.51
2021-41,28.15
2021-42,19.3
2021-43,17.13
2021-44,11.69
2021-45,22.56
2021-46,25.59
2021-47,20.97
2021-48,21.54
2021-49,5.44
2021-50,3.35
2021-51,9.12
2021-52,19.57
2022-0,0.96
2022-1,32.31
2022-2,28.05
2022-3,12.78
2022-4,23.25
2022-5,14.91
2022-6,30.02
2022-7,9.65
2022-8,5.46
2022-9,12.75
2022-10,13.67
2022-11,8.76
2022-12,17.25
2022-13,11.66
2022-14,13.5
2022-15,12.23
2022-16,20.68
2022-17,11.54
2022-18,2.48
2022-19,18.5
2022-20,11.07
2022-21,5.17
2022-22,21.48
2022-23,25.51
2022-24,24.74
2022-25,12.07
2022-26,26.32
2022-27,27.17
2022-28,12.64
2022-29,15.48
2022-30,11.07
2022-31,17.83
2022-32,17.66
2022-33,10.99
2022-34,21.18
2022-35,9.65
2022-36,17.67
2022-37,17.08
2022-38,9.38
2022-39,24.04
2022-40,21.38
2022-41,13.83
2022-42,19.64
2022-43,19.52
2022-44,15.81
2022-45,12.27
2022-46,21.73
2022-47,37.04
2022-48,14.29
2022-49,19.64
2022-50,7.22
2022-51,19.6
2022-52,15.3
2023-0,15.83
2023-1,7.72
2023-2,24.05
2023-3,24.47
2023-4,9.67
2023-5,13.18
2023-6,4.82
2023-7,4.52
2023-8,26.24
2023-9,17.2
2023-10,11.57
2023-11,20.64
2023-12,21.59
2023-13,32.17
2023-14,19.57
2023-15,20.35
2023-16,6.54
2023-17,18.83
2023-18,19.19
2023-19,16.36
2023-20,15.89
2023-21,11.29
2023-22,2.48
2023-23,10.16
2023-24,2.08
2023-25,12.8
2023-26,11.67
2023-27,4.46
2023-28,3.36
2023-29,2.72
2023-30,1.56
2023-31,13.42
2023-32,20.86
2023-33,17.61
2023-34,20.75
2023-35,11.64
2023-36,4.73
2023-37,6.85
2023-38,20.95
2023-39,17.81
2023-40,14.72
2023-41,14.46
2023-42,17.19
2023-43,13.89
2023-44,13.09
2023-45,18.75
2023-46,16.35
2023-47,16.55
2023-48,20.98
2023-49,20.82
2023-50,3.52
2023-51,16.67
2023-52,4.51
2024-0,8.76
2024-1,12.86
2024-2,18.59
2024-3,12.67
2024-4,17.72
2024-5,9.79
2024-6,13.81
2024-7,17.44
2024-8,15.85
2024-9,5.54
2024-10,6.07
2024-11,15.08
2024-12,19.04
2024-13,13.91
2024-14,10.16
2024-15,13.57
2024-16,12.54
2024-17,18.49
2024-18,2.46
2024-19,13.65
2024-20,11.42
2024-21,13.05
2024-22,29.21
2024-23,17.09
2024-24,13.63
2024-25,10.61
2024-26,4.7
2024-27,13.19
2024-28,0.0
2024-29,2.24
2024-30,20.9
2024-31,16.73
2024-32,14.44
2024-33,11.74
2024-34,25.01
2024-35,19.17
2024-36,11.71
2024-37,38.88
2024-38,17.44
2024-39,7.48
